osm_id,name,highway,waterway,aerialway,barrier,man_made,railway,z_order,other_tags,lanes,maxspeed,oneway,sidewalk,cycleway,width,service,access,surface,smoothness,lit,bridge,tunnel,layer,ref,junction,oneway:cycleway,cycleway:both,cycleway:left,cycleway:right,foot,motor_vehicle,bicycle,footway,borough,longitude,latitude,location_id,lighting,connectivity,enclosure,visibility_blocked_ratio,visibility,public_transport_proximity_m,dominant_land_use_score,geometry,sidewalk_score,cycleway_score,speed_score,lane_penalty,highway_type_score,pedestrian_priority_score
1000038393,Túnel Glòries,primary,,,,,,-43,"""bicycle""=>""no"",""foot""=>""no"",""hazmat""=>""no"",""lanes""=>""3"",""layer""=>""-4"",""lit""=>""yes"",""maxheight""=>""5"",""maxspeed""=>""50"",""name:ca""=>""Túnel Glòries"",""oneway""=>""yes"",""opening_date""=>""2021-11-06"",""psv:lanes""=>""yes|yes|designated"",""ref""=>""C-31"",""surface""=>""concrete"",""tunnel""=>""yes"",""wikidata""=>""Q23499067"",""wikipedia""=>""ca:Túnels de les Glòries Catalanes""",3.0,50.0,yes,,,,,,concrete,,yes,,yes,-4.0,C-31,,,,,,no,,no,,Eixample,2.1848397,41.4017739,eixample_000000,0.0,4.0,0.3695495818001486,0.3695495818001486,0.3940315113749071,75.2,0.4934,"LINESTRING (431839.843847 4583658.957331, 431883.090008 4583700.852267)",0.5,0.2,0.5,0.5,1.0,0.53
1000249404,Túnel Glòries,primary,,,,,,-43,"""bicycle""=>""no"",""foot""=>""no"",""hazmat""=>""no"",""lanes""=>""3"",""layer""=>""-4"",""lit""=>""yes"",""maxheight""=>""5"",""maxspeed""=>""50"",""name:ca""=>""Túnel Glòries"",""oneway""=>""yes"",""opening_date""=>""2022-04-03"",""psv:lanes""=>""designated|yes|yes|"",""ref""=>""C-31"",""surface""=>""concrete"",""tunnel""=>""yes"",""wikidata""=>""Q23499067"",""wikipedia""=>""ca:Túnels de les Glòries Catalanes""",3.0,50.0,yes,,,,,,concrete,,yes,,yes,-4.0,C-31,,,,,,no,,no,,Eixample,2.1856337,41.4024825,eixample_000001,0.0,3.0,0.9035760179816448,0.9035760179816448,0.0632923659598045,146.99,0.4974,"LINESTRING (432024.662247 4583849.745509, 431963.547738 4583790.251012, 431831.395311 4583668.174506)",0.5,0.2,0.5,0.5,1.0,0.53
1000315688,Carrer de los Castillejos,residential,,,,,,3,"""lanes""=>""2"",""lit""=>""yes"",""maxspeed""=>""30"",""name:ca""=>""Carrer de los Castillejos"",""name:etymology:wikidata""=>""Q2888254"",""oneway""=>""yes"",""surface""=>""asphalt""",2.0,30.0,yes,,,,,,asphalt,,yes,,,,,,,,,,,,,,Eixample,2.1848417,41.4015251,eixample_000002,0.0,5.0,0.0,0.0,1.0,52.94,0.4909,"LINESTRING (431856.761752 4583656.943935, 431865.995036 4583647.608379)",0.5,0.2,1.0,0.2,0.75,0.6525
1000315689,Gran Via de les Corts Catalanes,residential,,,,,,3,"""lit""=>""yes"",""name:ca""=>""Gran Via de les Corts Catalanes"",""name:etymology:wikidata""=>""Q1902969"",""oneway""=>""yes""",,,yes,,,,,,,,yes,,,,,,,,,,,,,,Eixample,2.1835569,41.4007514,eixample_000003,0.0,8.0,0.0,0.0,1.0,46.21,0.4843,"LINESTRING (431741.648494 4583564.764109, 431759.769963 4583568.912332, 431764.656403 4583570.254144)",0.5,0.2,0.5,0.5,0.75,0.4925
1000550226,Gran Via de les Corts Catalanes,residential,,,,,,3,"""lanes""=>""2"",""lit""=>""yes"",""name:ca""=>""Gran Via de les Corts Catalanes"",""name:etymology:wikidata""=>""Q1902969"",""oneway""=>""yes"",""psv:lanes""=>""designated|yes""",2.0,,yes,,,,,,,,yes,,,,,,,,,,,,,,Eixample,2.1842378,41.4011756,eixample_000004,0.0,8.0,0.2732809192575166,0.2732809192575166,0.4541994254640521,84.57,0.4859,"LINESTRING (431764.656403 4583570.254144, 431843.114827 4583644.992465, 431845.636954 4583647.389148, 431850.004958 4583651.389477, 431856.761752 4583656.943935)",0.5,0.2,0.5,0.5,1.0,0.53
1000633517,Gran Via de les Corts Catalanes,primary,,,,,,7,"""change:lanes""=>""no|no|no"",""lanes""=>""3"",""lit""=>""yes"",""maxspeed""=>""50"",""name:ca""=>""Gran Via de les Corts Catalanes"",""name:etymology:wikidata""=>""Q1902969"",""oneway""=>""yes"",""psv:lanes""=>""yes|yes|designated"",""ref""=>""C-31"",""surface""=>""asphalt"",""wikidata""=>""Q263293"",""wikipedia""=>""ca:Gran Via de les Corts Catalanes""",3.0,50.0,yes,,,,,,asphalt,,yes,,,,C-31,,,,,,,,,,Eixample,2.1835048,41.4007838,eixample_000005,0.0,7.0,0.2115860994290692,0.2115860994290692,0.5169927216858563,47.1,0.4898,"LINESTRING (431741.648494 4583564.764109, 431756.045452 4583577.318982)",0.5,0.2,0.7126,0.4,0.15,0.465
1000745150,,service,,,,,,0,"""service""=>""parking_aisle""",,,,,,,parking_aisle,,,,,,,,,,,,,,,,,,Eixample,2.1509032,41.3936496,eixample_000006,0.0,2.0,0.0541060590747708,0.0541060590747708,0.6202583219181831,66.82,0.4996,"LINESTRING (429018.718849 4582802.333491, 429014.099208 4582806.997582, 429013.039569 4582808.073848)",0.5,0.2,0.5,0.5,0.65,0.4775
1002019386,Carrer de Sicília,footway,,,,,,0,"""crossing""=>""traffic_signals"",""crossing:signals""=>""yes"",""footway""=>""crossing"",""name:ca""=>""Carrer de Sicília"",""surface""=>""asphalt""",,,,,,,,,asphalt,,,,,,,,,,,,,,,crossing,Eixample,2.1741042,41.4011074,eixample_000007,0.0,6.0,0.0,0.0,1.0,43.46,0.5,"LINESTRING (430968.927099 4583619.864556, 430964.26876 4583615.279063, 430960.665567 4583611.760493, 430957.821779 4583608.978577)",0.5,0.2,0.5,0.5,1.0,0.53
1002163368,,corridor,,,,,,-10,"""indoor""=>""yes"",""layer""=>""-1"",""level""=>""-1""",,,,,,,,,,,,,,-1.0,,,,,,,,,,,Eixample,2.159206,41.3750964,eixample_000008,0.0,4.0,0.1796703202320898,0.1796703202320898,0.5379211014871542,2.52,0.5,"LINESTRING (429690.129674 4580736.165711, 429689.894137 4580741.197597)",0.5,0.2,0.5,0.5,0.5,0.455
1002255132,,footway,,,,,,0,"""lit""=>""yes""",,,,,,,,,,,yes,,,,,,,,,,,,,,Eixample,2.1813853,41.3925974,eixample_000009,0.0,2.0,1.0,1.0,0.0,0.72,0.4991,"LINESTRING (431547.401426 4582672.518273, 431562.456206 4582664.215431, 431578.77537 4582655.223405)",0.5,0.2,0.5,0.5,0.5,0.455
1002592847,,footway,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,Eixample,2.1825672,41.3947393,eixample_000010,0.0,4.0,0.0,0.0,1.0,17.89,0.4999,"LINESTRING (431663.412228 4582901.518211, 431664.868695 4582899.927866)",0.5,0.2,0.5,0.5,0.5,0.455
1002592848,,corridor,,,,,,0,"""indoor""=>""yes""",,,,,,,,,,,,,,,,,,,,,,,,,Eixample,2.1826072,41.3947066,eixample_000011,0.0,4.0,0.468602760377777,0.6942263116707807,0.2286158417414723,20.8,0.4933,"LINESTRING (431664.868695 4582899.927866, 431668.683013 4582895.695006, 431670.031746 4582894.205604)",0.5,0.2,0.5,0.5,0.5,0.455
1002592849,,corridor,,,,,,0,"""indoor""=>""yes""",,,,,,,,,,,,,,,,,,,,,,,,,Eixample,2.182592,41.3946696,eixample_000012,0.0,2.0,0.0521254052030943,0.173751350676981,0.7184770863678427,19.9,0.4969,"LINESTRING (431668.683013 4582895.695006, 431663.606767 4582890.235886)",0.5,0.2,0.5,0.5,0.5,0.455
1002592850,,footway,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,Eixample,2.1818134,41.3941827,eixample_000013,0.0,3.0,0.0,0.0,1.0,17.34,0.5,"LINESTRING (431599.29493 4582840.469313, 431601.77684 4582838.569496)",0.5,0.2,0.5,0.5,0.5,0.455
1002592851,,corridor,,,,,,0,"""indoor""=>""yes""",,,,,,,,,,,,,,,,,,,,,,,,,Eixample,2.1818614,41.3941502,eixample_000014,0.0,4.0,0.711818082484298,0.8897726031053724,0.0787338549247339,20.39,0.5,"LINESTRING (431601.77684 4582838.569496, 431606.24187 4582834.186121, 431607.260712 4582833.177245)",0.5,0.2,0.5,0.5,0.5,0.455
1002592852,,corridor,,,,,,0,"""indoor""=>""yes""",,,,,,,,,,,,,,,,,,,,,,,,,Eixample,2.1819081,41.3941565,eixample_000015,0.0,2.0,0.0,0.0,1.0,20.0,0.4958,"LINESTRING (431610.617195 4582838.896827, 431606.24187 4582834.186121)",0.5,0.2,0.5,0.5,0.5,0.455
1004978849,,footway,,,,,,0,"""footway""=>""sidewalk"",""lit""=>""yes"",""surface""=>""paving_stones""",,,,,,,,,paving_stones,,yes,,,,,,,,,,,,,sidewalk,Eixample,2.1695168,41.385725,eixample_000016,0.0,3.0,0.0,0.0,1.0,1.32,0.5,"LINESTRING (430564.418658 4581909.35862, 430562.673309 4581911.340553)",0.5,0.2,0.5,0.5,1.0,0.53
1004978851,,footway,,,,,,0,"""lit""=>""yes"",""surface""=>""paving_stones""",,,,,,,,,paving_stones,,yes,,,,,,,,,,,,,,Eixample,2.1695342,41.3878632,eixample_000017,0.0,2.0,0.0,0.0,1.0,0.66,0.5166,"LINESTRING (430567.177333 4582148.35467, 430567.382265 4582147.053671)",0.5,0.2,0.5,0.5,1.0,0.53
1005072692,,footway,,,,,,0,"""lit""=>""yes"",""surface""=>""asphalt""",,,,,,,,,asphalt,,yes,,,,,,,,,,,,,,Eixample,2.1708946,41.3871011,eixample_000018,0.0,3.0,0.0467976658139233,0.0467976658139233,0.6250507109416896,14.44,0.4985,"LINESTRING (430678.843936 4582061.660074, 430681.568335 4582062.377899)",0.5,0.2,0.5,0.5,1.0,0.53
