osmid,lighting,visibility,connectivity,enclosure,dominant_land_use_score,public_transport_proximity_m,dist_to_rail_m,dist_to_bus_m,lighting_norm,visibility_norm,connectivity_norm,enclosure_norm,dominant_land_use_score_norm,public_transport_proximity_m_norm,risk_class,risk_probability
"[8380803, 309051278]",0,0.8181,5,0.0003561092572042775,0.5,17.49,17.49,28.76,0.0,0.8000439705397384,0.2222222222222222,0.0005442188231074811,0.5,0.066201297469555,low,0.9995
246638753,0,1.0,4,0.0,,121.77,121.77,125.82,0.0,1.0,0.1111111111111111,0.0,0.2257,0.46181569862286126,high,0.8934
18508391,0,1.0,6,0.0,,76.46,76.46,81.64,0.0,1.0,0.3333333333333333,0.0,0.2257,0.2899199514397359,low,0.794
294871189,0,1.0,6,0.0,,80.33,80.33,82.5,0.0,1.0,0.3333333333333333,0.0,0.2257,0.3046018437725255,low,0.5247
"[245672930, 294871188]",0,1.0,5,0.0,,122.59,122.59,125.53,0.0,1.0,0.2222222222222222,0.0,0.2257,0.46492659053833607,medium,0.9993
"[1360092505, 450445885]",0,1.0,6,0.0,,116.82,117.18,116.82,0.0,1.0,0.3333333333333333,0.0,0.2257,0.44303653401115367,medium,1.0
295215797,0,0.2675,5,0.5580027985742623,0.1658,171.66,183.69,171.66,0.0,0.19478949104100257,0.2222222222222222,0.8527597083963652,0.1658,0.651086915285102,high,1.0
4743362,0,0.2264,3,0.6132827906279122,0.141,186.2,197.14,186.2,0.0,0.14960976145982194,0.0,0.9372405569230597,0.141,0.70624834022535,high,1.0
295215797,0,0.3212,6,0.559706969753659,0.0729,115.63,126.72,115.63,0.0,0.25381994063977137,0.3333333333333333,0.8553640833595606,0.0729,0.4385219469630866,high,1.0
4743363,0,0.4254,4,0.4478685145373627,0.1116,100.92,112.16,100.92,0.0,0.368363196658239,0.1111111111111111,0.6844485813200916,0.1116,0.3827155810159718,high,1.0
4743364,0,0.2335,3,0.5412448584328814,0.1629,263.63,263.63,275.92,0.0,0.15741453226338353,0.0,0.8271496286892365,0.1629,1.0,high,1.0
"[295215802, 295215803, 241868444]",0,0.2986,5,0.5551588175512232,0.5088,213.63,219.58,213.63,0.0,0.2289765856875893,0.2222222222222222,0.8484134355208738,0.5088,0.8103114685686105,high,1.0
18618230,0,0.3976,5,0.39462999400340637,0.1628,69.71,73.64,69.71,0.0,0.3378036715400682,0.2222222222222222,0.6030875821244066,0.1628,0.2643119996964983,high,1.0
62173510,0,0.4722,7,0.37432100279772496,0.4303,55.15,57.68,55.15,0.0,0.4198087281521381,0.4444444444444444,0.5720506599752136,0.4303,0.2090746993436777,high,1.0
18618300,0,0.3584,6,0.43743677785487095,0.2203,153.84,162.16,153.84,0.0,0.2947125425964604,0.3333333333333333,0.6685064305743271,0.2203,0.5834819226829547,high,1.0
1028689883,0,0.2242,5,0.5823060931299425,0.0991,124.81,127.21,124.81,0.0,0.14719138177421132,0.2222222222222222,0.8899008668839684,0.0991,0.47334876133388976,high,1.0
553234915,0,0.6234,6,0.2865777299277614,0.5,92.81,98.66,92.81,0.0,0.5860173683631966,0.3333333333333333,0.4379582719486421,0.5,0.3519481012178004,high,1.0
4743368,0,0.4203,8,0.420229965658924,0.2841,131.59,147.06,131.59,0.0,0.36275695284159615,0.5555555555555556,0.6422103686403404,0.2841,0.4990705261959863,high,1.0
10851867,0,0.5195,9,0.1823478635536304,0.4102,158.15,166.87,158.15,0.0,0.47180389139276685,0.6666666666666666,0.2786704857896861,0.4102,0.5998330740923404,high,0.9823
10851867,0,0.4956,9,0.30942098572833715,0.0559,64.36,82.85,64.36,0.0,0.44553149389908764,0.6666666666666666,0.4728681473204052,0.0559,0.24401532683333965,high,0.998
