borough,lighting,lighting_norm,visibility,visibility_norm,connectivity,connectivity_norm,enclosure,enclosure_norm,public_transport_proximity_m,public_transport_proximity_m_norm,dominant_land_use_score,dominant_land_use_score_norm,pedestrian_priority_score,pedestrian_priority_score_norm,risk_score,location_id,risk_class,cluster_id,pc1_score
"London Borough of Islington, London, UK",0.0,0.0,0.545,0.395910780669145,9,0.4285714285714285,0.2130059184800787,0.1875028076258528,36.61,0.0668651417370883,0.6663,0.6663,0.4875,0.3821656050955413,0.4165667330765329,ISL_16527_-27061,medium,0,-1.8388558360823268
"London Borough of Islington, London, UK",0.0,0.0,0.5196,0.3621879978757301,8,0.3571428571428571,0.2010534320122365,0.1769813874379906,68.36,0.1255755468851125,0.6451,0.6451,0.4875,0.3821656050955413,0.4266364013428023,ISL_16528_-27064,high,1,-1.871253599152453
"London Borough of Islington, London, UK",11.86914282330028,0.0726428234811242,0.7191,0.6270578863515666,12,0.6428571428571429,0.3950185715984516,0.3477231607815195,73.38,0.1348582629116662,0.1379,0.1379,0.5225,0.4713375796178343,0.3666045378702693,ISL_16683_-27082,medium,0,-0.1488887097147849
"London Borough of Islington, London, UK",6.90313993188973,0.0422493505220397,0.7118,0.6173659054699947,8,0.3571428571428571,0.3344032149692416,0.2943652558260185,63.01,0.115682612474343,0.262,0.262,0.6525,0.8025477707006369,0.3109894686331713,ISL_16683_-27079,low,2,-0.10457716416192091
"London Borough of Islington, London, UK",4.117458775519324,0.0252001206383401,0.6895,0.5877588953797133,12,0.6428571428571429,0.3288171345494452,0.2894479945132369,24.33,0.0441576212577895,0.2505,0.2505,0.5225,0.4713375796178343,0.3632590195671897,ISL_16687_-27079,medium,0,-0.3358322229175581
"London Borough of Islington, London, UK",7.018167855853169,0.0429533569781312,0.6828,0.5788635156664896,12,0.6428571428571429,0.3778978608475853,0.3326523056745625,40.66,0.0743541855433717,0.3915,0.3915,0.5225,0.4713375796178343,0.3856450912974918,ISL_16691_-27076,medium,0,-0.8865011600193957
"London Borough of Islington, London, UK",2.090756509601197,0.0127960762061788,0.6519,0.5378385554965481,11,0.5714285714285714,0.3434262906434103,0.3023080023675208,27.5,0.0500194160394977,0.3235,0.3235,0.5925,0.6496815286624205,0.356371894726404,ISL_16691_-27079,medium,0,-0.6113641592945323
"London Borough of Islington, London, UK",4.117458775519324,0.0252001206383401,0.6895,0.5877588953797133,12,0.6428571428571429,0.3288171345494452,0.2894479945132369,24.33,0.0441576212577895,0.2505,0.2505,0.5225,0.4713375796178343,0.3632590195671897,ISL_16687_-27079,medium,0,-0.3358322229175581
"London Borough of Islington, London, UK",4.382471000419541,0.0268220773845319,0.7052,0.6086032926181626,11,0.5714285714285714,0.3415608410446281,0.3006659022805747,99.88,0.1838606483108045,0.1385,0.1385,0.5925,0.6496815286624205,0.3571687559817142,ISL_16695_-27084,medium,0,0.2513469067488126
"London Borough of Islington, London, UK",2.8712532014953265,0.0175729572548729,0.7046,0.6078066914498141,12,0.6428571428571429,0.3558810027757399,0.3132715169479947,136.74,0.2520201926810777,0.0602,0.0602,0.5925,0.6496815286624205,0.3765594975099062,ISL_16696_-27087,medium,0,0.5342114156985935
"London Borough of Islington, London, UK",4.402150716197852,0.0269425233291739,0.746,0.6627721720658524,13,0.7142857142857143,0.27030427720098,0.2379408574658954,132.73,0.2446051147395477,0.159,0.159,0.53,0.4904458598726115,0.384580346553417,ISL_16701_-27082,medium,0,0.7308258280347241
"London Borough of Islington, London, UK",0.0,0.0,0.759,0.680031864046734,12,0.6428571428571429,0.2656775601024795,0.2338680952992399,46.35,0.0848758298045452,0.0372,0.0372,0.5925,0.6496815286624205,0.3173527070180883,ISL_16621_-27066,low,2,1.0649111932119382
"London Borough of Islington, London, UK",0.0,0.0,0.7262,0.6364843335103557,10,0.5,0.1040636323706043,0.0916041365444865,10.0,0.0176593502098781,0.1317,0.1317,0.585,0.6305732484076433,0.2862294392165339,ISL_16616_-27068,low,2,1.0717185445809434
"London Borough of Islington, London, UK",0.8148009581104287,0.0049868337632665,0.7372,0.6510886882634094,12,0.6428571428571429,0.162166110338776,0.1427500287656472,2.21,0.0032544980491503,0.0466,0.0466,0.585,0.6305732484076433,0.2918579996310762,ISL_16621_-27062,low,2,1.1978067760881024
"London Borough of Islington, London, UK",4.219633613167682,0.02582546223259,0.7477,0.6650292087095061,13,0.7142857142857143,0.1736268419679915,0.1528385717190924,31.78,0.0579337635681133,0.3919,0.3919,0.53,0.4904458598726115,0.3468909746772251,ISL_16658_-27108,low,2,0.35119363196590614
"London Borough of Islington, London, UK",0.0,0.0,0.7016,0.6038236856080722,14,0.7857142857142857,0.3116603018972578,0.2743453423653205,28.79,0.0524048151777954,0.4225,0.4225,0.5225,0.4713375796178343,0.391623135914553,ISL_16657_-27112,medium,0,-0.424567537263568
"London Borough of Islington, London, UK",0.0,0.0,0.7533,0.6724641529474242,12,0.6428571428571429,0.2386841780339301,0.210106619743603,16.04,0.028828195787644,0.2947,0.2947,0.5625,0.5732484076433121,0.3312990374759104,ISL_16663_-27115,low,2,0.39380325741490035
"London Borough of Islington, London, UK",1.618829199924809,0.0099077351723642,0.7434,0.659320233669676,14,0.7857142857142857,0.1943686039298091,0.1710969310675048,26.3,0.0478004400968952,0.3291,0.3291,0.5225,0.4713375796178343,0.355128658019121,ISL_16661_-27108,medium,0,0.4509397795283186
"London Borough of Islington, London, UK",0.0,0.0,0.6631,0.5527084439723845,11,0.5714285714285714,0.3715871898175578,0.3270972086867577,14.92,0.0267571515745483,0.4715,0.4715,0.5225,0.4713375796178343,0.3891219870677379,ISL_16652_-27116,medium,0,-1.1927537802425008
"London Borough of Islington, London, UK",0.0,0.0,0.6821,0.5779341476367499,10,0.5,0.3026645458157718,0.2664266444529256,30.52,0.0556038388283807,0.4246,0.4246,0.5625,0.5732484076433121,0.3600875146132372,ISL_16645_-27123,medium,0,-0.6324062118578365
"London Borough of Islington, London, UK",0.0,0.0,0.7699,0.6945034519383962,12,0.6428571428571429,0.1313734025658035,0.1156441192067316,58.36,0.1070840806967584,0.2306,0.2306,0.5625,0.5732484076433121,0.3255567994949745,ISL_16639_-27089,low,2,1.143837054708625
"London Borough of Islington, London, UK",0.5696175450846114,0.0034862354759184,0.7747,0.7008762612851833,13,0.7142857142857143,0.2520846988564512,0.2219027017294958,38.35,0.0700826568538619,0.2392,0.2392,0.53,0.4904458598726115,0.3481083529456408,ISL_16645_-27095,low,2,0.6048187491985035
