borough,lighting,lighting_norm,visibility,visibility_norm,connectivity,connectivity_norm,enclosure,enclosure_norm,public_transport_proximity_m,public_transport_proximity_m_norm,dominant_land_use_score,dominant_land_use_score_norm,pedestrian_priority_score,pedestrian_priority_score_norm,risk_score,location_id
"London Borough of Islington, London, UK",0.0,0.0,0.545,0.39591078066914503,9,0.42857142857142855,0.2130059184800787,0.18750280762585284,36.61,0.06686514173708834,0.6663,0.6663,0.4875,0.38216560509554137,0.41656673307653297,ISL_16527_-27061
"London Borough of Islington, London, UK",0.0,0.0,0.5196,0.36218799787573014,8,0.35714285714285715,0.2010534320122365,0.17698138743799066,68.36,0.12557554688511252,0.6451,0.6451,0.4875,0.38216560509554137,0.4266364013428023,ISL_16528_-27064
"London Borough of Islington, London, UK",11.86914282330028,0.0726428234811242,0.7191,0.6270578863515666,12,0.6428571428571429,0.3950185715984516,0.34772316078151955,73.38,0.13485826291166625,0.1379,0.1379,0.5225,0.4713375796178343,0.3666045378702693,ISL_16683_-27082
"London Borough of Islington, London, UK",6.90313993188973,0.0422493505220397,0.7118,0.6173659054699947,8,0.35714285714285715,0.3344032149692416,0.2943652558260185,63.01,0.11568261247434308,0.262,0.262,0.6525,0.8025477707006369,0.3109894686331713,ISL_16683_-27079
"London Borough of Islington, London, UK",4.117458775519324,0.025200120638340137,0.6895,0.5877588953797133,12,0.6428571428571429,0.3288171345494452,0.2894479945132369,24.33,0.044157621257789534,0.2505,0.2505,0.5225,0.4713375796178343,0.3632590195671897,ISL_16687_-27079
"London Borough of Islington, London, UK",7.018167855853169,0.04295335697813126,0.6828,0.5788635156664896,12,0.6428571428571429,0.3778978608475853,0.33265230567456255,40.66,0.07435418554337173,0.3915,0.3915,0.5225,0.4713375796178343,0.3856450912974918,ISL_16691_-27076
"London Borough of Islington, London, UK",2.090756509601197,0.012796076206178847,0.6519,0.5378385554965481,11,0.5714285714285714,0.3434262906434103,0.30230800236752087,27.5,0.05001941603949778,0.3235,0.3235,0.5925,0.6496815286624205,0.35637189472640407,ISL_16691_-27079
"London Borough of Islington, London, UK",4.117458775519324,0.025200120638340137,0.6895,0.5877588953797133,12,0.6428571428571429,0.3288171345494452,0.2894479945132369,24.33,0.044157621257789534,0.2505,0.2505,0.5225,0.4713375796178343,0.3632590195671897,ISL_16687_-27079
"London Borough of Islington, London, UK",4.382471000419541,0.02682207738453198,0.7052,0.6086032926181626,11,0.5714285714285714,0.3415608410446281,0.3006659022805747,99.88,0.18386064831080456,0.1385,0.1385,0.5925,0.6496815286624205,0.3571687559817142,ISL_16695_-27084
"London Borough of Islington, London, UK",2.8712532014953265,0.01757295725487294,0.7046,0.6078066914498141,12,0.6428571428571429,0.3558810027757399,0.31327151694799477,136.74,0.2520201926810777,0.0602,0.0602,0.5925,0.6496815286624205,0.3765594975099062,ISL_16696_-27087
