cluster,n_segments,risk_mean,risk_median,risk_std,risk_max,lighting_mean,visibility_mean,connectivity_mean,enclosure_mean,transport_mean,land_use_mean,pedestrian_priority_mean,zero_risk_pct
7_4,1820,0.7056078074694166,0.6997220308076416,0.08847450422801655,0.9999173773261564,1.8331309012017776,0.48042115384615386,9.186813186813186,0.5336408113109341,91.23113186813188,0.5764595054945055,0.5141620879120881,0.0
4_0,1894,0.7016119339066753,0.6919440891935581,0.08601680777742987,1.0,0.538699149814517,0.6563409186906018,12.55596620908131,0.35898171202499485,243.69146251319958,0.2552728616684266,0.5835691657866949,0.0
5_0,1900,0.6800025536787597,0.669217608133186,0.07522195222187246,0.9663881168877856,0.8735068914053109,0.7636956842105264,10.15578947368421,0.20606052902782698,271.6805894736842,0.3411673684210526,0.5721250000000001,0.0
1_5,917,0.6672141508431416,0.6596253301667275,0.09647525907306385,0.9561327194406396,5.142952463072533,0.6114571428571429,10.059978189749183,0.44173138436425247,126.97076335877863,0.24642824427480914,0.5838195201744819,0.0
2_5,306,0.6410061133919462,0.6355172147727688,0.0670496361701108,0.8387820890488137,6.998214099953597,0.7009666666666666,10.163398692810457,0.3274466694607706,84.79068627450981,0.20365751633986925,0.5061601307189543,0.0
6_4,2274,0.6308452131415467,0.6279202394310163,0.07887381269993964,0.943705806150761,1.6197829500006249,0.5175142480211081,10.55057167985928,0.5375016998522824,73.72383025505717,0.5027159190853122,0.5757431838170626,0.0
0_4,2159,0.6265662298120864,0.6262737326535516,0.07457998273738979,0.8899946032837648,0.31638020007636947,0.7808175081056045,10.298286243631312,0.20229519712305705,117.2630430754979,0.20987985178323298,0.5053832792959704,0.0
5_4,389,0.6198769220017594,0.6164971592955912,0.06410193090871806,0.8431770468535398,0.901093603842368,0.6417742930591259,11.897172236503856,0.45378143844541524,52.64303341902313,0.3040200514138818,0.5248136246786633,0.0
0_5,4797,0.6178964782618022,0.6152977935591931,0.07646784415371047,0.9659566979741756,0.4455219763968133,0.7661533875338754,7.87012716281009,0.2200259780701269,127.71030852616218,0.21332928913904525,0.582932562017928,0.0
4_1,1074,0.6158250403473877,0.6125905494550461,0.05211469521756789,0.8185605081817329,1.2059016331053634,0.6955616387337058,11.512104283054004,0.31306411505340875,169.2020577281192,0.25635074487895715,0.6042295158286779,0.0
5_3,212,0.6043549794874126,0.5968084478333567,0.057329483935300594,0.7719075360840095,0.9059250368599614,0.6716542452830188,9.632075471698114,0.3548531635191367,48.993349056603776,0.29426084905660377,0.5414386792452831,0.0
7_3,505,0.5982572855039486,0.604127115558878,0.08274399682226927,0.816956770167817,1.188714207741989,0.604349108910891,8.48118811881188,0.3428234214317262,73.07257425742574,0.5356469306930693,0.5513861386138614,0.0
2_4,112,0.5965525893365982,0.6005215580324557,0.031207082486515724,0.6505846381248321,1.1428297210885014,0.7152375,11.723214285714286,0.3185044434773971,53.34749999999999,0.13703392857142857,0.5297544642857145,0.0
0_0,2788,0.5936334961788835,0.5922239114282597,0.056207940398902465,0.7573884326489435,0.6295435526196574,0.7360287661406026,12.238880918220946,0.2771609407218984,120.26086800573887,0.07036070770364909,0.5903048780487805,0.0
6_5,284,0.5899277063577816,0.5887672884334174,0.06272673450984836,0.7459797343930067,0.8093285170439086,0.6640975352112676,11.630281690140846,0.3358805092771373,65.75214788732393,0.42862007042253525,0.5016989436619719,0.0
6_3,505,0.588611383214045,0.584940513691241,0.06851074492288975,0.763950131815412,0.9078249960998065,0.628888910891089,9.295049504950494,0.4135035259198061,47.30051485148515,0.40037326732673273,0.5737475247524753,0.0
7_5,1970,0.5843335683719842,0.5863435614383015,0.08362991022818075,0.8470208495284687,2.1478433759289097,0.6905751269035533,8.042131979695432,0.21085043315296592,66.64414720812182,0.49773309644670055,0.5021979695431473,0.0
0_3,147,0.5826815630091572,0.5832582994803219,0.04586008365787644,0.6711119994546103,2.2755461865731554,0.7108292517006802,12.653061224489797,0.2817169916128587,126.85442176870747,0.34140544217687074,0.5395238095238095,0.0
4_2,284,0.5742488067870628,0.571317623847414,0.04336910595623775,0.6823892227315475,1.4868043342835822,0.689525,10.816901408450704,0.3408786831330658,74.43390845070422,0.22558767605633803,0.590255281690141,0.0
5_2,356,0.573608207577244,0.5705346800064188,0.03918449357660109,0.6752326266709616,0.7730944437990429,0.700175,8.710674157303371,0.34347186539315455,83.55148876404495,0.41359213483146057,0.5903441011235957,0.0
4_4,84,0.5697071429316903,0.5610963831965703,0.04425423424913673,0.6843215725867341,0.8205360033653819,0.685788095238095,12.642857142857142,0.33008379686832123,38.77571428571429,0.2183238095238095,0.5260714285714286,0.0
5_1,360,0.5656629563959283,0.5645612634150294,0.028844633377528014,0.635270417064052,0.5371450668228838,0.7432847222222222,11.402777777777779,0.2489233942088419,167.87205555555556,0.43571000000000004,0.5864791666666668,0.0
4_3,62,0.5615650315053463,0.5541143509157925,0.04131952811506305,0.6379947353761208,0.479886125384703,0.6779290322580644,11.838709677419354,0.3143397538139807,50.600322580645155,0.26027741935483867,0.551532258064516,0.0
7_2,378,0.5495810025166276,0.5484467464164322,0.04820695080597189,0.678510314457867,0.35753538964476633,0.6448402116402117,10.248677248677248,0.25604653054723203,97.21134920634921,0.4591687830687831,0.5856084656084657,0.0
1_0,384,0.5471989120631249,0.5407082789860954,0.04156225589610666,0.687442899351987,0.13220923806159154,0.7143359375,9.940104166666666,0.20151119937297288,48.57825520833334,0.1327596354166667,0.5863932291666668,0.0
1_4,974,0.5406133311148877,0.5422602504140315,0.06942284958277853,0.7369934606876609,9.421470848248035,0.7831292607802876,8.185831622176591,0.17634009300761536,60.0214887063655,0.22175071868583163,0.5541504106776182,0.0
5_5,462,0.540525783608215,0.5399045531203494,0.05129557428849001,0.7314037583854494,0.44066794420867555,0.7153956709956709,12.480519480519481,0.2781638039203926,39.60588744588744,0.36767316017316015,0.5017857142857144,0.0
4_5,447,0.5378031640130041,0.5298437458021111,0.05698289203245929,0.6902217948417317,1.768331870291317,0.7620944071588367,12.890380313199104,0.22258975822082816,41.479015659955266,0.23872885906040267,0.4936968680089486,0.0
3_0,974,0.5342097052860059,0.5350759217777832,0.06173215311700809,0.7686845196062599,0.8353421328357356,0.6456888090349077,11.91889117043121,0.36962670943604836,92.20132443531827,0.3816412731006161,0.626778747433265,0.0
0_2,759,0.533369771402871,0.5319783139346558,0.04352650088068564,0.6462187581742247,1.1011857997311645,0.8104757575757575,12.438735177865613,0.14872247828025115,88.46595520421607,0.11782595520421608,0.5488274044795785,0.0
6_0,465,0.5280337885057031,0.5342903169077164,0.041163877430381086,0.6026181537747379,0.5588086443186996,0.7973283870967742,12.13763440860215,0.11571126688752637,183.10632258064516,0.38127397849462363,0.5870268817204302,0.0
0_1,538,0.5264056860179029,0.5213435977892121,0.0359654726462778,0.6205632733266567,1.6826008317974537,0.7798315985130111,11.28996282527881,0.20194028743648354,45.8031970260223,0.05033698884758364,0.5792379182156133,0.0
3_3,58,0.5118148844191449,0.5085583214237331,0.023897679171790587,0.5521065531936509,1.9770457867655231,0.7268275862068967,12.413793103448276,0.30455556801822736,40.47275862068967,0.25759310344827585,0.570258620689655,0.0
3_4,106,0.5025047644043861,0.4964672723802373,0.04988904093902549,0.6911047420942202,6.599844776474861,0.6862849056603773,13.320754716981131,0.31989677078559414,39.53669811320755,0.2713971698113207,0.5653773584905661,0.0
3_5,1224,0.501445707618968,0.5059196206417892,0.08621149651096233,0.7529662716169395,22.746853860784526,0.6949020424836602,10.327614379084967,0.2643794312126295,50.94142156862745,0.3852948529411765,0.5310110294117647,0.08169934640522876
6_2,550,0.4978811718950353,0.5040889552761457,0.03439697454683882,0.5831746453561182,0.3919362751133173,0.7549503636363636,10.463636363636363,0.2497639170482177,84.6524,0.48038000000000003,0.5894136363636365,0.0
2_0,437,0.49375633024200616,0.5000078299823355,0.044536588215462886,0.6435442234180433,0.7588224793491859,0.7166466819221968,10.336384439359268,0.2687181739272728,37.54242562929062,0.25137894736842104,0.6261327231121282,0.0
7_1,223,0.48898434469340496,0.496979735978356,0.03970428639001896,0.5648750987692703,0.3657169546104012,0.7627452914798207,13.026905829596412,0.23438385408895718,124.77798206278028,0.3573098654708521,0.619585201793722,0.0
7_0,190,0.4809345774029698,0.4896439718672994,0.04540072952922426,0.5717129730232161,0.7600618897149284,0.7562736842105262,14.852631578947369,0.22348319829832744,148.7901052631579,0.35189052631578954,0.619842105263158,0.0
3_2,86,0.4793162647430481,0.4799690497518019,0.01579335656283845,0.5160301015527449,0.7021922846870147,0.7551232558139536,12.837209302325581,0.2750072501739419,58.37558139534883,0.3300418604651163,0.5884883720930234,0.0
2_3,22,0.4721125501275805,0.47621525810559956,0.022886511996927573,0.499245523380315,1.8536398241426717,0.7673363636363636,13.0,0.18892441971284424,56.86000000000001,0.3277272727272727,0.5561363636363635,0.0
3_1,208,0.47036716243785637,0.4811494142571402,0.05130400144955929,0.540678793378675,1.3497185757384516,0.7191206730769231,11.9375,0.23849358165123064,56.65105769230768,0.3612995192307692,0.6047475961538462,0.0
1_3,168,0.46933792042373396,0.47625963852606074,0.03607752546687541,0.5430118428802451,2.5805937068351925,0.788064880952381,11.339285714285714,0.1431003941542708,58.108511904761905,0.3193886904761905,0.5689136904761904,0.0
1_1,549,0.46407165847957943,0.4696842045383028,0.03210016109014919,0.5200978980518441,0.242853999061534,0.8015628415300546,12.33879781420765,0.16230016701978905,38.35511839708561,0.14459890710382514,0.5914344262295083,0.0
1_2,186,0.45302501974625764,0.453046699105892,0.02556528606349463,0.5012436438638244,0.1342844711577239,0.8108263440860216,12.424731182795698,0.13868314820372823,48.50435483870969,0.2577134408602151,0.5742338709677419,0.0
6_1,729,0.4458635336892614,0.4525126161263043,0.06142460746898008,0.5551485239946357,0.5016936192665449,0.827547599451303,11.790123456790123,0.13947502705695958,103.70189300411522,0.4871609053497943,0.5867798353909467,0.0
2_1,190,0.4378466661720533,0.43847366763156403,0.026169496677823794,0.4918579244746349,0.5027393959131948,0.7525826315789473,11.889473684210527,0.17613686728420966,30.527421052631578,0.34443684210526315,0.5943157894736842,0.0
2_2,472,0.40745289127338963,0.41383729078930026,0.03957190410943017,0.502471465470376,1.037747039072314,0.7952002118644068,13.169491525423728,0.1709411773242691,36.80783898305084,0.43788453389830506,0.5737076271186442,0.0
