id,lon,lat,first_seen_at,last_seen_at,object_type
257796497248747,-0.12293646,51.504784,2015-08-30T14:35:53+0000,2025-11-26T12:24:47+0000,panoptic
444758660537862,-0.12705185,51.50796,2022-07-05T14:02:52+0000,2022-07-05T14:02:52+0000,panoptic
444758663871195,-0.12694018,51.507977,2022-07-05T14:02:52+0000,2022-07-23T15:31:11+0000,panoptic
444758677204527,-0.12695985,51.507915,2022-07-05T14:02:49+0000,2022-07-05T14:03:03+0000,panoptic
444758680537860,-0.12698038,51.50774,2022-07-05T14:02:49+0000,2022-07-28T16:00:08+0000,panoptic
444758683871193,-0.12705089,51.507965,2022-07-05T14:02:53+0000,2022-07-05T14:02:53+0000,panoptic
444758687204526,-0.1269688,51.50796,2022-07-05T14:02:50+0000,2022-07-23T15:29:59+0000,panoptic
444758690537859,-0.12705159,51.507957,2022-07-05T14:02:51+0000,2022-07-05T14:02:51+0000,panoptic
444758693871192,-0.12702368,51.507957,2022-07-05T14:02:55+0000,2022-07-05T14:02:55+0000,panoptic
444758707204524,-0.12719692,51.5078,2022-07-05T14:02:52+0000,2022-07-28T16:00:05+0000,panoptic
444758710537857,-0.1270527,51.50797,2022-07-05T14:02:53+0000,2022-07-05T14:02:53+0000,panoptic
444758727204522,-0.1270671,51.507877,2022-07-05T14:02:51+0000,2022-07-23T15:31:03+0000,panoptic
444758733871188,-0.12707667,51.50796,2022-07-05T14:02:52+0000,2022-07-05T14:02:52+0000,panoptic
444758737204521,-0.12719925,51.507797,2022-07-05T14:02:49+0000,2026-05-20T06:09:36+0000,panoptic
444758743871187,-0.12703374,51.507957,2022-07-05T14:02:49+0000,2022-07-22T19:13:24+0000,panoptic
450048570701371,-0.13426849,51.518112,2024-09-18T10:30:38+0000,2024-09-18T10:30:38+0000,panoptic
450048587368036,-0.13443623,51.51803,2024-09-18T10:30:36+0000,2024-09-18T10:30:36+0000,panoptic
450048617368033,-0.13375986,51.51827,2024-09-18T10:30:44+0000,2024-09-18T10:30:44+0000,panoptic
450048624034699,-0.13419405,51.51819,2024-09-18T10:30:40+0000,2024-09-18T10:30:40+0000,panoptic
450048647368030,-0.13461637,51.51813,2024-09-18T10:30:32+0000,2024-09-18T10:30:32+0000,panoptic
450048767368018,-0.13476273,51.518208,2024-09-18T10:30:28+0000,2024-09-18T10:30:28+0000,panoptic
450048790701349,-0.1346422,51.51807,2024-09-18T10:30:36+0000,2024-09-18T10:30:36+0000,panoptic
450048810701347,-0.13408701,51.51809,2024-09-18T10:30:40+0000,2024-09-18T10:30:40+0000,panoptic
450048817368013,-0.13436744,51.517982,2024-09-18T10:30:34+0000,2024-09-18T10:30:34+0000,panoptic
450048890701339,-0.13455597,51.51828,2024-09-18T10:30:30+0000,2024-09-18T10:30:30+0000,panoptic
450048970701331,-0.13438573,51.518135,2024-09-18T10:30:36+0000,2024-09-18T10:30:36+0000,trafficsign
450049060701322,-0.13442382,51.518013,2024-09-18T10:30:28+0000,2024-09-18T10:30:28+0000,panoptic
450049074034654,-0.13438566,51.518135,2024-09-18T10:30:34+0000,2024-09-18T10:30:34+0000,panoptic
450049077367987,-0.13374767,51.518257,2024-09-18T10:30:42+0000,2024-09-18T10:30:42+0000,panoptic
