id,lon,lat,first_seen_at,last_seen_at,object_type
396351081752680,-3.68043,40.42331,2021-06-27T12:17:51+0000,2021-06-27T12:17:51+0000,panoptic
396351088419346,-3.6805532,40.42329,2021-06-27T12:17:16+0000,2021-06-27T12:17:16+0000,panoptic
396351091752679,-3.6816626,40.423756,2021-06-27T12:16:56+0000,2021-06-27T12:16:56+0000,panoptic
396351098419345,-3.6816556,40.423748,2021-06-27T12:16:55+0000,2021-06-27T12:16:55+0000,panoptic
396351101752678,-3.680403,40.42332,2021-06-27T12:17:51+0000,2021-06-27T12:17:51+0000,panoptic
396351105086011,-3.6804204,40.423325,2021-06-27T12:17:51+0000,2021-06-27T12:17:51+0000,panoptic
396351108419344,-3.681447,40.423923,2021-06-27T12:16:55+0000,2021-06-27T12:16:55+0000,panoptic
396351111752677,-3.680419,40.4233,2021-06-27T12:17:51+0000,2021-06-27T12:17:51+0000,panoptic
396351115086010,-3.681712,40.423714,2021-06-27T12:16:58+0000,2021-06-27T12:16:58+0000,panoptic
396351118419343,-3.6816242,40.42369,2021-06-27T12:16:57+0000,2021-06-27T12:16:57+0000,panoptic
396351121752676,-3.681394,40.423847,2021-06-27T12:16:52+0000,2021-06-27T12:16:52+0000,panoptic
396351125086009,-3.6817665,40.42384,2021-06-27T12:16:49+0000,2021-06-27T12:16:49+0000,panoptic
396351131752675,-3.681792,40.42375,2021-06-27T12:16:55+0000,2021-06-27T12:16:55+0000,trafficsign
396351141752674,-3.6817918,40.42375,2021-06-27T12:16:53+0000,2021-06-27T12:16:53+0000,panoptic
396351161752672,-3.680458,40.42329,2021-06-27T12:17:44+0000,2021-06-27T12:17:51+0000,panoptic
396351165086005,-3.680407,40.423332,2021-06-27T12:17:51+0000,2021-06-27T12:17:51+0000,panoptic
396351168419338,-3.681334,40.423767,2021-06-27T12:16:49+0000,2021-06-27T12:16:49+0000,panoptic
396351171752671,-3.6816556,40.423756,2021-06-27T12:16:52+0000,2021-06-27T12:16:52+0000,panoptic
396351175086004,-3.6814194,40.423756,2021-06-27T12:16:52+0000,2021-06-27T12:16:52+0000,panoptic
396351178419337,-3.6805618,40.423206,2021-06-27T12:17:51+0000,2021-06-27T12:17:51+0000,panoptic
229133418980509,-3.6694186,40.42793,2018-09-12T07:18:08+0000,2021-06-27T12:11:10+0000,mvd_fast
229145365645981,-3.6723752,40.426403,2018-09-12T07:18:35+0000,2018-09-12T07:18:35+0000,mvd_fast
229147592312425,-3.6669,40.4289,2018-09-12T07:17:45+0000,2018-09-12T07:17:45+0000,mvd_fast
229158048978046,-3.6666627,40.429424,2018-09-12T07:17:36+0000,2018-09-12T07:17:36+0000,mvd_fast
229163625644155,-3.6718352,40.42663,2018-09-12T07:18:32+0000,2025-07-17T17:39:09+0000,mvd_fast
229167205643797,-3.667544,40.428635,2018-09-12T07:17:52+0000,2018-09-12T07:17:52+0000,mvd_fast
229167982310386,-3.667538,40.42897,2018-09-12T07:17:50+0000,2018-09-12T07:17:50+0000,mvd_fast
229169772310207,-3.6659915,40.429375,2018-09-12T07:17:30+0000,2018-09-12T07:17:30+0000,mvd_fast
229177522309432,-3.6704917,40.427345,2018-09-12T07:18:17+0000,2018-09-12T07:18:17+0000,mvd_fast
229187692308415,-3.6721113,40.42637,2018-09-12T07:18:34+0000,2018-09-12T07:18:34+0000,mvd_fast
229201512307033,-3.6707323,40.42725,2018-09-12T07:18:17+0000,2025-07-17T17:39:18+0000,mvd_fast
229207312306453,-3.671402,40.4269,2018-09-12T07:18:27+0000,2018-09-12T07:18:27+0000,mvd_fast
229220948971756,-3.6721716,40.426514,2018-09-12T07:18:34+0000,2018-09-12T07:18:34+0000,mvd_fast
229225395637978,-3.6704593,40.427467,2018-09-12T07:18:17+0000,2025-07-17T17:39:23+0000,mvd_fast
229261035634414,-3.667616,40.42876,2018-09-12T07:17:52+0000,2018-09-12T07:17:52+0000,mvd_fast
229313132295871,-3.6665115,40.429287,2018-09-12T07:17:38+0000,2018-09-12T07:17:38+0000,mvd_fast
229350752292109,-3.6695302,40.427624,2018-09-12T07:18:11+0000,2021-06-27T12:11:10+0000,mvd_fast
229354372291747,-3.6690123,40.428066,2018-09-12T07:18:07+0000,2018-09-12T07:18:07+0000,mvd_fast
229359365624581,-3.6671124,40.428795,2018-09-12T07:17:49+0000,2018-09-12T07:17:49+0000,mvd_fast
229364705624047,-3.6666386,40.429073,2018-09-12T07:17:40+0000,2018-09-12T07:17:40+0000,mvd_fast
229371222290062,-3.6727555,40.426044,2018-09-12T07:19:14+0000,2025-07-17T17:38:09+0000,mvd_fast
229375422289642,-3.6705031,40.42734,2018-09-12T07:18:18+0000,2018-09-12T07:18:18+0000,mvd_fast
229378795622638,-3.6671975,40.42893,2018-09-12T07:17:42+0000,2018-09-12T07:17:42+0000,mvd_fast
229387042288480,-3.6670473,40.42913,2018-09-12T07:17:43+0000,2018-09-12T07:17:43+0000,mvd_fast
229391852287999,-3.6723518,40.426113,2018-09-12T07:18:37+0000,2018-09-12T07:18:37+0000,mvd_fast
229393408954510,-3.669241,40.428024,2018-09-12T07:18:07+0000,2018-09-12T07:18:07+0000,mvd_fast
229407988953052,-3.6721394,40.426476,2018-09-12T07:18:31+0000,2018-09-12T07:18:31+0000,mvd_fast
229414722285712,-3.6662092,40.42955,2018-09-12T07:17:32+0000,2018-09-12T07:17:32+0000,mvd_fast
229421578951693,-3.6678438,40.428608,2018-09-12T07:17:53+0000,2018-09-12T07:17:53+0000,mvd_fast
229434898950361,-3.6690462,40.42811,2018-09-12T07:18:07+0000,2018-09-12T07:18:07+0000,mvd_fast
229456538948197,-3.669641,40.427967,2018-09-12T07:18:07+0000,2018-09-12T07:18:07+0000,mvd_fast
229474218946429,-3.6722794,40.42625,2018-09-12T07:18:35+0000,2018-09-12T07:18:35+0000,mvd_fast
229477062279478,-3.6721878,40.42656,2018-09-12T07:18:34+0000,2018-09-12T07:18:34+0000,mvd_fast
229484058945445,-3.667174,40.428814,2018-09-12T07:17:46+0000,2018-09-12T07:17:46+0000,mvd_fast
229486558945195,-3.6717381,40.426834,2018-09-12T07:18:28+0000,2025-07-17T17:39:09+0000,mvd_fast
229488122278372,-3.6725864,40.42631,2018-09-12T07:19:13+0000,2025-07-17T17:38:59+0000,mvd_fast
229490012278183,-3.671271,40.427048,2018-09-12T07:18:23+0000,2025-07-17T17:39:12+0000,mvd_fast
229502938943557,-3.6679125,40.428635,2018-09-12T07:17:57+0000,2018-09-12T07:17:57+0000,mvd_fast
229541458939705,-3.6671093,40.429096,2018-09-12T07:17:42+0000,2018-09-12T07:17:42+0000,mvd_fast
229541562273028,-3.6658092,40.429462,2018-09-12T07:16:57+0000,2018-09-12T07:16:57+0000,mvd_fast
229629862264198,-3.6724122,40.426426,2018-09-12T07:18:34+0000,2025-07-17T17:38:13+0000,mvd_fast
229641898929661,-3.6704829,40.42701,2018-09-12T07:18:18+0000,2018-09-12T07:18:18+0000,trafficsign
229757605584757,-3.6684327,40.42827,2018-09-12T07:18:01+0000,2018-09-12T07:18:01+0000,trafficsign
229816258912225,-3.6679997,40.4286,2018-09-12T07:17:57+0000,2018-09-12T07:17:57+0000,trafficsign
229823398911511,-3.6669905,40.429153,2018-09-12T07:17:42+0000,2018-09-12T07:17:42+0000,trafficsign
229902602236924,-3.6689816,40.427998,2018-09-12T07:18:06+0000,2018-09-12T07:18:06+0000,trafficsign
229972758896575,-3.6724303,40.42639,2018-09-12T07:19:13+0000,2018-09-12T07:19:13+0000,trafficsign
229998792227305,-3.672175,40.426514,2018-09-12T07:18:34+0000,2018-09-12T07:18:34+0000,trafficsign
230364828857368,-3.6664023,40.429504,2018-09-12T07:17:34+0000,2018-09-12T07:17:34+0000,mvd_fast
230599448833906,-3.666233,40.429115,2018-09-12T07:16:57+0000,2018-09-12T07:16:57+0000,mvd_fast
230786048815246,-3.6699555,40.427696,2018-09-12T07:18:14+0000,2025-07-17T17:39:25+0000,mvd_fast
230798232147361,-3.6660738,40.429237,2018-09-12T07:17:30+0000,2018-09-12T07:17:30+0000,mvd_fast
230827572144427,-3.6717842,40.42671,2018-09-12T07:18:31+0000,2018-09-12T07:18:31+0000,mvd_fast
230876272139557,-3.6716168,40.426796,2018-09-12T07:18:28+0000,2025-07-17T17:39:10+0000,mvd_fast
1686267511565585,-3.6810775,40.436134,2021-02-16T08:46:04+0000,2021-02-16T08:46:04+0000,mvd_fast
1686275521564784,-3.6817377,40.436123,2021-02-16T08:45:55+0000,2021-02-16T08:45:55+0000,mvd_fast
1686320481560288,-3.6810849,40.436043,2021-02-16T08:46:03+0000,2021-02-16T08:46:03+0000,mvd_fast
1686324361559900,-3.6819177,40.436127,2021-02-16T08:45:52+0000,2021-02-16T08:45:52+0000,mvd_fast
1686345594891110,-3.680693,40.435944,2021-02-16T08:46:03+0000,2021-02-16T08:46:03+0000,mvd_fast
1686380438220959,-3.6803782,40.43608,2021-02-16T08:46:17+0000,2021-02-16T08:46:17+0000,mvd_fast
1686396268219376,-3.680786,40.43581,2021-02-16T08:46:01+0000,2021-02-16T08:46:01+0000,mvd_fast
1686416421550694,-3.6804907,40.43607,2021-02-16T08:46:22+0000,2021-02-16T08:46:22+0000,mvd_fast
1686484348210568,-3.6807249,40.435997,2021-02-16T08:46:06+0000,2021-02-16T08:46:06+0000,mvd_fast
2187416181676713,-3.6818714,40.430134,2025-04-11T18:22:28+0000,2025-04-11T18:22:40+0000,panoptic
2187416191676712,-3.681969,40.43022,2025-04-11T18:22:22+0000,2025-04-11T18:22:22+0000,panoptic
2187416201676711,-3.6819994,40.430187,2025-04-11T18:22:18+0000,2025-04-11T18:22:18+0000,panoptic
319160902934750,-3.6772568,40.42414,2016-05-22T17:08:03+0000,2016-05-22T17:08:03+0000,trafficsign
319373189580188,-3.6770673,40.424236,2016-05-22T17:08:01+0000,2016-05-22T17:08:01+0000,trafficsign
319672859550221,-3.6770465,40.424213,2016-05-22T17:08:03+0000,2016-05-22T17:08:03+0000,trafficsign
329137638603743,-3.6772547,40.424137,2016-05-22T17:08:01+0000,2016-05-22T17:08:01+0000,mvd_fast
329144238603083,-3.6784394,40.423897,2016-05-22T17:08:09+0000,2016-05-22T17:08:09+0000,mvd_fast
329190788598428,-3.678091,40.424015,2016-05-22T17:08:09+0000,2016-05-22T17:08:09+0000,mvd_fast
329342728583234,-3.6780665,40.423954,2016-05-22T17:08:09+0000,2021-06-27T12:13:07+0000,mvd_fast
