osmid,lighting,visibility,connectivity,enclosure,dominant_land_use_score,public_transport_proximity_m,dist_to_rail_m,dist_to_bus_m,lighting_norm,visibility_norm,connectivity_norm,enclosure_norm,dominant_land_use_score_norm,public_transport_proximity_m_norm,pedestrian_priority_score_norm,risk_class,risk_probability
"[28692806, 245104838, 4354815]",0,0.7144,5,0.08201835892713048,0.1655,124.18,124.18,125.81,0.0,0.6099426386233271,0.15384615384615385,0.1361978969270071,0.16541654165416544,0.24271159874608153,0.0,medium,0.9997
"[4950416, 177699020]",0,0.964,7,0.01038052381153455,0.9667,510.7,525.04,510.7,0.0,0.9508331057088227,0.3076923076923077,0.017237668619827964,0.9666966696669667,1.0,0.0,high,1.0
"[28680624, 371660518]",0,1.0,6,0.14551981385951812,0.5,217.18,217.18,220.5,0.0,1.0,0.23076923076923078,0.24164702955930106,0.49994999499949994,0.4249216300940439,0.0,medium,1.0
217347936,0,0.9832,7,0.003910056109556115,0.5,197.03,197.03,207.1,0.0,0.977055449330784,0.3076923076923077,0.006492950918078075,0.49994999499949994,0.38544278996865206,0.0,medium,0.9994
217347927,0,1.0,5,0.07707748024352473,0.5,371.06,379.28,371.06,0.0,1.0,0.15384615384615385,0.12799318142588423,0.49994999499949994,0.7264106583072101,0.0,medium,0.9998
67601407,0,0.642,11,0.13870429792631375,0.2833,90.38,90.38,91.23,0.0,0.5110625512155149,0.6153846153846154,0.23032933228192062,0.2832283228322832,0.17648902821316614,0.0,medium,0.9998
69419698,0,0.811,9,0.010082479276827726,0.5141,51.06,54.83,51.06,0.0,0.7418738049713195,0.46153846153846156,0.01674274235862508,0.5140514051405141,0.09945141065830722,0.0,medium,0.6149
407468695,0,0.66,11,0.1225851473074666,0.1185,8.29,8.29,13.96,0.0,0.5356459983611036,0.6153846153846154,0.2035622219324566,0.1184118411841184,0.01565438871473354,0.0,medium,0.9984
16560347,0,0.5589,6,0.3726391032412214,0.165,112.9,123.92,112.9,0.0,0.397568970226714,0.23076923076923078,0.6187963735367508,0.16491649164916494,0.2206112852664577,0.0,high,0.845
322777596,0,0.5363,7,0.4411579112779794,0.0335,159.17,166.03,159.17,0.0,0.36670308658836387,0.3076923076923077,0.7325772134272347,0.0334033403340334,0.3112656739811912,0.0,high,0.9999
335717532,0,1.0,5,0.011752823673698122,0.2055,26.39,26.39,40.81,0.0,1.0,0.15384615384615385,0.019516479874320338,0.20542054205420543,0.05111677115987461,0.0,low,1.0
553501868,0,0.9942,6,0.011752823673698122,0.2055,47.72,47.72,59.22,0.0,0.9920786670308659,0.23076923076923078,0.019516479874320338,0.20542054205420543,0.0929075235109718,0.0,low,1.0
1304263468,0,0.8411,7,0.004053354944231417,0.1799,75.03,80.76,75.03,0.0,0.782982791586998,0.3076923076923077,0.006730909841063668,0.17981798179817984,0.14641457680250786,0.0,low,0.9995
1304263467,0,1.0,6,0.004053354944231417,0.1799,69.34,73.66,69.34,0.0,1.0,0.23076923076923078,0.006730909841063668,0.17981798179817984,0.1352664576802508,0.0,low,1.0
1304263459,0,0.8561,7,0.0019438302198095559,0.1799,31.43,31.43,32.62,0.0,0.8034689975416553,0.3076923076923077,0.0032278790413203797,0.17981798179817984,0.06099137931034483,0.0,low,1.0
552371700,0,0.9995,6,0.0019438302198095559,0.1799,43.2,43.2,45.51,0.0,0.9993171264681782,0.23076923076923078,0.0032278790413203797,0.17981798179817984,0.08405172413793105,0.0,low,1.0
7642909,0,0.6175,7,0.09003780026669522,0.0223,122.05,137.1,122.05,0.0,0.47760174815624157,0.3076923076923077,0.1495148065057412,0.022202220222022204,0.2385384012539185,0.0,medium,1.0
179162271,0,0.7898,6,0.0019438302198095559,0.1291,42.68,48.15,42.68,0.0,0.7129199672220705,0.23076923076923078,0.0032278790413203797,0.12901290129012902,0.08303291536050157,0.0,low,1.0
44704756,0,0.7588,12,0.09365883078518097,0.4568,3.5,3.5,14.15,0.0,0.6705818082491124,0.6923076923076923,0.15552781089778137,0.45674567456745674,0.006269592476489029,0.0,medium,0.9978
44886948,0,0.8742,13,0.06627679375364777,0.4568,17.97,70.8,17.97,0.0,0.8281890193936084,0.7692307692307693,0.1100577967421236,0.45674567456745674,0.03461990595611285,0.0,medium,0.823
109930819,0,0.9176,13,0.0028638948324292775,0.4568,24.62,77.77,24.62,0.0,0.8874624419557497,0.7692307692307693,0.004755718292715769,0.45674567456745674,0.04764890282131662,0.0,low,0.9851
66835510,0,0.8558,13,0.012296863258007362,0.5165,13.32,13.32,22.59,0.0,0.8030592734225623,0.7692307692307693,0.02041990015570012,0.5164516451645165,0.025509404388714733,0.0,low,0.6546
"[1013579976, 4346287]",0,0.8813,8,0.09262919079532626,0.2069,195.94,201.05,195.94,0.0,0.8378858235454794,0.38461538461538464,0.1538180131621341,0.20682068206820683,0.38330721003134793,0.0,medium,1.0
1054368317,0,0.8907,8,0.5553399615571211,0.0051,55.27,55.27,93.79,0.0,0.8507238459437313,0.38461538461538464,0.9221854385762855,0.005000500050005001,0.10769984326018811,0.0,medium,0.9999
685984978,0,0.995,9,0.004445515068427371,0.3047,76.18,76.18,78.25,0.0,0.9931712646817811,0.46153846153846156,0.007382122399791117,0.30463046304630464,0.14866771159874612,0.0,low,1.0
1371903314,0,0.8638,9,0.20517867765217707,0.0925,106.61,120.41,106.61,0.0,0.8139852499317128,0.46153846153846156,0.3407152390587887,0.0924092409240924,0.20828761755485894,0.0,medium,1.0
197690135,0,1.0,9,0.0020069124806931732,0.5,25.52,37.5,25.52,0.0,1.0,0.46153846153846156,0.0033326320694477534,0.49994999499949994,0.04941222570532915,0.0,low,1.0
"[1331911512, 335717523]",0,0.9984,6,0.0020069124806931732,0.5,24.08,45.36,24.08,0.0,0.9978148046981699,0.23076923076923078,0.0033326320694477534,0.49994999499949994,0.046590909090909086,0.0,low,1.0
4950415,0,1.0,5,0.014170911921346258,0.8654,437.22,449.34,437.22,0.0,1.0,0.15384615384615385,0.023531904538437592,0.8653865386538654,0.8560344827586207,0.0,medium,0.5668
"[371661563, 371661564]",0,1.0,6,0.0505203967323773,0.5,441.37,448.95,441.37,0.0,1.0,0.23076923076923078,0.08389306711392704,0.49994999499949994,0.8641653605015674,0.0,medium,0.9207
131451858,0,0.9123,6,0.041604857142287975,0.0392,35.58,35.58,42.02,0.0,0.8802239825184377,0.23076923076923078,0.06908811630256698,0.0391039103910391,0.06912225705329154,0.0,low,1.0
