osmid,lighting,visibility,connectivity,enclosure,dominant_land_use_score,public_transport_proximity_m,dist_to_rail_m,dist_to_bus_m,lighting_norm,visibility_norm,connectivity_norm,enclosure_norm,dominant_land_use_score_norm,public_transport_proximity_m_norm,risk_class,risk_probability
"[931616773, 603022119, 914791432, 1478847731, 126304603]",0,0.9721,6,0.0,0.9548,3.2,3.2,11.33,0.0,0.965946539729037,0.3,0.0,0.9548,0.00911168405015821,low,1.0
"[20355312, 545937949, 1360091605, 140001534]",0,0.9972,6,0.0,0.5,48.39,48.39,66.64,0.0,0.9965824484315879,0.3,0.0,0.5,0.14150943396226412,low,1.0
"[542956869, 542956871, 20475367, 542956873, 257568507]",0,0.542,9,0.09847764419302181,0.2252,44.67,44.67,45.87,0.0,0.44098620773831326,0.6,0.1365698713102871,0.2252,0.13061057072541893,medium,0.9791
"[962829744, 1235276476, 1235264093, 893745919]",0,0.5169,9,0.16642077467162242,0.4433,58.21,58.21,96.6,0.0,0.4103502990357623,0.6,0.2307941458846584,0.4433,0.1702800890659791,medium,0.9997
"[20042722, 1213183375]",0,0.7561,8,0.11636363000575627,0.9203,5.95,5.95,11.69,0.0,0.7023068473086781,0.5,0.16137435156283012,0.9203,0.01716863939997656,low,1.0
"[556115013, 889928966, 887044711, 519375847, 68506254]",0,0.525,9,0.15675863707577076,0.8069,28.45,28.45,33.01,0.0,0.42023678750152577,0.6,0.21739458805748962,0.8069,0.0830891831712176,low,1.0
"[295215809, 68506253]",0,0.5947,10,0.08833943512057847,0.2761,18.09,18.09,19.54,0.0,0.5053094104723544,0.7,0.12251009236567173,0.2761,0.05273643501699284,low,1.0
68506265,0,0.4904,7,0.19655756829865403,0.2133,17.03,17.03,19.89,0.0,0.3780056145490052,0.4,0.2725881800644488,0.2133,0.04963084495488105,high,0.5244
304693491,0,0.9089,7,0.0,0.0,27.66,27.66,28.08,0.0,0.8888075186134505,0.4,0.0,0.0,0.08077463963436071,low,0.9999
545718428,0,0.9096,7,0.0,0.0,32.54,32.54,39.74,0.0,0.8896619065055534,0.4,0.0,0.0,0.09507207312785652,low,0.9998
"[248565672, 1104543532]",0,0.9457,9,0.0,0.3446,23.64,23.64,24.05,0.0,0.9337239106554376,0.6,0.0,0.3446,0.06899683581389897,low,1.0
"[34608163, 584532229]",0,0.8096,8,0.04583189188247885,0.0,27.52,27.52,70.22,0.0,0.7676064933479799,0.5,0.06356016766636527,0.0,0.08036446736200632,low,0.9993
237910182,0,0.5345,7,0.25785528162132804,0.0654,94.44,94.44,103.21,0.0,0.4318320517514952,0.4,0.3575965176286984,0.0654,0.2764268135474041,high,1.0
"[1435726369, 1408672894, 546133684, 511211614]",0,0.5239,8,0.16731667474439726,0.277,1.46,1.46,11.16,0.0,0.41889417795679246,0.5,0.23203658987941847,0.277,0.004013828665182233,medium,1.0
"[546184105, 237566135]",0,0.7232,6,0.09331055745317969,0.3135,19.51,19.51,128.37,0.0,0.6621506163798364,0.3,0.1294040990490602,0.3135,0.0568967537794445,medium,1.0
546184105,0,0.7669,6,0.10845200568617923,0.0,138.6,138.6,173.34,0.0,0.7154888319296961,0.3,0.15040242464445103,0.0,0.4058068674557599,high,1.0
"[237566144, 1206381001, 1213857011, 20044319]",0,0.992,6,0.00031705874014008035,0.0254,196.77,196.77,241.99,0.0,0.9902355669473941,0.3,0.0004397005197835637,0.0254,0.5762334466190084,high,0.7467
237725943,0,0.697,6,0.21474005112671524,0.1726,91.18,96.12,91.18,0.0,0.6301720981325521,0.3,0.29780384561248574,0.1726,0.2668756592054377,high,1.0
"[532696001, 545718433]",0,0.7686,8,0.0,0.1839,31.1,31.1,33.51,0.0,0.7175637739533748,0.5,0.0,0.1839,0.09085315832649712,low,1.0
"[550280513, 237506925]",0,0.5347,8,0.16432108126956807,0.0504,86.76,90.85,86.76,0.0,0.4320761625778103,0.5,0.22788226816805132,0.0504,0.25392593460682056,high,0.9948
