osmid,lighting,visibility,connectivity,enclosure,dominant_land_use_score,public_transport_proximity_m,dist_to_rail_m,dist_to_bus_m,lighting_norm,visibility_norm,connectivity_norm,enclosure_norm,dominant_land_use_score_norm,public_transport_proximity_m_norm,pedestrian_priority_score_norm,risk_class,risk_probability
554707785,0,0.8853,7,0.029006561052284795,0.5,87.71,87.71,88.76,0.0,0.8739144773002089,0.3076923076923077,0.028812893221195134,0.49994999499949994,0.10989974937343357,0.0,low,0.8994
"[4079500, 1433594636, 1522870832, 543357596, 902517725, 423227070]",0,0.6384,12,0.21348254477284137,0.5955,185.5,185.5,186.5,0.0,0.6025063207650874,0.6923076923076923,0.21205736365964106,0.5954595459545955,0.2324436090225564,0.0,high,1.0
4079505,0,0.6931,4,0.3399590404637066,0.0927,200.26,208.56,200.26,0.0,0.6626360338573156,0.07692307692307693,0.3376895354381099,0.0926092609260926,0.25093984962406013,0.0,medium,0.9954
4079509,0,0.5178,12,0.39283577273117526,0.0519,97.35,106.66,97.35,0.0,0.469935143453886,0.6923076923076923,0.390213276509713,0.0518051805180518,0.1219799498746867,0.0,high,1.0
4079509,0,0.5501,12,0.3330486768400695,0.0519,85.88,85.88,86.43,0.0,0.505441354292624,0.6923076923076923,0.3308253035895423,0.0518051805180518,0.1076065162907268,0.0,high,0.9999
4755002,0,0.5073,10,0.4297401855215613,0.0519,110.54,113.8,110.54,0.0,0.4583928767725624,0.5384615384615384,0.42687132511976916,0.0518051805180518,0.13850877192982455,0.0,high,1.0
4079509,0,0.7026,10,0.22583821937744836,0.0519,14.29,14.29,15.72,0.0,0.6730790370451797,0.5384615384615384,0.22433055502129073,0.0518051805180518,0.017894736842105262,0.0,medium,1.0
4079509,0,0.7045,10,0.2134115661621644,0.2013,0.3,0.3,5.91,0.0,0.6751676376827526,0.5384615384615384,0.21198685888355237,0.20122012201220124,0.0003634085213032581,0.0,medium,1.0
4079509,0,0.5545,12,0.33923914680521966,0.0197,79.87,79.87,80.5,0.0,0.5102781136638452,0.6923076923076923,0.33697444760087,0.0196019601960196,0.10007518796992482,0.0,high,0.9994
4079509,0,0.5249,12,0.38832160528518883,0.0197,59.59,59.59,60.31,0.0,0.4777399142574476,0.6923076923076923,0.3857292444615994,0.0196019601960196,0.07466165413533836,0.0,high,1.0
