osmid,lighting,visibility,connectivity,enclosure,dominant_land_use_score,public_transport_proximity_m,dist_to_rail_m,dist_to_bus_m,lighting_norm,visibility_norm,connectivity_norm,enclosure_norm,dominant_land_use_score_norm,public_transport_proximity_m_norm,pedestrian_priority_score_norm,risk_class,risk_probability
"[117987970, 114437411, 114437321, 732910998, 732910999, 2956254, 15090335]",0,1.0,5,0.005405415840584479,0.5,431.16,433.82,431.16,0.0,1.0,0.07142857142857142,0.008209712067618894,0.49994999499949994,0.07551016119202236,0.0,low,1.0
"[4088720, 134563582]",0,0.9622,5,4.6858754961794216e-05,0.5,370.49,370.49,374.42,0.0,0.9568000000000001,0.07142857142857142,7.116838350541874e-05,0.49994999499949994,0.06488486784495863,0.0,low,1.0
"[3059960, 15090337, 3059977, 118514360, 118514106]",0,1.0,6,0.092542171568646,0.5,965.29,978.92,965.29,0.0,1.0,0.14285714285714285,0.14055248301382892,0.49994999499949994,0.1690537236688173,0.0,low,0.9603
"[117987968, 114437409, 15090336, 114437317, 732910996, 732910997, 2956253]",0,0.9991,5,0.039243006552619863,0.5,322.08,326.36,322.08,0.0,0.9989714285714285,0.07142857142857142,0.05960203760874937,0.49994999499949994,0.056406699871802954,0.0,low,1.0
"[963682304, 963682305, 1378030624, 8066406]",0,1.0,5,0.011497134544247362,0.5,260.74,783.94,260.74,0.0,1.0,0.07142857142857142,0.017461777127093826,0.49994999499949994,0.045664067699248335,0.0,low,1.0
3059977,0,1.0,5,0.01460311952714085,0.5,496.34,496.39,496.34,0.0,1.0,0.07142857142857142,0.022179128097059592,0.49994999499949994,0.08692530245395765,0.0,low,1.0
"[142810533, 24190750]",0,1.0,6,0.0014333387501108174,1.0,853.33,853.33,858.46,0.0,1.0,0.14285714285714285,0.0021769457088875047,1.0,0.1494458805315624,0.0,medium,0.9756
3059961,0,1.0,5,0.01460311952714085,0.5,452.01,454.59,452.01,0.0,1.0,0.07142857142857142,0.022179128097059592,0.49994999499949994,0.07916167538826892,0.0,low,1.0
"[142810530, 146389724]",0,0.9995,5,0.014603119527140846,0.5,519.87,531.0,519.87,0.0,0.9994285714285714,0.07142857142857142,0.02217912809705959,0.49994999499949994,0.0910461719521678,0.0,low,1.0
288082057,0,1.0,10,0.021477929851353873,0.4209,736.47,3269.75,736.47,0.0,1.0,0.42857142857142855,0.03262054791392066,0.42084208420842084,0.1289798877750457,0.0,low,0.9998
"[142812216, 4477212, 4477213]",0,1.0,10,0.021477929851353873,0.4209,611.14,3145.7,611.14,0.0,1.0,0.42857142857142855,0.03262054791392066,0.42084208420842084,0.10703052210523366,0.0,low,1.0
4591516,0,1.0,9,0.021477929851353873,0.4209,762.99,3281.18,762.99,0.0,1.0,0.35714285714285715,0.03262054791392066,0.42084208420842084,0.1336244036735809,0.0,low,1.0
18797525,0,0.6688,10,0.43036812547769443,0.3684,175.36,175.36,189.07,0.0,0.6214857142857142,0.42857142857142855,0.6536404728558937,0.36833683368336834,0.030711248415050196,0.0,high,1.0
22927690,0,0.8512,8,0.17007326937029926,0.0001,92.16,92.16,93.76,0.0,0.8299428571428571,0.2857142857142857,0.2583062395295544,0.0,0.016140218145135866,0.0,low,1.0
"[125667420, 9387079]",0,0.7408,8,0.29564604614672435,0.5557,168.12,168.12,176.5,0.0,0.7037714285714286,0.2857142857142857,0.4490254038494411,0.5556555655565556,0.02944328856944707,0.0,high,0.558
"[986754504, 116034787, 804694181, 116034776]",0,0.9864,6,0.002810806281696449,0.775,31.77,31.77,39.69,0.0,0.9844571428571429,0.14285714285714285,0.004269034959804743,0.774977497749775,0.0055639619191728135,0.0,low,1.0
18659080,0,0.7413,10,0.24448774013625185,0.5,223.25,236.39,223.25,0.0,0.704342857142857,0.42857142857142855,0.37132648199068596,0.49994999499949994,0.039098347449018904,0.0,medium,0.7689
"[425722273, 965944346]",0,0.8607,7,0.000727184941179038,0.8049,191.5,191.84,191.5,0.0,0.8408,0.21428571428571427,0.0011044436285953855,0.8048804880488049,0.03353788818135328,0.0,low,0.8747
119148341,0,0.8195,7,0.012166251872190939,0.926,33.38,33.38,39.82,0.0,0.7937142857142857,0.21428571428571427,0.01847802842688441,0.925992599259926,0.005845925365501685,0.0,medium,0.9937
965944368,0,0.9955,7,0.0001465448135257071,0.5,46.53,46.53,55.06,0.0,0.9948571428571429,0.21428571428571427,0.00022257095874274555,0.49994999499949994,0.00814891873147973,0.0,low,1.0
164212701,0,0.9985,8,0.0001465448135257071,1.0,77.97,77.97,87.9,0.0,0.9982857142857143,0.2857142857142857,0.00022257095874274555,1.0,0.013655086900783894,0.0,low,0.9982
9346964,0,0.9837,6,0.17200458803039811,0.5,136.94,137.61,136.94,0.0,0.9813714285714286,0.14285714285714285,0.2612395144824948,0.49994999499949994,0.02398265486973639,0.0,low,0.9998
131541342,0,0.9586,7,0.011972854094541787,0.5,38.69,38.69,44.64,0.0,0.9526857142857142,0.21428571428571427,0.018184297066621186,0.49994999499949994,0.00677587934066088,0.0,low,1.0
965944405,0,1.0,7,0.00788328600171331,0.5,80.17,89.6,80.17,0.0,1.0,0.21428571428571427,0.011973086093066061,0.49994999499949994,0.014040378566574897,0.0,low,1.0
26237788,0,1.0,9,0.035085456991449444,0.4035,56.27,70.51,56.27,0.0,1.0,0.35714285714285715,0.05328757679741692,0.4034403440344035,0.009854710015481721,0.0,low,1.0
806490721,0,1.0,6,0.13233774883100652,0.139,111.59,115.87,111.59,0.0,1.0,0.14285714285714285,0.20099376203896374,0.13891389138913893,0.01954304408437187,0.0,low,1.0
965944399,0,0.9038,6,0.17507479212523877,0.5,244.22,249.01,244.22,0.0,0.8900571428571429,0.14285714285714285,0.26590252165881956,0.49994999499949994,0.04277087755430861,0.0,medium,0.7916
107247721,0,0.9061,7,0.038832879951524485,0.5,208.45,212.02,208.45,0.0,0.8926857142857143,0.21428571428571427,0.058979139838753164,0.49994999499949994,0.03650638533369761,0.0,low,1.0
"[965944394, 965944399]",0,0.923,7,0.038832879951524485,0.5,210.9,213.04,210.9,0.0,0.912,0.21428571428571427,0.058979139838753164,0.49994999499949994,0.0369354601433285,0.0,low,1.0
23184373,0,1.0,7,0.1490561432113836,0.5,74.18,74.18,87.09,0.0,1.0,0.21428571428571427,0.22638555703504618,0.49994999499949994,0.01299133444017121,0.0,low,1.0
965944388,0,1.0,7,0.1490561432113836,0.5,91.79,91.79,99.76,0.0,1.0,0.21428571428571427,0.22638555703504618,0.49994999499949994,0.016075419092252838,0.0,low,1.0
"[965944374, 965944356, 965944373, 119148342]",0,0.9531,6,0.0005134663047246934,0.9524,83.8,83.8,91.47,0.0,0.9463999999999999,0.14285714285714285,0.0007798490724303222,0.9523952395239524,0.014676109815130053,0.0,low,0.9999
217998060,0,0.9373,7,0.005987285217563859,0.9944,147.75,149.67,147.75,0.0,0.9283428571428571,0.21428571428571427,0.009093451713819617,0.9943994399439944,0.025875838009373094,0.0,low,0.8318
965944359,0,0.9605,7,0.005987285217563859,0.6716,147.56,150.78,147.56,0.0,0.9548571428571428,0.21428571428571427,0.009093451713819617,0.6715671567156716,0.02584256282005478,0.0,low,1.0
23184665,0,0.4505,6,0.3479949388985854,0.8078,135.42,145.14,135.42,0.0,0.372,0.14285714285714285,0.5285325815594802,0.8077807780778078,0.023716453355189876,0.0,high,1.0
965944350,0,0.9033,8,4.128957021528151e-07,0.9702,7.61,7.61,15.3,0.0,0.8894857142857143,0.2857142857142857,6.266969112835419e-07,0.9701970197019701,0.001332758898486154,0.0,low,0.5285
116034778,0,0.9064,7,0.3460639841095405,0.5,147.55,147.55,186.93,0.0,0.8930285714285714,0.21428571428571427,0.5255998592516682,0.49994999499949994,0.02584081149430119,0.0,medium,1.0
4388027,0,1.0,12,0.031933757505597946,0.5,98.35,98.35,99.69,0.0,1.0,0.5714285714285714,0.048500794920328875,0.49994999499949994,0.017224288786611464,0.0,low,1.0
93493233,0,0.8992,9,0.031933757505597946,0.5,100.77,101.24,100.77,0.0,0.8848,0.35714285714285715,0.048500794920328875,0.49994999499949994,0.01764810961898157,0.0,low,1.0
964388610,0,0.8631,11,0.040147422133224475,0.5,80.82,82.37,80.82,0.0,0.8435428571428571,0.5,0.06097565845363921,0.49994999499949994,0.014154214740558602,0.0,low,0.6079
4385149,0,0.9251,10,0.06792430758259799,1.0,167.81,167.81,174.9,0.0,0.9144,0.42857142857142855,0.10316302195955078,1.0,0.02938899747108561,0.0,medium,1.0
964388612,0,0.9819,10,0.031933757505597946,0.5,138.7,142.65,138.7,0.0,0.9793142857142857,0.42857142857142855,0.048500794920328875,0.49994999499949994,0.02429088820236919,0.0,low,1.0
964388600,0,0.9614,6,0.03402322973082881,0.5,175.27,193.31,175.27,0.0,0.9558857142857143,0.14285714285714285,0.05167427253940832,0.49994999499949994,0.030695486483267836,0.0,low,1.0
964388602,0,0.9235,6,0.0032510980039160433,0.3255,111.82,257.23,111.82,0.0,0.9125714285714286,0.14285714285714285,0.004937747331023483,0.32543254325432547,0.019583324576704565,0.0,low,1.0
964388606,0,0.496,6,0.17323458959811078,0.5,163.02,224.62,163.02,0.0,0.424,0.14285714285714285,0.2631076333306108,0.49994999499949994,0.028550112435113382,0.0,medium,0.5762
416097053,0,1.0,6,0.008912005103254036,0.34,163.41,163.41,167.39,0.0,1.0,0.14285714285714285,0.013535498364278857,0.33993399339933994,0.028618414139503605,0.0,low,1.0
787814185,0,1.0,6,0.1487241598726502,0.5,203.17,203.17,203.82,0.0,1.0,0.14285714285714285,0.2258813427733508,0.49994999499949994,0.035581685335799196,0.0,low,1.0
519258892,0,0.9995,6,2.7187735304619438e-05,0.5,193.3,193.3,195.55,0.0,0.9994285714285714,0.14285714285714285,4.129215932176457e-05,0.49994999499949994,0.03385312681700047,0.0,low,1.0
"[964388596, 964388597]",0,0.9421,6,0.18010403216968265,0.2909,304.22,308.93,304.22,0.0,0.9338285714285715,0.14285714285714285,0.27354090063763437,0.29082908290829085,0.053278832075881445,0.0,low,0.9999
"[183873865, 4002322]",0,0.9604,6,0.005906125346931281,0.3005,594.31,601.75,594.31,0.0,0.9547428571428572,0.14285714285714285,0.008970186599352059,0.30043004300430043,0.10408304086193247,0.0,low,1.0
"[16133995, 1033870980]",0,0.8766,8,0.09610664964121673,0.0541,542.69,549.65,542.69,0.0,0.8589714285714286,0.2857142857142857,0.14596619048043707,0.054005400540054004,0.09504269732187266,0.0,low,1.0
9279835,0,1.0,12,0.09475287570890055,0.5,94.27,94.27,96.84,0.0,1.0,0.5714285714285714,0.14391008692298304,0.49994999499949994,0.016509747879144512,0.0,low,0.9648
"[490292168, 42068076, 178282413, 39578223]",0,0.8694,9,0.046867559981643894,0.5,59.42,62.76,59.42,0.0,0.8507428571428571,0.35714285714285715,0.07118216266152903,0.49994999499949994,0.010406377627864293,0.0,low,0.9984
1362307734,0,0.8582,11,0.09475287570890055,0.5,96.43,96.43,97.15,0.0,0.8379428571428571,0.5,0.14391008692298304,0.49994999499949994,0.016888034241921136,0.0,medium,0.9992
9279835,0,1.0,12,0.09475287570890055,0.5,94.27,94.27,96.84,0.0,1.0,0.5714285714285714,0.14391008692298304,0.49994999499949994,0.016509747879144512,0.0,low,0.9648
4097556,0,0.5406,12,0.26721555459183394,0.5,103.98,103.98,104.92,0.0,0.47497142857142854,0.5714285714285714,0.40584534739336486,0.49994999499949994,0.018210285185885716,0.0,high,1.0
39629202,0,0.8675,9,0.012788798120986069,0.439,223.16,224.55,223.16,0.0,0.8485714285714286,0.35714285714285715,0.019423547856880625,0.4389438943894389,0.03908258551723655,0.0,low,0.9999
"[823518913, 104423162]",0,0.9806,6,0.010755178783050781,0.5,226.62,226.87,226.62,0.0,0.9778285714285715,0.14285714285714285,0.01633489926096462,0.49994999499949994,0.039688544227980585,0.0,low,1.0
23049964,0,0.7225,12,0.356826896772124,0.4978,130.65,131.69,130.65,0.0,0.6828571428571429,0.5714285714285714,0.5419465050880548,0.4977497749774978,0.02288107097072484,0.0,high,1.0
"[23049964, 972930396]",0,0.6436,10,0.2265000115630311,0.4076,12.62,12.62,14.98,0.0,0.5926857142857143,0.42857142857142855,0.34400682999632415,0.4075407540754076,0.0022101731010374854,0.0,medium,0.8965
331834306,0,0.6639,12,0.26458349103052226,0.3219,121.62,121.62,126.18,0.0,0.6158857142857144,0.5714285714285714,0.40184778537605004,0.32183218321832185,0.021299623815228128,0.0,high,0.973
23049964,0,0.5126,12,0.30200996856916545,0.5,71.37,71.41,71.37,0.0,0.4429714285714285,0.5714285714285714,0.4586908902499331,0.49994999499949994,0.012499211903410882,0.0,high,1.0
23049964,0,0.7225,12,0.356826896772124,0.4978,130.65,131.69,130.65,0.0,0.6828571428571429,0.5714285714285714,0.5419465050880548,0.4977497749774978,0.02288107097072484,0.0,high,1.0
57679688,0,0.7767,8,0.09414002970638927,0.5,120.62,124.76,120.62,0.0,0.7447999999999999,0.2857142857142857,0.1429793001676353,0.49994999499949994,0.021124491239868582,0.0,medium,0.9984
23049964,0,0.5386,12,0.35292938805502716,0.467,28.36,28.36,28.43,0.0,0.47268571428571426,0.5714285714285714,0.5360269927181274,0.466946694669467,0.0049667598371967575,0.0,high,1.0
"[186028696, 4387661]",0,0.7135,8,0.2095112927151538,0.4678,84.15,91.63,84.15,0.0,0.6725714285714286,0.2857142857142857,0.3182044678545566,0.4677467746774677,0.014737406216505896,0.0,medium,1.0
23049964,0,0.5126,12,0.30200996856916545,0.5,71.37,71.41,71.37,0.0,0.4429714285714285,0.5714285714285714,0.4586908902499331,0.49994999499949994,0.012499211903410882,0.0,high,1.0
23049964,0,0.5386,12,0.35292938805502716,0.467,28.36,28.36,28.43,0.0,0.47268571428571426,0.5714285714285714,0.5360269927181274,0.466946694669467,0.0049667598371967575,0.0,high,1.0
23049964,0,0.4641,12,0.4032114039578386,0.5664,28.27,28.27,30.31,0.0,0.38754285714285713,0.5714285714285714,0.6123950105280498,0.5663566356635664,0.004950997905414398,0.0,high,1.0
1026681072,0,0.6613,14,0.20973447867408113,0.7015,88.38,88.38,95.91,0.0,0.6129142857142857,0.7142857142857143,0.31854344132211265,0.7014701470147015,0.015478217010276778,0.0,high,1.0
24410170,0,0.6797,12,0.19718307934514656,0.5,81.98,81.98,87.14,0.0,0.6339428571428571,0.5714285714285714,0.29948045289014075,0.49994999499949994,0.014357368527975678,0.0,high,0.7046
23049964,0,0.6639,12,0.279035421033465,0.5,64.47,64.47,66.73,0.0,0.6158857142857144,0.5714285714285714,0.4237972881562434,0.49994999499949994,0.011290797133430007,0.0,high,0.9999
23049964,0,0.4641,12,0.4032114039578386,0.5664,28.27,28.27,30.31,0.0,0.38754285714285713,0.5714285714285714,0.6123950105280498,0.5663566356635664,0.004950997905414398,0.0,high,1.0
23049964,0,0.5718,12,0.25508933269717554,0.706,8.68,8.68,15.85,0.0,0.5106285714285714,0.5714285714285714,0.3874281158446479,0.7059705970597059,0.0015201507541208695,0.0,high,1.0
23049964,0,0.6639,12,0.279035421033465,0.5,64.47,64.47,66.73,0.0,0.6158857142857144,0.5714285714285714,0.4237972881562434,0.49994999499949994,0.011290797133430007,0.0,high,0.9999
24410173,0,0.7709,8,0.14634981739003897,0.6056,85.82,97.8,85.82,0.0,0.7381714285714286,0.2857142857142857,0.22227520595199932,0.6055605560556055,0.015029877617356337,0.0,medium,1.0
4387662,0,0.522,8,0.4139554828639082,0.2957,100.66,100.66,107.91,0.0,0.45371428571428574,0.2857142857142857,0.628713051770387,0.29562956295629567,0.01762884503569202,0.0,high,1.0
23049964,0,0.7349,12,0.19021370567046017,0.6491,67.59,67.59,67.9,0.0,0.6970285714285714,0.5714285714285714,0.2888954108357171,0.6490649064906491,0.011837210768551794,0.0,high,0.6641
23049964,0,0.4997,12,0.29319291203333303,0.767,112.65,112.65,112.68,0.0,0.4282285714285714,0.5714285714285714,0.44529959878180614,0.766976697669767,0.019728684614252992,0.0,high,1.0
4387663,0,0.4539,8,0.46937034193546134,0.324,152.32,152.32,156.9,0.0,0.3758857142857143,0.2857142857142857,0.7128768003498089,0.32393239323932393,0.026676193878766224,0.0,high,1.0
23049964,0,0.5682,12,0.2882962539381641,0.7384,184.67,184.73,184.67,0.0,0.5065142857142858,0.5714285714285714,0.4378625844555756,0.7383738373837383,0.03234173269164758,0.0,high,1.0
23049964,0,0.4997,12,0.2931929120333331,0.767,112.65,112.65,112.68,0.0,0.4282285714285714,0.5714285714285714,0.4452995987818062,0.766976697669767,0.019728684614252992,0.0,high,1.0
79926600,0,0.9988,6,0.008912005103254036,0.34,234.24,237.91,234.24,0.0,0.9986285714285714,0.14285714285714285,0.013535498364278857,0.33993399339933994,0.041023054452220334,0.0,low,1.0
"[79926600, 1163975735]",0,0.9511,6,0.0349260258891116,0.5,143.33,143.33,151.5,0.0,0.9441142857142857,0.14285714285714285,0.05304543381559365,0.49994999499949994,0.0251017520262839,0.0,low,1.0
1163975734,0,1.0,9,0.09213737482671282,1.0,97.08,97.08,100.88,0.0,1.0,0.35714285714285715,0.1399376802012865,1.0,0.01700187041590484,0.0,medium,0.9997
41328786,0,0.9979,9,0.09514734676935398,0.5,71.63,71.63,73.41,0.0,0.9976,0.35714285714285715,0.14450920715373183,0.49994999499949994,0.012544746373004364,0.0,low,1.0
79926603,0,1.0,12,0.09213737482671282,1.0,109.8,109.8,111.44,0.0,1.0,0.5714285714285714,0.1399376802012865,1.0,0.01922955677447828,0.0,medium,1.0
4002330,0,0.9479,6,0.09514734676935398,0.5,66.22,66.22,70.71,0.0,0.9404571428571428,0.14285714285714285,0.14450920715373183,0.49994999499949994,0.011597279140309214,0.0,low,1.0
79926605,0,0.9413,9,0.09514734676935398,0.5,59.66,59.66,63.14,0.0,0.9329142857142857,0.35714285714285715,0.14450920715373183,0.49994999499949994,0.010448409445950584,0.0,low,0.9992
9573753,0,0.9635,11,0.09213737482671282,0.8348,146.88,146.88,147.49,0.0,0.9582857142857143,0.5,0.1399376802012865,0.8347834783478347,0.02572347266881029,0.0,medium,1.0
79926603,0,1.0,12,0.09213737482671282,1.0,109.8,109.8,111.44,0.0,1.0,0.5714285714285714,0.1399376802012865,1.0,0.01922955677447828,0.0,medium,1.0
79926606,0,1.0,9,0.09213737482671282,0.7136,128.54,129.59,128.54,0.0,1.0,0.35714285714285715,0.1399376802012865,0.7135713571357136,0.02251154123671619,0.0,low,0.9468
4387719,0,0.9951,6,0.18018017976920997,0.5,181.91,181.91,189.66,0.0,0.9944,0.14285714285714285,0.273656553145444,0.49994999499949994,0.03185836678365522,0.0,low,0.9996
7020870,0,0.6486,12,0.17738389216270156,0.7331,157.4,157.4,161.23,0.0,0.5983999999999999,0.5714285714285714,0.26940956865404536,0.7330733073307331,0.027565867361592725,0.0,high,0.9999
23049964,0,0.5682,12,0.2882962539381641,0.7384,184.67,184.73,184.67,0.0,0.5065142857142858,0.5714285714285714,0.4378625844555756,0.7383738373837383,0.03234173269164758,0.0,high,1.0
206186267,0,0.6313,12,0.25674546198159315,0.7818,126.48,126.48,128.54,0.0,0.5786285714285714,0.5714285714285714,0.389943434859152,0.7817781778177818,0.022150768131475526,0.0,high,1.0
24410191,0,0.6649,12,0.2137349102100344,0.3337,71.07,83.16,71.07,0.0,0.6170285714285715,0.5714285714285714,0.32461927223898673,0.33363336333633364,0.012446672130803017,0.0,medium,0.8674
236236811,0,0.6728,12,0.26935917746098276,0.6776,114.99,114.99,115.94,0.0,0.6260571428571428,0.5714285714285714,0.4091010686787909,0.6775677567756776,0.02013849484059433,0.0,high,1.0
236236811,0,0.5334,10,0.28172337815314996,0.4233,11.58,11.58,24.06,0.0,0.4667428571428571,0.42857142857142855,0.42787974096770537,0.42324232423242325,0.0020280352226635565,0.0,high,1.0
"[165981531, 24332479]",0,0.6196,12,0.173085125801974,0.8211,224.23,238.97,224.23,0.0,0.5652571428571429,0.5714285714285714,0.2628806286324027,0.8210821082108212,0.03926997737287126,0.0,high,1.0
213217843,0,0.782,11,0.09520687158569426,0.8515,117.75,198.11,117.75,0.0,0.7508571428571429,0.5,0.14459961308024027,0.8514851485148516,0.02062186074858668,0.0,medium,0.9991
819927117,0,0.6277,11,0.2267759748079799,0.8259,200.85,200.85,207.97,0.0,0.5745142857142858,0.5,0.34442596128266456,0.8258825882588259,0.03517537776096505,0.0,high,1.0
213217843,0,0.782,11,0.09520687158569424,0.8515,117.75,198.11,117.75,0.0,0.7508571428571429,0.5,0.14459961308024027,0.8514851485148516,0.02062186074858668,0.0,medium,0.9991
1405782137,0,0.8287,11,0.09556227768975438,1.0,63.54,142.21,63.54,0.0,0.8042285714285714,0.5,0.1451394016944653,1.0,0.011127923838345627,0.0,medium,0.9986
4388059,0,0.929,8,0.05576570029090716,1.0,59.63,59.63,71.27,0.0,0.9188571428571429,0.2857142857142857,0.08469660366815962,1.0,0.010443155468689798,0.0,medium,0.9987
"[22928356, 93910973, 23097990]",0,0.873,11,0.06061187436575602,0.7801,45.66,72.16,45.66,0.0,0.8548571428571429,0.5,0.09205694317350847,0.7800780078007801,0.007996553390916924,0.0,medium,1.0
"[819927122, 819927123]",0,0.9565,11,0.024602157760526554,1.0,44.04,44.04,44.24,0.0,0.9502857142857143,0.5,0.03736560612859371,1.0,0.007712838618834457,0.0,medium,0.9998
23770923,0,0.7108,12,0.2097681812468689,0.0674,52.13,52.13,70.94,0.0,0.6694857142857142,0.5714285714285714,0.3185946285832573,0.0673067306730673,0.009129661153493195,0.0,medium,1.0
39628500,0,0.777,12,0.10449896739992316,0.2618,35.69,35.69,41.05,0.0,0.7451428571428572,0.5714285714285714,0.15871239129510223,0.2617261726172617,0.006250481614582238,0.0,medium,0.9996
39628500,0,0.7678,10,0.15221520880275083,0.4404,106.37,106.37,106.84,0.0,0.7346285714285715,0.42857142857142855,0.2311835265080791,0.4403440344034404,0.018628852040995035,0.0,medium,1.0
32142555,0,0.7722,12,0.20810242303754345,0.4053,5.45,5.45,12.58,0.0,0.7396571428571429,0.5714285714285714,0.3160646852165738,0.40524052405240524,0.0009544725357095321,0.0,medium,0.9999
39628500,0,0.777,12,0.10449896739992322,0.2618,35.69,35.69,41.05,0.0,0.7451428571428572,0.5714285714285714,0.1587123912951023,0.2617261726172617,0.006250481614582238,0.0,medium,0.9996
42485714,0,0.7347,12,0.1710580903541339,0.0427,7.8,7.8,14.56,0.0,0.6968,0.5714285714285714,0.2598019796084414,0.0426042604260426,0.001366034087804468,0.0,medium,1.0
42485714,0,0.7334,12,0.24921534086121655,0.0861,68.51,68.73,68.51,0.0,0.6953142857142858,0.5714285714285714,0.37850673301841214,0.086008600860086,0.011998332737882578,0.0,medium,1.0
32143253,0,0.7351,12,0.3180117083836578,0.2395,68.59,80.23,68.59,0.0,0.6972571428571428,0.5714285714285714,0.4829942346803732,0.23942394239423942,0.012012343343911342,0.0,high,0.5479
42485714,0,0.7347,12,0.1710580903541339,0.0427,7.8,7.8,14.56,0.0,0.6968,0.5714285714285714,0.2598019796084414,0.0426042604260426,0.001366034087804468,0.0,medium,1.0
42485714,0,0.7334,12,0.24921534086121655,0.0861,68.51,68.73,68.51,0.0,0.6953142857142858,0.5714285714285714,0.37850673301841214,0.086008600860086,0.011998332737882578,0.0,medium,1.0
32143252,0,0.6668,14,0.35605529871527736,0.3267,144.32,155.99,144.32,0.0,0.6192,0.7142857142857143,0.5407746066848312,0.3266326632663266,0.025275133275889847,0.0,high,1.0
42485714,0,0.8929,12,0.0820510380051768,0.3418,191.45,194.23,191.45,0.0,0.8776,0.5714285714285714,0.12461861360871436,0.34173417341734175,0.03352913155258531,0.0,medium,0.6555
