osmid,lighting,visibility,connectivity,enclosure,dominant_land_use_score,public_transport_proximity_m,dist_to_rail_m,dist_to_bus_m,lighting_norm,visibility_norm,connectivity_norm,enclosure_norm,dominant_land_use_score_norm,public_transport_proximity_m_norm,pedestrian_priority_score_norm,risk_class,risk_probability
204647020,0,1.0,11,0.07639024325272854,0.3507,358.29,360.54,358.29,0.0,1.0,0.6153846153846154,0.11581039408639264,0.35063506350635065,0.4161023150998409,0.0,high,1.0
204647016,0,0.8658,8,0.07639024325272854,0.3507,376.45,378.18,376.45,0.0,0.8545730385782402,0.38461538461538464,0.11581039408639264,0.35063506350635065,0.43719725394078085,0.0,high,1.0
"[233623258, 1303266759]",0,0.8131,14,0.04055581590740288,0.3507,382.3,386.81,382.3,0.0,0.7974642392717816,0.8461538461538461,0.061484025724320865,0.35063506350635065,0.4439927050541894,0.0,high,1.0
18769878,0,0.7955,7,0.01690012052035574,0.4931,346.44,346.44,347.17,0.0,0.7783918508885999,0.3076923076923077,0.025621082832188374,0.49304930493049304,0.4023371705367826,0.0,high,1.0
"[1067121866, 4257261]",0,0.8006,7,0.00032231224803651944,0.5006,306.42,306.42,307.37,0.0,0.7839185088859991,0.3076923076923077,0.0004884886886044675,0.5005500550055006,0.3558493152276186,0.0,high,1.0
"[140635065, 35803578, 35803575]",0,1.0,10,0.0916281477871742,0.019,122.13,122.78,122.13,0.0,1.0,0.5384615384615384,0.13891164269368653,0.018901890189018902,0.1417751809216258,0.0,high,0.9951
"[1302339905, 1302339909, 1302339908, 1302327773]",0,0.9497,10,0.0025516101322059937,0.1456,203.49,210.72,203.49,0.0,0.9454919809276116,0.5384615384615384,0.003868189914944169,0.14551455145514552,0.2362842240988767,0.0,high,0.8987
"[140635065, 35803578, 35803575]",0,1.0,10,0.0916281477871742,0.019,122.13,122.78,122.13,0.0,1.0,0.5384615384615384,0.13891164269368653,0.018901890189018902,0.1417751809216258,0.0,high,0.9951
642664885,0,0.9327,12,0.15133277207618204,0.019,10.89,10.89,14.61,0.0,0.9270697876029476,0.6923076923076923,0.22942614654739005,0.018901890189018902,0.012557064365119008,0.0,medium,0.9933
1024418085,0,0.8411,12,0.0916281477871742,0.019,25.7,25.7,27.63,0.0,0.8278066753359341,0.6923076923076923,0.13891164269368653,0.018901890189018902,0.029760591030004533,0.0,medium,0.9929
