osmid,lighting,visibility,connectivity,enclosure,dominant_land_use_score,public_transport_proximity_m,dist_to_rail_m,dist_to_bus_m,lighting_norm,visibility_norm,connectivity_norm,enclosure_norm,dominant_land_use_score_norm,public_transport_proximity_m_norm,pedestrian_priority_score_norm,risk_class,risk_probability
7369481,0,0.7529,8,0.028849876192558525,0.128,422.01,422.01,456.03,0.0,0.6273563565073141,0.3,0.04824867651791817,0.12730184147317855,0.5986505796909297,0.0,high,1.0
30988533,0,0.8029,6,0.20771326338039695,0.0202,521.55,521.55,566.13,0.0,0.7027597647413663,0.1,0.3498448345567233,0.019415532425940754,0.7452895508316022,0.0,high,1.0
30988533,0,0.816,6,0.2442226335863343,0.0248,680.8,680.8,712.03,0.0,0.7225154576986879,0.1,0.4114062639786291,0.02401921537229784,0.9798912803288106,0.0,high,1.0
7374252,0,0.9317,8,0.09988848701987278,0.5,315.0,315.0,369.46,0.0,0.8969989443522847,0.3,0.16803267722809037,0.49959967974379504,0.4410070564664634,0.0,high,0.9975
1239354675,0,0.6504,8,0.23188502091791433,0.0309,285.2,285.2,330.87,0.0,0.47277936962750716,0.3,0.3906028081195568,0.03012409927942354,0.3971067014333908,0.0,high,1.0
7374252,0,0.9317,8,0.09988848701987278,0.5,315.0,315.0,369.46,0.0,0.8969989443522847,0.3,0.16803267722809037,0.49959967974379504,0.4410070564664634,0.0,high,0.9975
"[7374328, 7374130]",0,0.8225,7,0.25137589948851746,0.0505,509.69,509.69,541.57,0.0,0.7323179007691147,0.2,0.42346796954871746,0.04973979183346677,0.7278177987949499,0.0,high,1.0
30906221,0,0.695,8,0.11273532634666716,0.2462,503.59,506.3,503.59,0.0,0.5400392097722817,0.3,0.18969478172482584,0.2455964771817454,0.7188314845096565,0.0,high,1.0
30988533,0,0.781,7,0.19206970875131393,1.0,569.16,571.93,569.16,0.0,0.6697330719348515,0.2,0.32346696008850234,1.0,0.815426997245179,0.0,high,1.0
7369545,0,0.65,6,0.27915925713116296,0.0104,554.84,554.84,589.75,0.0,0.4721761423616348,0.1,0.47031575686944027,0.009607686148919135,0.7943312561688838,0.0,high,1.0
7369547,0,0.6163,6,0.39504395655617147,0.0144,575.01,575.01,599.46,0.0,0.4213542452118835,0.1,0.6657184084213768,0.013610888710968775,0.824045019961403,0.0,high,1.0
7369547,0,0.6294,6,0.45453222817870687,0.0348,661.98,661.98,680.64,0.0,0.4411099381692052,0.1,0.7660264393259009,0.034027221777421936,0.9521662910092662,0.0,high,1.0
7369583,0,0.6379,6,0.37103013651873556,0.0315,582.34,582.34,587.56,0.0,0.45392851756899416,0.1,0.6252267461701188,0.03072457966373099,0.8348433287665179,0.0,high,1.0
7369669,0,0.6266,6,0.294258584448433,0.4738,347.48,350.24,347.48,0.0,0.4368873473080984,0.1,0.49577596524107653,0.4733787029623699,0.48885549711995996,0.0,high,1.0
30988533,0,0.7851,7,0.18921913816872557,1.0,421.75,424.51,421.75,0.0,0.6759161514100438,0.2,0.31866038033261174,1.0,0.5982675564590975,0.0,high,1.0
7369635,0,0.8104,6,0.19561540742832648,0.012,673.93,676.68,673.93,0.0,0.7140702759764742,0.1,0.32944565206880816,0.011208967173738992,0.9697706280107834,0.0,high,1.0
7369636,0,0.8133,6,0.20385575552979657,0.0363,694.45,694.45,704.35,0.0,0.7184436736540492,0.1,0.34334037567535475,0.03552842273819055,1.0,0.0,high,1.0
7369590,0,0.5974,6,0.37328266222792666,0.4459,642.42,645.18,642.42,0.0,0.39285175689941193,0.1,0.6290249136456247,0.44545636509207365,0.9233511586452762,0.0,high,1.0
