osmid,lighting,visibility,connectivity,enclosure,dominant_land_use_score,public_transport_proximity_m,dist_to_rail_m,dist_to_bus_m,lighting_norm,visibility_norm,connectivity_norm,enclosure_norm,dominant_land_use_score_norm,public_transport_proximity_m_norm,pedestrian_priority_score_norm,risk_class,risk_probability
796,0,,14,,,,,,0.0,0.0,0.7333333333333333,0.0,0.0,0.0,0.0,high,0.9999
842,0,,14,,,,,,0.0,0.0,0.7333333333333333,0.0,0.0,0.0,0.0,high,0.9999
843,0,,16,,,,,,0.0,0.0,0.8666666666666667,0.0,0.0,0.0,0.0,high,1.0
4565400,0,,14,,,,,,0.0,0.0,0.7333333333333333,0.0,0.0,0.0,0.0,high,0.9999
842,0,,12,,,,,,0.0,0.0,0.6,0.0,0.0,0.0,0.0,high,0.9962
842,0,,12,,,,,,0.0,0.0,0.6,0.0,0.0,0.0,0.0,high,0.9962
243316377,0,,8,,,,,,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,medium,0.9422
842,0,,12,,,,,,0.0,0.0,0.6,0.0,0.0,0.0,0.0,high,0.9962
189753158,0,,12,,,,,,0.0,0.0,0.6,0.0,0.0,0.0,0.0,high,0.9962
842,0,,14,,,,,,0.0,0.0,0.7333333333333333,0.0,0.0,0.0,0.0,high,0.9999
2142,0,,12,,,,,,0.0,0.0,0.6,0.0,0.0,0.0,0.0,high,0.9962
"[417548973, 2142]",0,,14,,,,,,0.0,0.0,0.7333333333333333,0.0,0.0,0.0,0.0,high,0.9999
4209835,0,,12,,,,,,0.0,0.0,0.6,0.0,0.0,0.0,0.0,high,0.9962
800,0,,14,,,,,,0.0,0.0,0.7333333333333333,0.0,0.0,0.0,0.0,high,0.9999
800,0,,14,,,,,,0.0,0.0,0.7333333333333333,0.0,0.0,0.0,0.0,high,0.9999
"[417548969, 2142]",0,,14,,,,,,0.0,0.0,0.7333333333333333,0.0,0.0,0.0,0.0,high,0.9999
"[2141, 417548975]",0,,14,,,,,,0.0,0.0,0.7333333333333333,0.0,0.0,0.0,0.0,high,0.9999
841,0,,14,,,,,,0.0,0.0,0.7333333333333333,0.0,0.0,0.0,0.0,high,0.9999
842,0,,14,,,,,,0.0,0.0,0.7333333333333333,0.0,0.0,0.0,0.0,high,0.9999
"[2370269, 417548966]",0,,14,,,,,,0.0,0.0,0.7333333333333333,0.0,0.0,0.0,0.0,high,0.9999
"[417548973, 2142]",0,,14,,,,,,0.0,0.0,0.7333333333333333,0.0,0.0,0.0,0.0,high,0.9999
"[2370269, 417548966]",0,,14,,,,,,0.0,0.0,0.7333333333333333,0.0,0.0,0.0,0.0,high,0.9999
2370269,0,,12,,,,,,0.0,0.0,0.6,0.0,0.0,0.0,0.0,high,0.9962
2370273,0,,12,,,,,,0.0,0.0,0.6,0.0,0.0,0.0,0.0,high,0.9962
2370273,0,,12,,,,,,0.0,0.0,0.6,0.0,0.0,0.0,0.0,high,0.9962
2370273,0,,12,,,,,,0.0,0.0,0.6,0.0,0.0,0.0,0.0,high,0.9962
8123583,0,,12,,,,,,0.0,0.0,0.6,0.0,0.0,0.0,0.0,high,0.9962
8123583,0,,8,,,,,,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,medium,0.9422
2370269,0,,12,,,,,,0.0,0.0,0.6,0.0,0.0,0.0,0.0,high,0.9962
2370377,0,,12,,,,,,0.0,0.0,0.6,0.0,0.0,0.0,0.0,high,0.9962
189753158,0,,12,,,,,,0.0,0.0,0.6,0.0,0.0,0.0,0.0,high,0.9962
189753158,0,,12,,,,,,0.0,0.0,0.6,0.0,0.0,0.0,0.0,high,0.9962
4984317,0,,12,,,,,,0.0,0.0,0.6,0.0,0.0,0.0,0.0,high,0.9962
189753158,0,,12,,,,,,0.0,0.0,0.6,0.0,0.0,0.0,0.0,high,0.9962
4984317,0,,8,,,,,,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,medium,0.9422
4984318,0,,8,,,,,,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,medium,0.9422
4984317,0,,12,,,,,,0.0,0.0,0.6,0.0,0.0,0.0,0.0,high,0.9962
243316377,0,,8,,,,,,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,medium,0.9422
841,0,,12,,,,,,0.0,0.0,0.6,0.0,0.0,0.0,0.0,high,0.9962
841,0,,12,,,,,,0.0,0.0,0.6,0.0,0.0,0.0,0.0,high,0.9962
2480756,0,,8,,,,,,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,medium,0.9422
2480756,0,,8,,,,,,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,medium,0.9422
2370415,0,,12,,,,,,0.0,0.0,0.6,0.0,0.0,0.0,0.0,high,0.9962
2370415,0,,12,,,,,,0.0,0.0,0.6,0.0,0.0,0.0,0.0,high,0.9962
4984987,0,,12,,,,,,0.0,0.0,0.6,0.0,0.0,0.0,0.0,high,0.9962
2370415,0,,12,,,,,,0.0,0.0,0.6,0.0,0.0,0.0,0.0,high,0.9962
2370377,0,,12,,,,,,0.0,0.0,0.6,0.0,0.0,0.0,0.0,high,0.9962
895108216,0,,12,,,,,,0.0,0.0,0.6,0.0,0.0,0.0,0.0,high,0.9962
4984314,0,,12,,,,,,0.0,0.0,0.6,0.0,0.0,0.0,0.0,high,0.9962
895108216,0,,12,,,,,,0.0,0.0,0.6,0.0,0.0,0.0,0.0,high,0.9962
"[895108216, 895108215]",0,,13,,,,,,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,high,0.9995
39319568,0,,12,,,,,,0.0,0.0,0.6,0.0,0.0,0.0,0.0,high,0.9962
2370454,0,,15,,,,,,0.0,0.0,0.8,0.0,0.0,0.0,0.0,high,1.0
38181314,0,,13,,,,,,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,high,0.9995
"[895108216, 895108215]",0,,13,,,,,,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,high,0.9995
4565400,0,,11,,,,,,0.0,0.0,0.5333333333333333,0.0,0.0,0.0,0.0,high,0.9699
4565400,0,,12,,,,,,0.0,0.0,0.6,0.0,0.0,0.0,0.0,high,0.9962
4984313,0,,8,,,,,,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,medium,0.9422
4565400,0,,12,,,,,,0.0,0.0,0.6,0.0,0.0,0.0,0.0,high,0.9962
4565400,0,,12,,,,,,0.0,0.0,0.6,0.0,0.0,0.0,0.0,high,0.9962
4984311,0,,12,,,,,,0.0,0.0,0.6,0.0,0.0,0.0,0.0,high,0.9962
4565400,0,,12,,,,,,0.0,0.0,0.6,0.0,0.0,0.0,0.0,high,0.9962
4565400,0,,14,,,,,,0.0,0.0,0.7333333333333333,0.0,0.0,0.0,0.0,high,0.9999
4984238,0,,8,,,,,,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,medium,0.9422
4984311,0,,8,,,,,,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,medium,0.9422
4984311,0,,12,,,,,,0.0,0.0,0.6,0.0,0.0,0.0,0.0,high,0.9962
4984312,0,,12,,,,,,0.0,0.0,0.6,0.0,0.0,0.0,0.0,high,0.9962
4984314,0,,12,,,,,,0.0,0.0,0.6,0.0,0.0,0.0,0.0,high,0.9962
4984314,0,,8,,,,,,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,medium,0.9422
4984315,0,,8,,,,,,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,medium,0.9422
4984315,0,,8,,,,,,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,medium,0.9422
71127193,0,,12,,,,,,0.0,0.0,0.6,0.0,0.0,0.0,0.0,high,0.9962
71127193,0,,12,,,,,,0.0,0.0,0.6,0.0,0.0,0.0,0.0,high,0.9962
4565505,0,,12,,,,,,0.0,0.0,0.6,0.0,0.0,0.0,0.0,high,0.9962
4209992,0,,7,,,,,,0.0,0.0,0.26666666666666666,0.0,0.0,0.0,0.0,medium,0.9925
71327169,0,,6,,,,,,0.0,0.0,0.2,0.0,0.0,0.0,0.0,medium,0.9991
859,0,,7,,,,,,0.0,0.0,0.26666666666666666,0.0,0.0,0.0,0.0,medium,0.9925
71404585,0,,7,,,,,,0.0,0.0,0.26666666666666666,0.0,0.0,0.0,0.0,medium,0.9925
"[1477781680, 1479657075, 1479657076, 4209959]",0,,9,,,,,,0.0,0.0,0.4,0.0,0.0,0.0,0.0,medium,0.669
71404586,0,,6,,,,,,0.0,0.0,0.2,0.0,0.0,0.0,0.0,medium,0.9991
3350833,0,,12,,,,,,0.0,0.0,0.6,0.0,0.0,0.0,0.0,high,0.9962
71324226,0,,12,,,,,,0.0,0.0,0.6,0.0,0.0,0.0,0.0,high,0.9962
3350828,0,,12,,,,,,0.0,0.0,0.6,0.0,0.0,0.0,0.0,high,0.9962
3350825,0,,14,,,,,,0.0,0.0,0.7333333333333333,0.0,0.0,0.0,0.0,high,0.9999
98900032,0,,14,,,,,,0.0,0.0,0.7333333333333333,0.0,0.0,0.0,0.0,high,0.9999
98900048,0,,14,,,,,,0.0,0.0,0.7333333333333333,0.0,0.0,0.0,0.0,high,0.9999
1525985435,0,,12,,,,,,0.0,0.0,0.6,0.0,0.0,0.0,0.0,high,0.9962
14306381,0,,10,,,,,,0.0,0.0,0.4666666666666667,0.0,0.0,0.0,0.0,high,0.7996
794,0,,9,,,,,,0.0,0.0,0.4,0.0,0.0,0.0,0.0,medium,0.669
14306381,0,,10,,,,,,0.0,0.0,0.4666666666666667,0.0,0.0,0.0,0.0,high,0.7996
3350859,0,,8,,,,,,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,medium,0.9422
793,0,,7,,,,,,0.0,0.0,0.26666666666666666,0.0,0.0,0.0,0.0,medium,0.9925
633069094,0,,6,,,,,,0.0,0.0,0.2,0.0,0.0,0.0,0.0,medium,0.9991
792,0,,5,,,,,,0.0,0.0,0.13333333333333333,0.0,0.0,0.0,0.0,medium,0.9999
790,0,,6,,,,,,0.0,0.0,0.2,0.0,0.0,0.0,0.0,medium,0.9991
"[645940728, 431208068, 788]",0,,6,,,,,,0.0,0.0,0.2,0.0,0.0,0.0,0.0,medium,0.9991
71324220,0,,6,,,,,,0.0,0.0,0.2,0.0,0.0,0.0,0.0,medium,0.9991
4730794,0,,7,,,,,,0.0,0.0,0.26666666666666666,0.0,0.0,0.0,0.0,medium,0.9925
71324223,0,,7,,,,,,0.0,0.0,0.26666666666666666,0.0,0.0,0.0,0.0,medium,0.9925
787,0,,7,,,,,,0.0,0.0,0.26666666666666666,0.0,0.0,0.0,0.0,medium,0.9925
14306381,0,,9,,,,,,0.0,0.0,0.4,0.0,0.0,0.0,0.0,medium,0.669
640377351,0,,12,,,,,,0.0,0.0,0.6,0.0,0.0,0.0,0.0,high,0.9962
71324228,0,,10,,,,,,0.0,0.0,0.4666666666666667,0.0,0.0,0.0,0.0,high,0.7996
"[1099465969, 71594911]",0,,12,,,,,,0.0,0.0,0.6,0.0,0.0,0.0,0.0,high,0.9962
694363799,0,,12,,,,,,0.0,0.0,0.6,0.0,0.0,0.0,0.0,high,0.9962
2481076,0,,12,,,,,,0.0,0.0,0.6,0.0,0.0,0.0,0.0,high,0.9962
694363799,0,,12,,,,,,0.0,0.0,0.6,0.0,0.0,0.0,0.0,high,0.9962
104864384,0,,9,,,,,,0.0,0.0,0.4,0.0,0.0,0.0,0.0,medium,0.669
2400400,0,,10,,,,,,0.0,0.0,0.4666666666666667,0.0,0.0,0.0,0.0,high,0.7996
4209999,0,,9,,,,,,0.0,0.0,0.4,0.0,0.0,0.0,0.0,medium,0.669
101564966,0,,12,,,,,,0.0,0.0,0.6,0.0,0.0,0.0,0.0,high,0.9962
71594922,0,,12,,,,,,0.0,0.0,0.6,0.0,0.0,0.0,0.0,high,0.9962
71595683,0,,10,,,,,,0.0,0.0,0.4666666666666667,0.0,0.0,0.0,0.0,high,0.7996
4209999,0,,8,,,,,,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,medium,0.9422
