osmid,lighting,visibility,connectivity,enclosure,dominant_land_use_score,public_transport_proximity_m,dist_to_rail_m,dist_to_bus_m,pedestrian_priority_score,lighting_norm,visibility_norm,connectivity_norm,enclosure_norm,dominant_land_use_score_norm,public_transport_proximity_m_norm,pedestrian_priority_score_norm,risk_class,risk_probability
"[931616773, 603022119, 914791432, 1478847731, 126304603]",0,0.9721,6,0.10103521438603705,0.9548,3.2,3.2,11.33,0.425,0.0,0.965946539729037,0.3,0.1401105509590317,0.9547954795479547,0.00911168405015821,0.3184357541899442,low,0.9909
"[20355312, 545937949, 1360091605, 140001534]",0,0.9972,6,0.00031228397971908126,0.5,48.39,48.39,66.64,0.465,0.0,0.9965824484315879,0.3,0.00042588725200625415,0.49994999499949994,0.14150943396226412,0.40782122905027945,low,1.0
"[542956869, 542956871, 20475367, 542956873, 257568507]",0,0.542,9,0.09847764419302181,0.2252,44.67,44.67,45.87,0.385,0.0,0.44098620773831326,0.6,0.1365636591948894,0.22512251225122515,0.13061057072541893,0.229050279329609,medium,0.9999
"[962829744, 1235276476, 1235264093, 893745919]",0,0.5169,9,0.16642077467162242,0.4433,58.21,58.21,96.6,0.6525,0.0,0.4103502990357623,0.6,0.23078861168406523,0.44324432443244327,0.1702800890659791,0.8268156424581006,medium,0.9902
"[20042722, 1213183375]",0,0.7561,8,0.11636363000575627,0.9203,5.95,5.95,11.69,0.465,0.0,0.7023068473086781,0.5,0.1613683179080728,0.9202920292029203,0.01716863939997656,0.40782122905027945,medium,0.9405
"[556115013, 889928966, 887044711, 519375847, 68506254]",0,0.525,9,0.15675863707577076,0.8069,28.45,28.45,33.01,0.385,0.0,0.42023678750152577,0.6,0.21738895745118078,0.8068806880688069,0.0830891831712176,0.229050279329609,medium,0.9902
"[295215809, 68506253]",0,0.5947,10,0.08833943512057847,0.2761,18.09,18.09,19.54,0.305,0.0,0.5053094104723544,0.7,0.12250377909446956,0.27602760276027605,0.05273643501699284,0.05027932960893859,medium,1.0
68506265,19,0.4904,7,0.19655756829865403,0.2133,17.03,17.03,19.89,0.425,0.20652173913043478,0.3780056145490052,0.4,0.2725829465591344,0.21322132213221323,0.04963084495488105,0.3184357541899442,medium,0.5911
304693491,1,0.9089,7,0.12478224489744895,0.2954,27.66,27.66,28.08,0.4075,0.010869565217391304,0.8888075186134505,0.4,0.1730434288811277,0.29532953295329534,0.08077463963436071,0.27932960893854747,low,0.9924
545718428,1,0.9096,7,0.12478224489744895,0.2954,32.54,32.54,39.74,0.4425,0.010869565217391304,0.8896619065055534,0.4,0.1730434288811277,0.29532953295329534,0.09507207312785652,0.35754189944134085,low,0.9973
