osmid,lighting,visibility,connectivity,enclosure,dominant_land_use_score,public_transport_proximity_m,dist_to_rail_m,dist_to_bus_m,lighting_norm,visibility_norm,connectivity_norm,enclosure_norm,dominant_land_use_score_norm,public_transport_proximity_m_norm,pedestrian_priority_score_norm,risk_class,risk_probability
"[1205657262, 3998255]",0,1.0,4,0.10408050520947126,0.5,1181.67,1181.67,1192.31,0.0,1.0,0.0,0.107532317890096,0.49994999499949994,0.32259438327704965,0.0,medium,0.998
"[329022404, 10416772, 329022405, 143902500]",0,1.0,5,0.0036835906872830014,0.5,1473.44,2290.4,1473.44,0.0,1.0,0.07142857142857142,0.0038057563462963835,0.49994999499949994,0.40224789038463116,0.0,medium,0.9999
91015599,0,1.0,6,0.0019449619750107061,1.0,555.69,1800.56,555.69,0.0,1.0,0.14285714285714285,0.0020094663010931245,1.0,0.15170120584549782,0.0,medium,0.9809
"[159243064, 145733243, 145733244, 146390928]",0,0.999,6,0.03378534776172507,1.0,600.55,1810.75,600.55,0.0,0.9987007925165647,0.14285714285714285,0.03490583320242889,1.0,0.16394803152615758,0.0,medium,0.9997
"[159243073, 146391979]",0,1.0,6,0.0846671646568119,0.0478,490.37,2437.93,490.37,0.0,1.0,0.14285714285714285,0.08747513711726329,0.0477047704770477,0.13386877933054692,0.0,low,1.0
"[3689912, 4908193, 4908194]",0,1.0,6,0.004016472093992024,0.0233,556.49,4781.74,556.49,0.0,1.0,0.14285714285714285,0.004149677709658193,0.023202320232023205,0.15191960666013285,0.0,low,1.0
"[134873642, 4908196, 206196157, 3689911]",0,1.0,6,0.00150997158812148,0.0229,598.57,5558.52,598.57,0.0,1.0,0.14285714285714285,0.001560049530155859,0.022802280228022803,0.1634074895099359,0.0,low,1.0
"[662635539, 10275549]",0,1.0,6,0.0690087375071048,0.137,1098.82,5135.86,1098.82,0.0,1.0,0.14285714285714285,0.07129740082772583,0.13691369136913695,0.29997624891140845,0.0,low,0.9998
"[158470211, 206196156]",0,1.0,6,0.0015099715881214818,0.0229,585.31,5488.01,585.31,0.0,1.0,0.14285714285714285,0.0015600495301558608,0.022802280228022803,0.1597874960073601,0.0,low,1.0
"[91015584, 145733244, 91015638]",0,1.0,6,0.07263128433738512,0.8126,641.99,3106.2,641.99,0.0,1.0,0.14285714285714285,0.0750400888229164,0.8125812581258126,0.1752611937242526,0.0,medium,0.9931
"[146722329, 681630031]",0,1.0,6,0.004004474190987452,0.8126,454.34,2659.65,454.34,0.0,1.0,0.14285714285714285,0.00413728189819005,0.8125812581258126,0.12403255264142135,0.0,low,0.9989
"[32451683, 695807623]",0,1.0,6,0.000931897809496182,0.5,680.53,757.99,680.53,0.0,1.0,0.14285714285714285,0.0009628040305226814,0.49994999499949994,0.18578265296929558,0.0,low,1.0
"[143907875, 32451685]",0,1.0,6,0.000931897809496182,0.5,387.68,1021.55,387.68,0.0,1.0,0.14285714285714285,0.0009628040305226814,0.49994999499949994,0.10583430476195678,0.0,low,1.0
"[91015646, 91015654, 91015590, 91015599, 91015670, 91015673, 143907870]",0,1.0,6,0.000931897809496182,0.5,1627.12,1764.55,1627.12,0.0,1.0,0.14285714285714285,0.0009628040305226814,0.49994999499949994,0.44420268687602205,0.0,medium,1.0
"[6272394, 143905436, 143905437]",0,1.0,6,0.005709417797343497,0.057,623.43,1347.8,623.43,0.0,1.0,0.14285714285714285,0.005898769676525246,0.05690569056905691,0.1701942948247197,0.0,low,1.0
"[145733242, 153675123, 143905430]",0,1.0,6,0.003965805309201466,0.5,437.55,448.35,437.55,0.0,1.0,0.14285714285714285,0.004097330569351976,0.49994999499949994,0.11944886554426849,0.0,low,1.0
"[146735424, 143906431]",0,0.9941,6,0.0006439090101277374,0.5,880.39,880.39,900.63,0.0,0.9923346758477328,0.14285714285714285,0.0006652641303794949,0.49994999499949994,0.24034463648549412,0.0,low,0.9966
"[143904947, 6272397, 360025143]",0,1.0,5,0.00046501219510702315,0.5,2047.25,2058.55,2047.25,0.0,1.0,0.07142857142857142,0.00048043423215453704,0.49994999499949994,0.5588986046917955,0.0,medium,0.9996
"[1074264775, 146396105, 146394348, 146394330, 146394332, 146394334]",0,0.9986,6,0.011341072434870585,1.0,346.63,364.9,346.63,0.0,0.9981811095231907,0.14285714285714285,0.011717197206225645,1.0,0.09462761296099635,0.0,low,0.8535
"[660237249, 975312515, 146396097]",0,0.984,6,0.0009837965253215522,0.3708,354.86,637.85,354.86,0.0,0.9792126802650383,0.14285714285714285,0.0010164239586521926,0.37073707370737075,0.09687441134155432,0.0,low,1.0
"[3689920, 775679488, 85038961, 744091232]",0,0.9982,5,0.005199341112114459,0.5,1563.69,5540.52,1563.69,0.0,0.9976614265298168,0.07142857142857142,0.005371776382615063,0.49994999499949994,0.4268862322856465,0.0,medium,1.0
"[184205345, 234580364]",0,1.0,5,0.005199341112114459,0.5,1517.88,5624.54,1517.88,0.0,1.0,0.07142857142857142,0.005371776382615063,0.49994999499949994,0.4143800556376076,0.0,medium,1.0
"[10275529, 158419683, 4314431]",0,0.9998,6,0.11661842475325342,0.1525,194.73,7131.22,194.73,0.0,0.999740158503313,0.14285714285714285,0.12048605545642237,0.15241524152415242,0.05315875828216839,0.0,low,1.0
"[85038937, 720478890, 3999870]",0,1.0,6,0.005199341112114459,0.1332,1515.91,5745.47,1515.91,0.0,1.0,0.14285714285714285,0.005371776382615063,0.13311331133113313,0.4138422436315688,0.0,low,0.6732
"[158419680, 234580367]",0,1.0,5,0.005199341112114459,0.5,1493.62,5603.72,1493.62,0.0,1.0,0.07142857142857142,0.005371776382615063,0.49994999499949994,0.4077570509338,0.0,medium,1.0
3689914,0,1.0,6,0.05307939785739193,1.0,428.26,6121.64,428.26,0.0,1.0,0.14285714285714285,0.0548397672700445,1.0,0.1169126860843191,0.0,medium,0.9852
"[648697080, 648697481, 85038954, 28177763]",0,1.0,6,0.0015099715881214818,0.0229,687.65,5441.14,687.65,0.0,1.0,0.14285714285714285,0.0015600495301558608,0.022802280228022803,0.1877264202195474,0.0,low,1.0
"[3992789, 4314429, 85038950]",0,0.9995,6,0.11661842475325342,0.6174,172.7,7080.89,172.7,0.0,0.9993503962582825,0.14285714285714285,0.12048605545642237,0.6173617361736173,0.04714454584915602,0.0,low,1.0
"[97284228, 27406860, 28178214]",0,0.9999,6,1.991621592186907e-05,0.5,201.62,4899.06,201.62,0.0,0.9998700792516565,0.14285714285714285,2.05767186286289e-05,0.49994999499949994,0.05503973529821267,0.0,low,1.0
"[10275534, 28177751, 97284231]",0,1.0,6,0.0015099715881214818,0.0229,696.41,5467.3,696.41,0.0,1.0,0.14285714285714285,0.0015600495301558608,0.022802280228022803,0.1901179091398011,0.0,low,1.0
"[100341835, 648697483, 227990533, 227990535]",0,1.0,6,0.25099845334255844,0.403,341.4,1745.51,341.4,0.0,1.0,0.14285714285714285,0.2593227754100575,0.40294029402940296,0.09319981763531979,0.0,low,0.9982
"[3992802, 24770797, 24770801, 24770802, 100341843]",0,1.0,6,0.01246122503435675,0.0514,423.26,1903.61,423.26,0.0,1.0,0.14285714285714285,0.012874499480922248,0.0513051305130513,0.11554768099285011,0.0,low,1.0
"[24770805, 594202133]",0,0.9808,6,0.02892375227191947,0.5,371.98,1407.22,371.98,0.0,0.9750552163180458,0.14285714285714285,0.029883003704387574,0.49994999499949994,0.10154818877474414,0.0,low,1.0
"[584748550, 24770807]",0,1.0,6,0.015181646694929203,0.3781,261.66,2304.59,261.66,0.0,1.0,0.14285714285714285,0.01568514347474828,0.37803780378037805,0.07143071643657233,0.0,low,1.0
"[31416961, 24770799, 24770800, 24770803, 24770804]",0,1.0,6,0.01246122503435675,0.0514,464.03,1859.81,464.03,0.0,1.0,0.14285714285714285,0.012874499480922248,0.0513051305130513,0.12667793250868825,0.0,low,1.0
"[22984866, 309969317]",0,1.0,4,0.011202641258721885,0.841,532.45,5121.51,532.45,0.0,1.0,0.0,0.011574174983075598,0.840984098409841,0.14535666218034995,0.0,low,0.9998
"[31416960, 31416961, 31416819]",0,0.9998,5,0.0042148179916425554,0.1699,414.91,4097.55,414.91,0.0,0.999740158503313,0.07142857142857142,0.004354601716113203,0.16981698169816983,0.1132681224900969,0.0,low,1.0
"[28047009, 146708833, 34642150, 27440397, 146708829, 34650974, 34650975]",0,0.9974,6,0.1788930410507044,0.679,643.18,2602.28,643.18,0.0,0.9966220605430686,0.14285714285714285,0.1848259990765668,0.6789678967896791,0.17558606493602222,0.0,medium,0.9998
"[146708834, 235018594, 31876164, 146708837, 27440395, 27440396, 570480174, 606509935, 34650972, 34650973]",0,0.9936,4,0.10026685713556094,1.0,496.55,2630.17,496.55,0.0,0.9916850721060154,0.0,0.10359219081022017,1.0,0.13555592562360258,0.0,medium,0.9947
"[1313113728, 146707283, 146708167]",0,1.0,6,0.10175193105460356,0.5,155.26,2084.74,155.26,0.0,1.0,0.14285714285714285,0.10512651695952252,0.49994999499949994,0.04238340809011218,0.0,low,1.0
"[146707272, 146708172, 146707279, 146708177, 146707285, 146707287]",0,0.9977,6,0.0038060524833952915,0.5,232.28,2134.2,232.28,0.0,0.9970118227880993,0.14285714285714285,0.003932279567569268,0.49994999499949994,0.06340994651910052,0.0,low,1.0
"[146708166, 146708169, 146708170, 146708174, 146708175, 339563830]",0,0.9942,6,0.0038060524833952915,0.5,222.92,2152.47,222.92,0.0,0.9924645965960763,0.14285714285714285,0.003932279567569268,0.49994999499949994,0.06085465698787057,0.0,low,1.0
"[1313113729, 1313113730, 146707290]",0,0.9841,8,0.002265732916370386,1.0,124.42,2271.88,124.42,0.0,0.9793426010133818,0.2857142857142857,0.0023408755575305223,1.0,0.03396405668593144,0.0,low,0.9055
"[27552646, 1340859307, 34000370, 81950646, 6276440]",0,0.9795,6,0.0005582586062737039,0.5,266.34,1679.68,266.34,0.0,0.9733662465895804,0.14285714285714285,0.0005767731450847901,0.49994999499949994,0.07270836120218728,0.0,low,1.0
146393605,0,1.0,6,0.08009995835403437,0.5,333.7,1735.33,333.7,0.0,1.0,0.14285714285714285,0.08275646017482018,0.49994999499949994,0.09109770979445754,0.0,low,1.0
145666287,0,1.0,5,0.046294048292699834,0.0132,451.36,4075.11,451.36,0.0,1.0,0.07142857142857142,0.04782938271223341,0.013101310131013101,0.12321900960690585,0.0,low,1.0
"[143911629, 4329047]",0,1.0,5,0.046294048292699834,0.0132,352.16,3936.66,352.16,0.0,1.0,0.07142857142857142,0.04782938271223341,0.013101310131013101,0.09613730859216106,0.0,low,1.0
"[651196624, 145666291, 1228467612]",0,1.0,6,0.046294048292699834,0.0132,539.86,4058.42,539.86,0.0,1.0,0.14285714285714285,0.04782938271223341,0.013101310131013101,0.147379599725907,0.0,low,1.0
4821081,0,0.9585,10,0.046294048292699834,0.0132,66.82,3567.85,66.82,0.0,0.946082889437443,0.42857142857142855,0.04782938271223341,0.013101310131013101,0.018239198032208657,0.0,low,1.0
4374230,0,0.9125,10,0.046294048292699834,0.0132,14.83,3637.9,14.83,0.0,0.8863193451994282,0.42857142857142855,0.04782938271223341,0.013101310131013101,0.00404587509111409,0.0,low,1.0
"[897450400, 4072242]",0,1.0,8,0.023738670645981615,0.1778,471.67,6276.06,471.67,0.0,1.0,0.2857142857142857,0.024525959706151915,0.17771777177717774,0.1287636602884529,0.0,low,1.0
842126900,0,1.0,12,0.023738670645981615,0.1778,214.93,6019.61,214.93,0.0,1.0,0.5714285714285714,0.024525959706151915,0.17771777177717774,0.05867337885170312,0.0,low,1.0
"[50186096, 306728518]",0,0.989,12,0.0030094446102490995,0.6738,289.24,5297.47,289.24,0.0,0.9857087176822137,0.5714285714285714,0.0031092523264092597,0.6737673767376737,0.07896008452111528,0.0,medium,0.6791
897450403,0,1.0,12,0.023738670645981615,0.1778,207.4,6016.3,207.4,0.0,1.0,0.5714285714285714,0.024525959706151915,0.17771777177717774,0.05661768118395082,0.0,low,1.0
352756373,0,1.0,12,0.023738670645981615,0.1778,53.48,5889.99,53.48,0.0,1.0,0.5714285714285714,0.024525959706151915,0.17771777177717774,0.014597364448169392,0.0,low,1.0
4072055,0,0.9947,12,0.004737116277879523,0.3795,803.4,5295.34,803.4,0.0,0.9931142003377939,0.5714285714285714,0.004894221938402073,0.37943794379437945,0.21932628808705457,0.0,medium,0.9899
"[352374586, 4072243]",0,0.9547,12,0.023738670645981615,0.1778,303.14,5957.12,303.14,0.0,0.9411459010003896,0.5714285714285714,0.024525959706151915,0.17771777177717774,0.08275479867539906,0.0,low,1.0
4072055,0,0.9947,12,0.004737116277879509,0.3795,803.4,5295.34,803.4,0.0,0.9931142003377939,0.5714285714285714,0.004894221938402058,0.37943794379437945,0.21932628808705457,0.0,medium,0.9899
38933545,0,1.0,12,0.0015615449173827618,0.4178,22.73,4352.11,22.73,0.0,1.0,0.5714285714285714,0.0016133332803298418,0.41774177417741776,0.006202583135635096,0.0,low,1.0
"[352756364, 352756366]",0,0.9222,11,0.02173746436113296,0.4178,129.34,4426.17,129.34,0.0,0.8989216577887488,0.5,0.022458383746720243,0.41774177417741776,0.03530722169593693,0.0,low,0.9999
183629461,0,0.9231,12,0.0015615449173827618,0.4178,33.38,4345.36,33.38,0.0,0.9000909445238405,0.5714285714285714,0.0016133332803298418,0.41774177417741776,0.009110043980464048,0.0,low,1.0
4769655,0,0.9113,11,0.1485581406822668,0.204,82.15,4230.13,82.15,0.0,0.8847602962193062,0.5,0.15348504676775487,0.20392039203920392,0.022424303642652587,0.0,low,0.9994
38933545,0,1.0,12,0.0015615449173827618,0.4178,22.73,4352.11,22.73,0.0,1.0,0.5714285714285714,0.0016133332803298418,0.41774177417741776,0.006202583135635096,0.0,low,1.0
4072245,0,0.7836,12,0.006117625292483993,0.0909,106.49,3287.51,106.49,0.0,0.7188515005846432,0.5714285714285714,0.006320515305550261,0.0908090809080908,0.029069148427923634,0.0,low,0.9989
4072246,0,0.8631,14,0.07581949343699018,0.0961,23.14,3328.35,23.14,0.0,0.8221384955177342,0.7142857142857143,0.07833403434861878,0.09600960096009602,0.006314513553135553,0.0,low,0.9976
"[1121876024, 1121876025, 352374590, 857435705]",0,0.8002,12,0.00020671769468625606,0.0512,147.07,3708.58,147.07,0.0,0.7404183448096662,0.5714285714285714,0.0002135734374595119,0.051105110511051106,0.040147529750285973,0.0,low,0.9999
"[295213217, 295213219, 1442715875, 8067692, 5098542, 27807166]",0,0.9673,8,0.014087627097699387,0.889,1628.01,2492.35,1628.01,0.0,0.9575159152916721,0.2857142857142857,0.014554840898994302,0.888988898889889,0.44444565778230355,0.0,high,0.989
"[759443475, 8067694]",0,0.9995,8,0.0008169191119460258,0.5,1082.5,2645.96,1082.5,0.0,0.9993503962582825,0.2857142857142857,0.0008440120835348444,0.49994999499949994,0.2955208722928537,0.0,medium,0.9975
"[1121876032, 1121876033, 773149991, 215893943, 1458737400]",0,0.9955,12,0.0013427988750587243,0.2368,807.55,2018.75,807.55,0.0,0.9941535663245421,0.5714285714285714,0.001387332561786123,0.23672367236723674,0.22045924231297384,0.0,low,0.815
592474999,0,0.6419,10,0.26752269278311946,0.157,185.52,185.52,223.33,0.0,0.534753800181889,0.42857142857142855,0.27639503851150005,0.1569156915691569,0.05064441890368252,0.0,medium,0.9983
592474999,0,0.7984,12,0.056011122459793665,0.0284,239.43,239.43,274.23,0.0,0.7380797713394829,0.5714285714285714,0.057868722032725854,0.028302830283028303,0.06536190379990119,0.0,low,0.9236
"[733346888, 114459061]",0,0.8196,12,0.12002311549390372,0.0462,315.9,315.9,353.77,0.0,0.765622969988307,0.5714285714285714,0.12400366220089676,0.0461046104610461,0.08623829166882793,0.0,medium,0.9782
"[4372315, 4326732]",0,0.8586,8,0.013668339306182595,0.0126,305.81,350.17,305.81,0.0,0.8162920618422763,0.2857142857142857,0.014121647497401083,0.012501250125012502,0.08348371139424351,0.0,low,1.0
4326736,0,0.8741,7,0.00031043185481813783,0.1523,173.69,217.54,173.69,0.0,0.8364297778355202,0.21428571428571427,0.0003207272605135617,0.15221522152215222,0.04741481685726688,0.0,low,1.0
229127796,0,1.0,6,0.14300135475316478,0.0542,173.65,174.72,173.65,0.0,1.0,0.14285714285714285,0.1477439709547792,0.0541054105410541,0.04740389681653513,0.0,low,1.0
