osmid,lighting,visibility,connectivity,enclosure,dominant_land_use_score,public_transport_proximity_m,dist_to_rail_m,dist_to_bus_m,lighting_norm,visibility_norm,connectivity_norm,enclosure_norm,dominant_land_use_score_norm,public_transport_proximity_m_norm,pedestrian_priority_score_norm,risk_class,risk_probability
32985997,0,0.6483,13,0.14757099771148335,0.4849,157.92,157.92,162.91,0.0,0.5365050079072219,0.7692307692307693,0.26210955436191347,0.48484848484848486,0.24006092916984006,0.0,high,1.0
38765441,0,0.8021,11,0.03984988902677365,0.5586,130.77,133.12,130.77,0.0,0.7391934633632051,0.6153846153846154,0.07077797128205546,0.5585558555855585,0.19870525514089873,0.0,medium,0.6245
"[372810768, 195363388]",0,0.6431,14,0.18070024073149646,0.544,59.71,60.05,59.71,0.0,0.5296520822351081,0.8461538461538461,0.3209529007649771,0.543954395439544,0.09046458492003047,0.0,high,1.0
"[40927808, 164687435, 680813035]",0,0.5416,13,0.154970084241543,0.6647,35.84,35.84,38.63,0.0,0.39588824459673166,0.7692307692307693,0.27525162982350876,0.6646664666466646,0.05410510281797411,0.0,high,1.0
5884897,0,0.8481,12,0.06926629864619777,0.4166,65.93,65.93,70.97,0.0,0.7998154981549815,0.6923076923076923,0.12302667434250657,0.41654165416541655,0.09993907083015996,0.0,medium,1.0
"[372810768, 372810835]",0,0.7417,12,0.11035416539104877,0.5,11.48,11.48,14.1,0.0,0.6595940959409594,0.6923076923076923,0.1960059324067384,0.49994999499949994,0.016999238385377,0.0,medium,0.9668
1443523501,0,0.662,12,0.17196456025233975,0.4817,99.4,99.4,100.96,0.0,0.5545598313125989,0.6923076923076923,0.30543680001401896,0.48164816481648165,0.15092155369383095,0.0,high,1.0
23721874,0,0.6281,10,0.1797672101432948,0.8882,43.49,52.08,43.49,0.0,0.5098840274117027,0.5384615384615384,0.31929567478872894,0.8881888188818882,0.06575780654988576,0.0,high,1.0
"[478185050, 35868835]",0,0.7198,10,0.09777205169487228,0.9304,83.42,83.42,87.57,0.0,0.6307327358987875,0.5384615384615384,0.17365789160605993,0.9303930393039304,0.1265803503427266,0.0,high,1.0
40927807,0,0.6271,11,0.13692301028530546,0.7191,129.43,129.43,131.09,0.0,0.5085661570901423,0.6153846153846154,0.24319686105843077,0.719071907190719,0.19666412795125668,0.0,high,1.0
82965239,0,0.7246,12,0.07437252905522815,0.8319,1.0,1.0,10.01,0.0,0.6370585134422774,0.6923076923076923,0.13209623517101454,0.8318831883188319,0.0010357958872810357,0.0,high,0.9524
"[372810577, 173303012]",0,0.5835,10,0.23615029203467228,0.5104,116.92,120.8,116.92,0.0,0.45110701107011075,0.5384615384615384,0.4194419177017467,0.5103510351035103,0.1776085300837776,0.0,high,1.0
"[372810768, 195363388]",0,0.6431,14,0.18070024073149646,0.544,59.71,60.05,59.71,0.0,0.5296520822351081,0.8461538461538461,0.3209529007649771,0.543954395439544,0.09046458492003047,0.0,high,1.0
"[372810768, 372810835]",0,0.7417,12,0.11035416539104877,0.5,11.48,11.48,14.1,0.0,0.6595940959409594,0.6923076923076923,0.1960059324067384,0.49994999499949994,0.016999238385377,0.0,medium,0.9668
"[372810577, 173303012]",0,0.5835,10,0.2361502920346722,0.5104,116.92,120.8,116.92,0.0,0.45110701107011075,0.5384615384615384,0.41944191770174655,0.5103510351035103,0.1776085300837776,0.0,high,1.0
"[555579761, 555579764]",0,0.3009,8,0.43183908770635676,0.5971,99.25,99.25,103.58,0.0,0.07867685819715341,0.38461538461538464,0.7670195422176816,0.597059705970597,0.15069306930693072,0.0,high,1.0
"[222258280, 22780695]",0,0.8283,11,0.04841765583427175,0.335,382.2,388.0,382.2,0.0,0.7737216657880865,0.6153846153846154,0.08599582790044318,0.334933493349335,0.5816907844630617,0.0,high,1.0
222258280,0,0.877,11,0.015045707524489499,0.462,318.41,318.41,322.63,0.0,0.8379019504480759,0.6153846153846154,0.026721394332752346,0.46194619461946196,0.4845239908606246,0.0,high,1.0
"[555579761, 676202330, 4336660]",0,0.644,8,0.16826293831954944,0.6709,238.18,246.12,238.18,0.0,0.5308381655245125,0.38461538461538464,0.29886207020468475,0.6708670867086709,0.36231530845392235,0.0,high,1.0
38875967,0,0.5164,10,0.20591569645020155,0.6585,148.59,326.74,148.59,0.0,0.36267791249341064,0.5384615384615384,0.365739972859276,0.6584658465846585,0.22584920030464586,0.0,high,1.0
38875966,0,0.7742,12,0.11370898087183665,0.3272,77.75,348.69,77.75,0.0,0.702424881391671,0.6923076923076923,0.2019646731281943,0.32713271327132715,0.11794364051789795,0.0,medium,0.8808
38875967,0,0.5164,10,0.20591569645020144,0.6585,148.59,326.74,148.59,0.0,0.36267791249341064,0.5384615384615384,0.36573997285927584,0.6584658465846585,0.22584920030464586,0.0,high,1.0
173296855,0,0.6178,12,0.15669993285987877,0.6446,122.94,260.03,122.94,0.0,0.49630996309963105,0.6923076923076923,0.27832414438148106,0.6445644564456445,0.18677837014470677,0.0,high,1.0
"[803501497, 4688146]",0,0.6804,12,0.14559676367108662,0.0075,302.58,368.47,302.58,0.0,0.5788086452293094,0.6923076923076923,0.25860296842967206,0.0074007400740074,0.4604112718964204,0.0,high,1.0
231133184,0,0.6992,12,0.13242901630293052,0.0075,322.59,331.07,322.59,0.0,0.6035846072746442,0.6923076923076923,0.23521473950864394,0.0074007400740074,0.4908910891089109,0.0,high,1.0
231133185,0,0.665,12,0.2434253040994752,0.0962,250.31,342.76,250.31,0.0,0.55851344227728,0.6923076923076923,0.4323636151506459,0.0961096109610961,0.3807920792079208,0.0,high,1.0
4839807,0,0.6059,12,0.18832325071487818,0.3004,84.81,84.81,92.9,0.0,0.48062730627306277,0.6923076923076923,0.334492703555375,0.30033003300330036,0.1286976389946687,0.0,high,1.0
"[1068558755, 1355402509]",0,0.8112,10,0.01968871642901276,0.2952,15.83,15.83,18.93,0.0,0.7511860832894044,0.5384615384615384,0.03496819252117842,0.29512951295129514,0.023625285605483624,0.0,low,0.6717
"[1355402549, 1419995516, 1068558757]",0,0.7151,12,0.12019615042439998,0.3004,99.13,99.13,99.41,0.0,0.6245387453874538,0.6923076923076923,0.213487024089437,0.30033003300330036,0.15051028179741052,0.0,high,0.9969
"[331680, 897596003, 227392484, 227558478, 1306891832]",0,0.6625,13,0.14783885309756903,0.2106,55.33,55.33,58.82,0.0,0.555218766473379,0.7692307692307693,0.26258531250887274,0.21052105210521055,0.08379284082254379,0.0,high,0.9989
5067434,0,0.7998,13,0.04973175001459653,0.1848,48.55,48.55,48.93,0.0,0.7361623616236161,0.7692307692307693,0.0883298896540543,0.1847184718471847,0.07346534653465346,0.0,medium,1.0
"[569089299, 1355402510]",0,0.9818,11,0.02347234770683745,0.0509,103.86,134.69,103.86,0.0,0.9760147601476015,0.6153846153846154,0.041688585311560285,0.050805080508050805,0.15771515613099774,0.0,low,0.9999
5067441,0,0.5642,12,0.2623609566480355,0.2941,250.72,284.27,250.72,0.0,0.42567211386399584,0.6923076923076923,0.4659966553505046,0.294029402940294,0.3814166031987814,0.0,high,1.0
2483764,0,0.2504,11,0.3804383060184883,0.4629,195.76,207.65,195.76,0.0,0.012124406958355316,0.6153846153846154,0.6757227383510687,0.46284628462846283,0.2976999238385377,0.0,high,1.0
2483764,0,0.5418,12,0.25178290820729776,0.5501,297.97,442.12,297.97,0.0,0.3961518186610437,0.6923076923076923,0.44720818595231454,0.5500550055005501,0.45338918507235343,0.0,high,1.0
8297178,0,0.8512,11,0.039110101715554076,0.2582,280.56,280.56,283.12,0.0,0.8039008961518186,0.6153846153846154,0.06946397926019164,0.2581258125812581,0.4268697638994669,0.0,high,0.9985
"[8297178, 1068701214, 1068701215]",0,0.8447,9,0.07820566980225621,0.2582,255.28,255.28,256.55,0.0,0.7953347390616764,0.46153846153846156,0.13890456546255833,0.2581258125812581,0.38836252856054837,0.0,high,0.9614
25927903,0,0.9204,10,0.045415758685414614,0.5,247.28,247.28,249.9,0.0,0.8950975224037955,0.5384615384615384,0.0806639320376291,0.49994999499949994,0.37617669459253616,0.0,high,0.8917
"[232718226, 402278493, 402278494]",0,0.7628,12,0.085467578199173,0.4413,122.18,122.18,130.16,0.0,0.687401159725883,0.6923076923076923,0.151802988498936,0.44124412441244126,0.18562071591774565,0.0,high,0.9959
"[232718226, 8173007]",0,0.8635,12,0.05100390488445063,0.0939,13.99,330.8,13.99,0.0,0.8201107011070111,0.6923076923076923,0.09058945983620267,0.09380938093809381,0.020822543792840823,0.0,low,0.9844
1458169041,0,0.7309,12,0.11140511825047097,0.3049,69.46,256.49,69.46,0.0,0.6453610964681076,0.6923076923076923,0.1978726090199925,0.30483048304830485,0.10531607006854532,0.0,medium,0.6229
5929484,0,0.7492,12,0.171821295676717,0.0136,352.95,450.64,352.95,0.0,0.6694781233526621,0.6923076923076923,0.30518233699940783,0.013501350135013501,0.5371363290175172,0.0,high,1.0
1418066189,0,0.7585,14,0.1335415701561494,0.0547,286.43,296.33,286.43,0.0,0.6817343173431734,0.8461538461538461,0.23719083029156565,0.0546054605460546,0.43581111957349583,0.0,high,1.0
"[1253433728, 1418066190, 1447535367]",0,0.7443,14,0.13482836342707236,0.0283,161.19,161.19,164.54,0.0,0.6630205587770163,0.8461538461538461,0.23947640084155708,0.028202820282028203,0.24504188880426506,0.0,high,0.9999
"[206555989, 1447535366, 1253433727]",0,0.7769,16,0.11137730662511353,0.2705,104.95,116.34,104.95,0.0,0.7059831312598841,1.0,0.1978232106952571,0.2704270427042704,0.1593754760091394,0.0,high,0.9999
"[1253433728, 1418066190, 1447535367]",0,0.7443,14,0.13482836342707233,0.0283,161.19,161.19,164.54,0.0,0.6630205587770163,0.8461538461538461,0.23947640084155702,0.028202820282028203,0.24504188880426506,0.0,high,0.9999
"[1447535370, 1418066192, 819987764, 866446105, 866446107, 866446109]",0,0.7843,14,0.11137730662511353,0.2705,134.25,134.25,135.62,0.0,0.7157353716394307,0.8461538461538461,0.1978232106952571,0.2704270427042704,0.20400609291698402,0.0,high,0.9996
"[1418060417, 1447535369, 1447535373, 1447535374, 1418066191, 1418066193, 858700567, 402278490]",0,0.7085,16,0.039698494647360465,0.5121,8.5,8.5,12.81,0.0,0.6158408012651555,1.0,0.07050906830996202,0.512051205120512,0.01246001523229246,0.0,high,0.7204
"[545964837, 173539404, 545964828]",0,0.8583,14,0.044928557371017704,0.0599,38.33,38.33,164.78,0.0,0.8132577754348972,0.8461538461538461,0.07979857704917474,0.059805980598059805,0.057897943640517896,0.0,medium,0.9909
173539404,0,0.5991,14,0.2104093148681626,0.0006,60.1,60.1,160.62,0.0,0.47166578808645226,0.8461538461538461,0.3737214273407906,0.0005000500050004999,0.09105864432597106,0.0,high,1.0
581736510,0,0.6826,16,0.1823080355611129,0.0669,107.38,107.38,192.55,0.0,0.5817079599367422,1.0,0.32380862638620617,0.0668066806680668,0.1630769230769231,0.0,high,1.0
581736510,0,0.7621,14,0.1079292317507248,0.4054,55.96,55.96,100.77,0.0,0.6864786505007907,0.8461538461538461,0.19169882493326468,0.4053405340534053,0.08475247524752476,0.0,high,0.9326
"[232718226, 8173007]",0,0.8635,12,0.05100390488445063,0.0939,13.99,330.8,13.99,0.0,0.8201107011070111,0.6923076923076923,0.09058945983620267,0.09380938093809381,0.020822543792840823,0.0,low,0.9844
206555988,0,0.6562,12,0.16721471573383628,0.1578,10.36,462.01,10.36,0.0,0.5469161834475488,0.6923076923076923,0.29700024303642214,0.15771577157715772,0.015293221629855292,0.0,medium,0.675
450689121,0,0.7404,10,0.10977269482483339,0.0124,60.89,402.07,60.89,0.0,0.6578808645229309,0.5384615384615384,0.194973138692426,0.012301230123012302,0.09226199543031226,0.0,medium,1.0
563982258,0,0.9155,12,0.040315254532743046,0.5,232.82,232.82,246.15,0.0,0.8886399578281496,0.6923076923076923,0.0716045420447877,0.49994999499949994,0.3541507996953541,0.0,high,0.9914
6275991,0,0.7359,8,0.1345536293802936,0.175,265.5,278.79,265.5,0.0,0.6519504480759093,0.38461538461538464,0.23898842498670428,0.17491749174917492,0.4039299314546839,0.0,high,1.0
"[563982258, 1078872732, 1256619430]",0,0.8974,12,0.024459143268845022,0.3063,166.44,168.67,166.44,0.0,0.8647865050079072,0.6923076923076923,0.04344130731155105,0.30623062306230625,0.25303884234577306,0.0,medium,1.0
"[4406377, 799367532, 4368455]",0,0.7045,12,0.10220788216787235,0.355,34.45,328.43,34.45,0.0,0.6105693199789141,0.6923076923076923,0.18153670456143986,0.35493549354935494,0.051987814166031994,0.0,medium,0.9312
"[1088778984, 1088778985, 1088778986, 29994786]",0,0.8823,8,0.048280984492862035,0.0976,150.94,150.94,158.12,0.0,0.8448866631523457,0.38461538461538464,0.0857530756262338,0.09750975097509751,0.22942878903274944,0.0,medium,0.9955
"[1198300292, 1111447804, 8383711]",0,0.7055,12,0.14623929445957018,0.3607,133.64,417.16,133.64,0.0,0.6118871903004744,0.6923076923076923,0.2597442158085672,0.3606360636063607,0.20307692307692307,0.0,high,1.0
"[582711358, 1376896909, 6022182]",0,0.8338,11,0.07077631507154637,0.0028,147.87,154.91,147.87,0.0,0.7809699525566685,0.6153846153846154,0.12570872836762956,0.0027002700270027003,0.22475247524752476,0.0,medium,1.0
27820437,0,0.7217,8,0.2043032476552903,0.0756,226.34,227.36,226.34,0.0,0.6332366895097523,0.38461538461538464,0.36287598097938767,0.07550755075507551,0.3442802741812643,0.0,high,1.0
335488615,0,1.0,8,0.05020456531279674,0.863,142.49,150.34,142.49,0.0,1.0,0.38461538461538464,0.08916969255446636,0.862986298629863,0.21655750190403658,0.0,medium,1.0
"[50695370, 1100718076]",0,0.8685,9,0.08657343003978327,0.7355,136.56,144.39,136.56,0.0,0.826700052714813,0.46153846153846156,0.15376717533194592,0.7354735473547355,0.20752475247524754,0.0,high,0.7019
"[1118311777, 1118311778, 1118311779, 381876209]",0,0.5599,9,0.10581409824786124,0.2862,79.79,79.79,80.64,0.0,0.4200052714812862,0.46153846153846156,0.18794197684221292,0.28612861286128616,0.12105102817974107,0.0,high,0.9988
"[1418049408, 1418049407]",0,0.7104,11,0.05822737369417882,0.3998,16.35,16.35,22.5,0.0,0.6183447548761203,0.6153846153846154,0.1034196074235107,0.39973997399739974,0.02441736481340442,0.0,medium,1.0
"[1044278592, 1323248243, 100520116]",0,0.6153,11,0.16378723675749624,0.438,101.91,109.21,101.91,0.0,0.4930152872957301,0.6153846153846154,0.29091243920184134,0.4379437943794379,0.15474485910129476,0.0,high,1.0
"[1136325987, 405215340, 1180836923, 1180836924, 1180836925]",0,0.6709,11,0.10575265129034829,0.5,25.92,25.92,33.39,0.0,0.5662888771744862,0.6153846153846154,0.18783283626800285,0.49994999499949994,0.038994668697639,0.0,high,0.8317
"[196911958, 1180836926, 1180836927]",0,0.5959,11,0.12982238787372777,0.5,105.08,105.08,110.76,0.0,0.46744860305745917,0.6153846153846154,0.2305849102212378,0.49994999499949994,0.15957349581111957,0.0,high,1.0
276557344,0,0.7532,10,0.13989053560933468,0.7355,74.02,83.09,74.02,0.0,0.6747496046389035,0.5384615384615384,0.2484677065316047,0.7354735473547355,0.11226199543031226,0.0,high,1.0
930718306,0,0.7893,10,0.11002308280967706,0.3476,85.99,95.64,85.99,0.0,0.7223247232472325,0.5384615384615384,0.19541787167103405,0.34753475347534757,0.1304950495049505,0.0,medium,0.9988
108143213,0,0.7188,12,0.0510851611084966,0.5162,108.44,108.44,110.62,0.0,0.6294148655772273,0.6923076923076923,0.09073378514227906,0.5161516151615162,0.1646915460776847,0.0,high,0.9967
108143213,0,0.6621,12,0.08100531893306778,0.1381,20.64,20.64,21.68,0.0,0.5546916183447549,0.6923076923076923,0.14387723337144664,0.13801380138013802,0.030952018278750954,0.0,medium,1.0
