osmid,lighting,visibility,connectivity,enclosure,dominant_land_use_score,public_transport_proximity_m,dist_to_rail_m,dist_to_bus_m,lighting_norm,visibility_norm,connectivity_norm,enclosure_norm,dominant_land_use_score_norm,public_transport_proximity_m_norm,risk_class,risk_probability
38770925,0,,9,,,56.56,56.56,173.94,0.0,0.0,0.42857142857142855,0.0,0.0,0.09122330975223698,high,0.9998
1242977853,0,,8,,,107.03,107.03,170.15,0.0,0.0,0.35714285714285715,0.0,0.0,0.17273960655102238,high,1.0
202052944,0,,12,,,115.7,115.7,116.82,0.0,0.0,0.6428571428571429,0.0,0.0,0.18674290144393837,medium,0.9681
"[6272741, 1418274918]",0,,8,,,91.7,95.34,91.7,0.0,0.0,0.35714285714285715,0.0,0.0,0.14797945537358273,high,1.0
202052944,0,,12,,,36.84,36.84,38.84,0.0,0.0,0.6428571428571429,0.0,0.0,0.05937267823109475,medium,1.0
202052944,0,,12,,,67.51,67.51,67.69,0.0,0.0,0.6428571428571429,0.0,0.0,0.10890913202183676,medium,0.9998
7742058,0,,11,,,43.82,43.82,52.59,0.0,0.0,0.5714285714285714,0.0,0.0,0.07064638046322319,medium,0.9949
202052944,0,,12,,,36.84,36.84,38.84,0.0,0.0,0.6428571428571429,0.0,0.0,0.05937267823109475,medium,1.0
7742058,0,,11,,,158.81,158.81,168.72,0.0,0.0,0.5714285714285714,0.0,0.0,0.2563717414478147,high,0.9995
591934082,0,,12,,,217.63,217.63,227.7,0.0,0.0,0.6428571428571429,0.0,0.0,0.35137448719191133,high,0.9997
"[7742056, 870987725]",0,,13,,,210.62,216.04,210.62,0.0,0.0,0.7142857142857143,0.0,0.0,0.340052330652195,high,0.7359
5832086,0,,12,,,56.16,64.79,56.16,0.0,0.0,0.6428571428571429,0.0,0.0,0.09057725231773105,medium,1.0
261114693,0,,10,,,13.45,13.45,140.11,0.0,0.0,0.5,0.0,0.0,0.02159446974836063,medium,0.9246
1419988575,0,,12,,,0.69,0.69,11.2,0.0,0.0,0.6428571428571429,0.0,0.0,0.0009852375876215395,medium,1.0
4957359,0,,13,,,51.6,51.6,110.13,0.0,0.0,0.7142857142857143,0.0,0.0,0.08321219756436347,medium,1.0
"[1105774248, 199515249]",0,,14,,,45.89,45.89,106.98,0.0,0.0,0.7857142857142857,0.0,0.0,0.07398972768679137,medium,0.9934
"[237559984, 30727695]",0,,12,,,23.7,23.7,25.56,0.0,0.0,0.6428571428571429,0.0,0.0,0.03814969150757502,medium,1.0
"[199514512, 1068478002, 201487146]",0,,14,,,39.81,39.81,64.95,0.0,0.0,0.7857142857142857,0.0,0.0,0.06416965468230126,medium,0.9849
199515248,0,,11,,,23.14,24.04,23.14,0.0,0.0,0.5714285714285714,0.0,0.0,0.03724521109926673,medium,0.9995
"[1242256465, 146590618, 1068477991]",0,,10,,,51.32,51.32,66.93,0.0,0.0,0.5,0.0,0.0,0.08275995736020933,high,0.8484
534022322,0,,12,,,95.53,95.53,98.16,0.0,0.0,0.6428571428571429,0.0,0.0,0.154165455308977,medium,0.9965
"[1068477998, 1068477999, 232718096, 1068478001, 1068478000]",0,,13,,,62.07,63.13,62.07,0.0,0.0,0.7142857142857143,0.0,0.0,0.10012275091255614,medium,1.0
"[1256612363, 959597046]",0,,14,,,65.26,135.4,65.26,0.0,0.0,0.7857142857142857,0.0,0.0,0.10527505895274092,medium,0.9995
228533858,0,,12,,,264.18,470.45,264.18,0.0,0.0,0.6428571428571429,0.0,0.0,0.42655942113253875,high,1.0
2418096,0,,12,,,164.2,370.49,164.2,0.0,0.0,0.6428571428571429,0.0,0.0,0.26507736537778204,high,0.8811
193958142,0,,12,,,269.05,468.17,269.05,0.0,0.0,0.6428571428571429,0.0,0.0,0.4344251703976484,high,1.0
"[6010081, 6010078]",0,,12,,,389.45,467.35,389.45,0.0,0.0,0.6428571428571429,0.0,0.0,0.6288884581839326,high,1.0
193958142,0,,12,,,310.91,478.37,310.91,0.0,0.0,0.6428571428571429,0.0,0.0,0.5020350809186938,high,1.0
"[1256612368, 1256612364]",0,,12,,,358.22,439.63,358.22,0.0,0.0,0.6428571428571429,0.0,0.0,0.5784475239848823,high,1.0
6570833,0,,10,,,226.92,226.92,235.96,0.0,0.0,0.5,0.0,0.0,0.3663791711083115,high,1.0
6570833,0,,16,,,228.72,238.83,228.72,0.0,0.0,0.9285714285714286,0.0,0.0,0.3692864295635882,medium,1.0
26372299,0,,14,,,284.31,284.31,292.86,0.0,0.0,0.7857142857142857,0.0,0.0,0.4590722615240495,high,0.9565
26372299,0,,14,,,196.93,196.93,204.92,0.0,0.0,0.7857142857142857,0.0,0.0,0.3179410149562296,medium,0.9987
6010083,0,,14,,,194.76,204.9,194.76,0.0,0.0,0.7857142857142857,0.0,0.0,0.3144361533740349,medium,0.999
6010068,0,,14,,,225.09,225.09,230.34,0.0,0.0,0.7857142857142857,0.0,0.0,0.3634234583454469,medium,0.9713
6570833,0,,16,,,228.72,238.83,228.72,0.0,0.0,0.9285714285714286,0.0,0.0,0.3692864295635882,medium,1.0
404097027,0,,16,,,258.47,268.59,258.47,0.0,0.0,0.9285714285714286,0.0,0.0,0.41733695125496667,medium,1.0
2418096,0,,12,,,24.85,230.54,24.85,0.0,0.0,0.6428571428571429,0.0,0.0,0.040007106631779574,medium,1.0
6570883,0,,14,,,37.25,196.41,37.25,0.0,0.0,0.7857142857142857,0.0,0.0,0.060034887101463326,medium,0.9787
1082517336,0,,12,,,19.87,150.12,19.87,0.0,0.0,0.6428571428571429,0.0,0.0,0.03196369157218077,medium,1.0
534024692,0,,10,,,47.18,57.79,47.18,0.0,0.0,0.5,0.0,0.0,0.07607326291307298,high,0.779
26374061,0,,10,,,55.22,55.22,66.12,0.0,0.0,0.5,0.0,0.0,0.08905901734664212,high,0.8964
"[1242256465, 146590618, 1068477991]",0,,10,,,51.32,51.32,66.93,0.0,0.0,0.5,0.0,0.0,0.08275995736020933,high,0.8484
2425502,0,,12,,,527.74,536.72,527.74,0.0,0.0,0.6428571428571429,0.0,0.0,0.8522466647284943,high,1.0
99961288,0,,11,,,467.85,477.16,467.85,0.0,0.0,0.5714285714285714,0.0,0.0,0.7555157153470944,high,1.0
1462354003,0,,14,,,483.55,491.98,483.55,0.0,0.0,0.7857142857142857,0.0,0.0,0.7808734696514521,high,1.0
534024688,0,,12,,,80.05,80.05,80.4,0.0,0.0,0.6428571428571429,0.0,0.0,0.12916303259359757,medium,0.9994
534087835,0,,11,,,31.61,31.61,33.24,0.0,0.0,0.5714285714285714,0.0,0.0,0.05092547727492974,medium,0.9987
1026759085,0,,12,,,74.87,74.87,80.83,0.0,0.0,0.6428571428571429,0.0,0.0,0.12079658881674582,medium,0.9997
2481098,0,,9,,,143.14,144.56,143.14,0.0,0.0,0.42857142857142855,0.0,0.0,0.23106244145104496,high,1.0
197881958,0,,11,,,126.55,126.55,127.06,0.0,0.0,0.5714285714285714,0.0,0.0,0.20426720935491166,high,0.9813
534087835,0,,11,,,31.61,31.61,33.24,0.0,0.0,0.5714285714285714,0.0,0.0,0.05092547727492974,medium,0.9987
372683468,0,,11,,,7.07,7.07,11.43,0.0,0.0,0.5714285714285714,0.0,0.0,0.011289853667991085,medium,0.9999
"[1247523499, 534087836]",0,,11,,,73.06,74.03,73.06,0.0,0.0,0.5714285714285714,0.0,0.0,0.11787317892560649,medium,0.8821
2558883,0,,8,,,129.85,353.12,129.85,0.0,0.0,0.35714285714285715,0.0,0.0,0.20959718318958553,high,1.0
"[14351505, 311561497]",0,,12,,,229.67,403.83,229.67,0.0,0.0,0.6428571428571429,0.0,0.0,0.37082081597053973,high,0.9999
14351505,0,,12,,,182.93,461.63,182.93,0.0,0.0,0.6428571428571429,0.0,0.0,0.29532900474852214,high,0.9836
19742811,0,,12,,,219.77,219.77,225.33,0.0,0.0,0.6428571428571429,0.0,0.0,0.35483089446651805,high,0.9997
30085473,0,,11,,,309.55,386.78,309.55,0.0,0.0,0.5714285714285714,0.0,0.0,0.49983848564137356,high,1.0
"[311561496, 495531508, 311561495]",0,,8,,,443.86,461.18,443.86,0.0,0.0,0.35714285714285715,0.0,0.0,0.7167684207126014,high,1.0
8258983,0,,8,,,292.68,572.0,292.68,0.0,0.0,0.35714285714285715,0.0,0.0,0.47259101334108605,high,1.0
14351505,0,,12,,,234.06,510.61,234.06,0.0,0.0,0.6428571428571429,0.0,0.0,0.3779112963142423,high,0.9999
"[14351505, 311561497]",0,,12,,,288.67,461.64,288.67,0.0,0.0,0.6428571428571429,0.0,0.0,0.46611428756016415,high,1.0
4884668,0,,10,,,335.03,335.03,344.48,0.0,0.0,0.5,0.0,0.0,0.5409923442194011,high,1.0
18942158,0,,8,,,410.35,410.35,419.97,0.0,0.0,0.35714285714285715,0.0,0.0,0.6626449591368674,high,1.0
4884668,0,,12,,,163.66,163.66,170.84,0.0,0.0,0.6428571428571429,0.0,0.0,0.26420518784119906,high,0.8746
4884668,0,,12,,,189.69,189.69,197.78,0.0,0.0,0.6428571428571429,0.0,0.0,0.3062473753916723,high,0.9922
6578208,0,,12,,,176.57,180.39,176.57,0.0,0.0,0.6428571428571429,0.0,0.0,0.2850566915398779,high,0.9672
4884668,0,,14,,,137.23,137.23,142.03,0.0,0.0,0.7857142857142857,0.0,0.0,0.2215169428562199,medium,1.0
4884668,0,,16,,,153.56,157.47,153.56,0.0,0.0,0.9285714285714286,0.0,0.0,0.2478922376199244,medium,0.9908
99961287,0,,14,,,69.85,186.01,69.85,0.0,0.0,0.7857142857142857,0.0,0.0,0.11268856801369641,medium,0.9998
99961287,0,,13,,,13.22,13.22,17.08,0.0,0.0,0.7142857142857143,0.0,0.0,0.021222986723519723,medium,0.9997
499557812,0,,14,,,86.54,86.54,91.28,0.0,0.0,0.7857142857142857,0.0,0.0,0.13964531446845627,medium,1.0
"[31324113, 813749604]",0,,11,,,38.58,38.58,38.79,0.0,0.0,0.5714285714285714,0.0,0.0,0.06218302807119553,medium,0.9972
1247523487,0,,12,,,88.88,89.65,88.88,0.0,0.0,0.6428571428571429,0.0,0.0,0.14342475046031591,medium,0.9984
18122226,0,,12,,,302.3,309.91,302.3,0.0,0.0,0.6428571428571429,0.0,0.0,0.48812869464095365,high,1.0
18122226,0,,12,,,259.46,266.9,259.46,0.0,0.0,0.6428571428571429,0.0,0.0,0.4189359434053687,high,1.0
176022839,0,,12,,,340.04,340.04,346.91,0.0,0.0,0.6428571428571429,0.0,0.0,0.5490842135865879,high,1.0
2483869,0,,14,,,491.17,498.54,491.17,0.0,0.0,0.7857142857142857,0.0,0.0,0.79318086377879,high,1.0
18122226,0,,14,,,368.07,423.06,368.07,0.0,0.0,0.7857142857142857,0.0,0.0,0.5943566883095908,high,1.0
18122226,0,,14,,,437.3,516.32,437.3,0.0,0.0,0.7857142857142857,0.0,0.0,0.7061730787867042,high,1.0
26291686,0,,14,,,375.9,470.43,375.9,0.0,0.0,0.7857142857142857,0.0,0.0,0.6070032625900442,high,1.0
30575232,0,,10,,,196.26,198.76,196.26,0.0,0.0,0.5,0.0,0.0,0.31685886875343217,high,1.0
75687497,0,,6,,,184.62,184.62,186.02,0.0,0.0,0.21428571428571427,0.0,0.0,0.2980585974093097,high,1.0
"[425548224, 43872913, 262591660, 166491309]",0,,9,,,46.12,46.75,46.12,0.0,0.0,0.42857142857142855,0.0,0.0,0.07436121071163226,high,0.9993
61074713,0,,12,,,132.02,132.02,132.18,0.0,0.0,0.6428571428571429,0.0,0.0,0.2131020447717802,medium,0.8307
"[552902458, 1065201821]",0,,15,,,27.78,27.78,28.92,0.0,0.0,0.8571428571428571,0.0,0.0,0.04473947733953549,low,0.9936
600378579,0,,14,,,112.48,112.48,113.24,0.0,0.0,0.7857142857142857,0.0,0.0,0.18154213909616565,medium,1.0
"[3076611, 286754706, 1068358100, 1068358101, 1073693272, 1065201822]",0,,13,,,79.65,79.65,82.32,0.0,0.0,0.7142857142857143,0.0,0.0,0.12851697515909166,medium,1.0
3755258,0,,12,,,101.94,101.94,104.87,0.0,0.0,0.6428571428571429,0.0,0.0,0.16451852569693445,medium,0.993
627472868,0,,12,,,0.08,0.08,10.04,0.0,0.0,0.6428571428571429,0.0,0.0,0.0,medium,1.0
"[73058401, 627472868]",0,,12,,,1.01,1.01,9.4,0.0,0.0,0.6428571428571429,0.0,0.0,0.0015020835352262817,medium,1.0
422323614,0,,10,,,90.6,90.6,90.65,0.0,0.0,0.5,0.0,0.0,0.1462027974286914,high,0.9978
"[3754025, 545048170]",0,,8,,,125.73,130.3,125.73,0.0,0.0,0.35714285714285715,0.0,0.0,0.2029427916141745,high,1.0
627472868,0,,10,,,128.95,129.27,128.95,0.0,0.0,0.5,0.0,0.0,0.20814355396194717,high,1.0
"[1193908604, 250325173]",0,,11,,,143.05,145.56,143.05,0.0,0.0,0.5714285714285714,0.0,0.0,0.23091707852828117,high,0.997
493711859,0,,11,,,190.43,193.1,190.43,0.0,0.0,0.5714285714285714,0.0,0.0,0.3074425816455083,high,1.0
"[67386011, 1420136150]",0,,12,,,122.0,133.94,122.0,0.0,0.0,0.6428571428571429,0.0,0.0,0.19691830603740673,medium,0.9376
47009633,0,,11,,,111.9,118.49,111.9,0.0,0.0,0.5714285714285714,0.0,0.0,0.18060535581613207,high,0.9109
"[48379497, 280251139, 48379493]",0,,11,,,77.83,77.83,85.36,0.0,0.0,0.5714285714285714,0.0,0.0,0.12557741383208967,medium,0.8145
"[1200970512, 1200970513, 517047608]",0,,8,,,157.99,158.7,157.99,0.0,0.0,0.35714285714285715,0.0,0.0,0.25504732370707756,high,1.0
311561494,0,,12,,,184.96,188.07,184.96,0.0,0.0,0.6428571428571429,0.0,0.0,0.2986077462286397,high,0.9869
2466940,0,,10,,,171.94,218.72,171.94,0.0,0.0,0.5,0.0,0.0,0.27757857673547176,high,1.0
19742811,0,,12,,,219.77,219.77,225.33,0.0,0.0,0.6428571428571429,0.0,0.0,0.35483089446651805,high,0.9997
47009631,0,,12,,,291.93,291.93,292.35,0.0,0.0,0.6428571428571429,0.0,0.0,0.47137965565138745,high,1.0
"[1068477987, 166482670]",0,,14,,,72.74,75.81,72.74,0.0,0.0,0.7857142857142857,0.0,0.0,0.11735633297800174,medium,0.9998
"[48379761, 725187386, 725187383]",0,,14,,,30.99,30.99,32.89,0.0,0.0,0.7857142857142857,0.0,0.0,0.04992408825144556,medium,0.9511
"[47009515, 1068477988, 1068477989]",0,,12,,,75.49,75.49,83.72,0.0,0.0,0.6428571428571429,0.0,0.0,0.12179797784023,medium,0.9996
2466941,0,,14,,,142.35,142.35,150.44,0.0,0.0,0.7857142857142857,0.0,0.0,0.22978647801789576,medium,1.0
47048136,0,,14,,,93.75,99.88,93.75,0.0,0.0,0.7857142857142857,0.0,0.0,0.1512904997254256,medium,1.0
188128548,0,,14,,,3.63,3.63,9.94,0.0,0.0,0.7857142857142857,0.0,0.0,0.005733759731240107,low,0.6891
238913756,0,,14,,,24.82,24.82,30.82,0.0,0.0,0.7857142857142857,0.0,0.0,0.03995865232419162,medium,0.8927
4884668,0,,16,,,153.56,157.47,153.56,0.0,0.0,0.9285714285714286,0.0,0.0,0.2478922376199244,medium,0.9908
6578219,0,,14,,,147.73,147.73,158.65,0.0,0.0,0.7857142857142857,0.0,0.0,0.2384759505120005,medium,1.0
797329175,0,,11,,,207.52,207.52,210.02,0.0,0.0,0.5714285714285714,0.0,0.0,0.33504538553477403,high,1.0
1462432302,0,,14,,,173.1,181.54,173.1,0.0,0.0,0.7857142857142857,0.0,0.0,0.27945214329553897,medium,0.9999
41224677,0,,9,,,188.78,195.67,188.78,0.0,0.0,0.42857142857142855,0.0,0.0,0.30477759472817134,high,1.0
238913756,0,,13,,,131.26,135.35,131.26,0.0,0.0,0.7142857142857143,0.0,0.0,0.21187453564621891,medium,0.9996
238913756,0,,13,,,171.77,171.77,171.84,0.0,0.0,0.7142857142857143,0.0,0.0,0.27730400232580676,medium,0.9649
6578226,0,,14,,,203.11,207.3,203.11,0.0,0.0,0.7857142857142857,0.0,0.0,0.3279226023193462,medium,0.9975
25359276,0,,16,,,208.03,208.03,216.04,0.0,0.0,0.9285714285714286,0.0,0.0,0.3358691087637691,medium,1.0
25359276,0,,10,,,108.34,108.34,113.95,0.0,0.0,0.5,0.0,0.0,0.1748554446490293,high,0.9997
30199425,0,,14,,,114.07,123.47,114.07,0.0,0.0,0.7857142857142857,0.0,0.0,0.1841102173983267,medium,1.0
25359276,0,,10,,,193.1,193.1,197.98,0.0,0.0,0.5,0.0,0.0,0.3117550150208353,high,1.0
6578226,0,,14,,,282.44,282.44,288.26,0.0,0.0,0.7857142857142857,0.0,0.0,0.45605194301773433,high,0.947
25359276,0,,16,,,208.03,208.03,216.04,0.0,0.0,0.9285714285714286,0.0,0.0,0.3358691087637691,medium,1.0
30199424,0,,14,,,124.57,124.57,134.13,0.0,0.0,0.7857142857142857,0.0,0.0,0.20106922505410732,medium,1.0
6578226,0,,14,,,282.44,282.44,288.26,0.0,0.0,0.7857142857142857,0.0,0.0,0.45605194301773433,high,0.947
6578226,0,,14,,,203.11,207.3,203.11,0.0,0.0,0.7857142857142857,0.0,0.0,0.3279226023193462,medium,0.9975
27929812,0,,14,,,223.16,230.76,223.16,0.0,0.0,0.7857142857142857,0.0,0.0,0.3603062312239558,medium,0.9767
26944030,0,,8,,,32.89,32.89,134.1,0.0,0.0,0.35714285714285715,0.0,0.0,0.052992861065348715,high,1.0
30243098,0,,10,,,95.18,95.18,150.88,0.0,0.0,0.5,0.0,0.0,0.1536001550537843,high,0.9987
"[1340413294, 1071583346, 1071583347, 1442653015, 557694267, 557694269]",0,,12,,,117.66,127.28,117.66,0.0,0.0,0.6428571428571429,0.0,0.0,0.1899085828730174,medium,0.9606
8173089,0,,12,,,243.15,254.84,243.15,0.0,0.0,0.6428571428571429,0.0,0.0,0.3925929515133895,high,1.0
25359285,0,,12,,,212.25,212.25,269.08,0.0,0.0,0.6428571428571429,0.0,0.0,0.3426850146978066,high,0.9994
25359285,0,,12,,,301.64,311.79,301.64,0.0,0.0,0.6428571428571429,0.0,0.0,0.4870626998740188,high,1.0
8173089,0,,14,,,59.86,63.51,59.86,0.0,0.0,0.7857142857142857,0.0,0.0,0.09655328358691088,medium,0.999
31731184,0,,14,,,76.21,76.21,78.18,0.0,0.0,0.7857142857142857,0.0,0.0,0.12296088122234067,medium,0.9999
31731184,0,,14,,,0.31,0.31,12.68,0.0,0.0,0.7857142857142857,0.0,0.0,0.00037148302484090834,low,0.7777
1462354004,0,,14,,,49.52,54.95,49.52,0.0,0.0,0.7857142857142857,0.0,0.0,0.07985269890493266,medium,0.996
19209655,0,,12,,,153.17,153.17,159.98,0.0,0.0,0.6428571428571429,0.0,0.0,0.24726233162128108,high,0.6838
23180842,0,,12,,,109.38,109.38,110.31,0.0,0.0,0.6428571428571429,0.0,0.0,0.1765351939787447,medium,0.984
"[16649312, 23180842, 23180839]",0,,12,,,2.01,2.01,10.69,0.0,0.0,0.6428571428571429,0.0,0.0,0.0031172271214911004,medium,1.0
"[16649312, 23180842, 23180839]",0,,12,,,2.01,2.01,10.69,0.0,0.0,0.6428571428571429,0.0,0.0,0.0031172271214911004,medium,1.0
18942160,0,,12,,,59.46,59.46,63.71,0.0,0.0,0.6428571428571429,0.0,0.0,0.09590722615240496,medium,0.9999
18942163,0,,12,,,101.82,109.62,101.82,0.0,0.0,0.6428571428571429,0.0,0.0,0.16432470846658268,medium,0.9931
2513470,0,,16,,,380.89,384.28,380.89,0.0,0.0,0.9285714285714286,0.0,0.0,0.6150628290855057,high,0.8252
27929741,0,,14,,,280.51,289.66,280.51,0.0,0.0,0.7857142857142857,0.0,0.0,0.4529347158962432,high,0.935
202053028,0,,14,,,385.32,385.32,386.19,0.0,0.0,0.7857142857142857,0.0,0.0,0.6222179151726589,high,1.0
202053028,0,,13,,,295.39,295.39,296.58,0.0,0.0,0.7142857142857143,0.0,0.0,0.4769680524598637,high,1.0
2430956,0,,13,,,534.15,542.04,534.15,0.0,0.0,0.7142857142857143,0.0,0.0,0.8625997351164517,high,1.0
202053028,0,,14,,,477.25,486.33,477.25,0.0,0.0,0.7857142857142857,0.0,0.0,0.7706980650579837,high,1.0
1462354002,0,,13,,,381.53,388.83,381.53,0.0,0.0,0.7142857142857143,0.0,0.0,0.6160965209807152,high,1.0
1462354003,0,,14,,,483.55,491.98,483.55,0.0,0.0,0.7857142857142857,0.0,0.0,0.7808734696514521,high,1.0
8173092,0,,12,,,191.0,191.0,193.31,0.0,0.0,0.6428571428571429,0.0,0.0,0.3083632134896792,high,0.9933
19210470,0,,12,,,157.69,157.69,159.39,0.0,0.0,0.6428571428571429,0.0,0.0,0.2545627806311981,high,0.7818
31731184,0,,12,,,153.26,153.26,155.2,0.0,0.0,0.6428571428571429,0.0,0.0,0.24740769454404493,high,0.686
2660144,0,,12,,,249.55,278.97,249.55,0.0,0.0,0.6428571428571429,0.0,0.0,0.4029298704654844,high,1.0
"[1484429896, 851330426, 1484429895]",0,,12,,,378.94,391.15,378.94,0.0,0.0,0.6428571428571429,0.0,0.0,0.6119132990922893,high,1.0
"[851321117, 851330430, 1484429895]",0,,12,,,358.48,391.25,358.48,0.0,0.0,0.6428571428571429,0.0,0.0,0.5788674613173111,high,1.0
246801281,0,,12,,,230.71,233.15,230.71,0.0,0.0,0.6428571428571429,0.0,0.0,0.3725005653002552,high,0.9999
19209653,0,,12,,,310.47,315.95,310.47,0.0,0.0,0.6428571428571429,0.0,0.0,0.5013244177407372,high,1.0
246801281,0,,12,,,297.19,301.58,297.19,0.0,0.0,0.6428571428571429,0.0,0.0,0.4798753109151404,high,1.0
59374120,0,,10,,,9.74,9.74,13.56,0.0,0.0,0.5,0.0,0.0,0.015602287043318152,medium,0.9489
"[1070366928, 36775550, 1070366927]",0,,7,,,63.9,64.36,63.9,0.0,0.0,0.2857142857142857,0.0,0.0,0.10307846367542074,high,1.0
"[1070366921, 1070366922]",0,,7,,,1.31,1.31,8.67,0.0,0.0,0.2857142857142857,0.0,0.0,0.0019866266111057272,high,1.0
"[1112581154, 1101475691, 2509157]",0,,5,,,105.92,109.63,105.92,0.0,0.0,0.14285714285714285,0.0,0.0,0.17094679717026845,high,1.0
"[837464386, 1065258324, 7744558, 837464388]",0,,6,,,107.29,107.29,108.06,0.0,0.0,0.21428571428571427,0.0,0.0,0.17315954388345126,high,1.0
"[201493132, 1212624126, 201491583]",0,,7,,,114.55,114.91,114.55,0.0,0.0,0.2857142857142857,0.0,0.0,0.18488548631973384,high,1.0
1065201834,0,,10,,,60.4,126.93,60.4,0.0,0.0,0.5,0.0,0.0,0.09742546112349389,high,0.9391
1065218300,0,,10,,,52.46,214.69,52.46,0.0,0.0,0.5,0.0,0.0,0.08460122104855122,high,0.864
"[47009721, 596678293]",0,,13,,,17.11,17.11,19.23,0.0,0.0,0.7142857142857143,0.0,0.0,0.027505895274089868,medium,0.9998
"[100514384, 1421325265, 1055385139]",0,,16,,,125.73,125.73,128.68,0.0,0.0,0.9285714285714286,0.0,0.0,0.2029427916141745,medium,0.7002
"[47009681, 1055385140, 1055385141]",0,,11,,,166.96,174.21,166.96,0.0,0.0,0.5714285714285714,0.0,0.0,0.269535161675873,high,0.9998
"[1065201834, 1065201835]",0,,13,,,103.88,110.02,103.88,0.0,0.0,0.7142857142857143,0.0,0.0,0.1676519042542882,medium,1.0
534033246,0,,7,,,407.99,407.99,412.72,0.0,0.0,0.2857142857142857,0.0,0.0,0.6588332202732824,high,1.0
4250582,0,,10,,,302.45,429.76,302.45,0.0,0.0,0.5,0.0,0.0,0.4883709661788933,high,1.0
637031477,0,,11,,,320.84,320.84,330.2,0.0,0.0,0.5714285714285714,0.0,0.0,0.5180734567303034,high,1.0
4253449,0,,11,,,172.52,172.52,178.17,0.0,0.0,0.5714285714285714,0.0,0.0,0.27851536001550536,high,0.9999
637031477,0,,11,,,219.6,219.6,227.29,0.0,0.0,0.5714285714285714,0.0,0.0,0.35455632005685306,high,1.0
534033248,0,,8,,,133.72,143.05,133.72,0.0,0.0,0.35714285714285715,0.0,0.0,0.2158477888684304,high,1.0
189443878,0,,9,,,221.85,229.69,221.85,0.0,0.0,0.42857142857142855,0.0,0.0,0.35819039312594886,high,1.0
4135475,0,,10,,,110.88,110.88,121.32,0.0,0.0,0.5,0.0,0.0,0.17895790935814193,high,0.9998
"[1037854585, 151906295]",0,,9,,,95.9,95.9,102.81,0.0,0.0,0.42857142857142855,0.0,0.0,0.15476305843589497,high,1.0
"[4253681, 1051177304, 1051177305, 1051177306, 1051177307, 628450589]",0,,9,,,139.97,154.68,139.97,0.0,0.0,0.42857142857142855,0.0,0.0,0.2259424362825855,high,1.0
97175531,0,,10,,,74.34,101.74,74.34,0.0,0.0,0.5,0.0,0.0,0.11994056271602546,high,0.9865
"[1065201836, 1065201837, 257776030]",0,,13,,,38.12,38.12,41.93,0.0,0.0,0.7142857142857143,0.0,0.0,0.06144006202151371,medium,1.0
"[1068362577, 1068362578, 166594103, 257776031]",0,,14,,,88.34,93.42,88.34,0.0,0.0,0.7857142857142857,0.0,0.0,0.14255257292373294,medium,1.0
"[534031400, 1065201838, 1065201839]",0,,13,,,25.64,121.19,25.64,0.0,0.0,0.7142857142857143,0.0,0.0,0.041283070064928776,medium,0.9999
4254649,0,,8,,,114.08,121.4,114.08,0.0,0.0,0.35714285714285715,0.0,0.0,0.18412636883418937,high,1.0
"[250328433, 250328427]",0,,9,,,127.52,127.52,128.96,0.0,0.0,0.42857142857142855,0.0,0.0,0.20583389863358853,high,1.0
"[250328427, 250328430]",0,,9,,,50.95,50.95,53.03,0.0,0.0,0.42857142857142855,0.0,0.0,0.08216235423329135,high,0.9996
"[250328427, 250328430]",0,,9,,,50.95,50.95,53.03,0.0,0.0,0.42857142857142855,0.0,0.0,0.08216235423329135,high,0.9996
250328430,0,,8,,,4.83,4.83,21.62,0.0,0.0,0.35714285714285715,0.0,0.0,0.00767193203475789,high,0.9999
236678750,0,,8,,,167.94,167.94,192.27,0.0,0.0,0.35714285714285715,0.0,0.0,0.2711180023904125,high,1.0
"[250325162, 250325163, 1065218282, 1417213554, 1191327863, 1191327864]",0,,11,,,343.16,343.16,346.25,0.0,0.0,0.5714285714285714,0.0,0.0,0.5541234615757341,high,1.0
8255605,0,,14,,,594.79,609.0,594.79,0.0,0.0,0.7857142857142857,0.0,0.0,0.9605420421875503,high,1.0
18122226,0,,14,,,518.15,605.47,518.15,0.0,0.0,0.7857142857142857,0.0,0.0,0.8367574377362147,high,1.0
18122226,0,,14,,,619.22,634.91,619.22,0.0,0.0,0.7857142857142857,0.0,0.0,1.0,high,1.0
"[39658930, 29057532]",0,,10,,,522.24,683.02,522.24,0.0,0.0,0.5,0.0,0.0,0.8433633750040378,high,1.0
"[31095616, 27547873, 2425499]",0,,12,,,281.87,331.27,281.87,0.0,0.0,0.6428571428571429,0.0,0.0,0.45513131117356337,high,1.0
6244589,0,,12,,,222.75,370.88,222.75,0.0,0.0,0.6428571428571429,0.0,0.0,0.3596440223535872,high,0.9998
311561500,0,,12,,,121.08,312.61,121.08,0.0,0.0,0.6428571428571429,0.0,0.0,0.1954323739380431,medium,0.9433
