osmid,lighting,visibility,connectivity,enclosure,dominant_land_use_score,public_transport_proximity_m,dist_to_rail_m,dist_to_bus_m,lighting_norm,visibility_norm,connectivity_norm,enclosure_norm,dominant_land_use_score_norm,public_transport_proximity_m_norm,pedestrian_priority_score_norm,risk_class,risk_probability
492149913,0,0.7206,12,0.15354646839006125,0.2169,127.4,145.5,127.4,0.0,0.6712941176470588,0.6666666666666666,0.23165946231539997,0.21682168216821684,0.17498454564187102,0.0,high,1.0
19618172,0,0.635,9,0.21918771629588266,0.2302,127.02,143.73,127.02,0.0,0.5705882352941176,0.4166666666666667,0.3306941134352348,0.2301230123012301,0.1744625317672917,0.0,high,1.0
492149913,0,0.5366,12,0.2309020990836001,0.1621,177.19,194.22,177.19,0.0,0.4548235294117646,0.6666666666666666,0.3483679062024029,0.16201620162016203,0.24338210041898478,0.0,high,1.0
"[689026946, 50813652, 5027198]",0,0.8776,12,0.08260234746019932,0.469,160.16,170.17,160.16,0.0,0.8560000000000001,0.6666666666666666,0.1246242292958712,0.46894689468946893,0.2199876365134968,0.0,medium,0.9995
5027301,0,0.6124,12,0.2597385580877993,0.469,83.07,89.46,83.07,0.0,0.544,0.6666666666666666,0.3918742188963609,0.46894689468946893,0.11408750601002815,0.0,high,1.0
616142176,0,0.768,12,0.13735471198312244,0.0817,171.95,180.02,171.95,0.0,0.7270588235294118,0.6666666666666666,0.20723053998474567,0.0816081608160816,0.23618380383268078,0.0,high,1.0
"[226221865, 1046719228, 1046719229]",0,0.7496,12,0.001415096982528571,0.0077,23.89,23.89,27.3,0.0,0.7054117647058824,0.6666666666666666,0.0021349213843178468,0.007600760076007601,0.03279071364791538,0.0,medium,0.9988
"[226221865, 1049740176, 1049740177, 1049740178, 1049740179]",0,0.851,10,0.002188007908345368,0.0145,68.79,68.79,70.83,0.0,0.8247058823529412,0.5,0.003301032119975976,0.014401440144014403,0.09447077409162719,0.0,high,0.7822
"[689026946, 50813652, 5027198]",0,0.8776,12,0.08260234746019927,0.469,160.16,170.17,160.16,0.0,0.8560000000000001,0.6666666666666666,0.12462422929587114,0.46894689468946893,0.2199876365134968,0.0,medium,0.9995
971238903,0,0.9319,9,0.013852690407927297,0.6251,39.51,39.51,43.04,0.0,0.9198823529411764,0.4166666666666667,0.020899840774972454,0.6250625062506251,0.05424823133456967,0.0,low,0.926
"[1415604001, 304310990]",0,0.7794,11,0.14428622146679765,0.0232,168.45,168.45,181.63,0.0,0.7404705882352941,0.5833333333333334,0.21768828790011888,0.0231023102310231,0.23137578130366093,0.0,high,1.0
"[5598937, 662514461, 4941045]",0,0.7852,12,0.053647962122648614,0.2681,100.33,100.33,162.55,0.0,0.7472941176470588,0.6666666666666666,0.08093999808796191,0.268026802680268,0.1377979256817089,0.0,medium,0.9904
662512151,0,0.7748,12,0.01701638922668118,0.4277,34.9,34.9,37.53,0.0,0.7350588235294118,0.6666666666666666,0.02567299513689216,0.42764276427642767,0.04791537880348924,0.0,medium,0.9827
"[1148108878, 925883402, 1064731044, 1432704134]",0,0.7902,10,0.04098684246192183,0.4277,106.86,107.73,106.86,0.0,0.7531764705882353,0.5,0.061837838875730404,0.42764276427642767,0.14676832200013737,0.0,medium,0.9936
"[19618594, 50810367]",0,0.6893,12,0.2559811297436397,0.1621,220.44,238.69,220.44,0.0,0.6344705882352941,0.6666666666666666,0.3862052894191896,0.16201620162016203,0.3027955216704444,0.0,high,1.0
