osmid,lighting,visibility,connectivity,enclosure,dominant_land_use_score,public_transport_proximity_m,dist_to_rail_m,dist_to_bus_m,lighting_norm,visibility_norm,connectivity_norm,enclosure_norm,dominant_land_use_score_norm,public_transport_proximity_m_norm,risk_class,risk_probability
807334397,0,0.5137,6,0.19028601209685644,0.0,98.76,98.76,100.76,0.0,0.36155966916108706,0.13333333333333333,0.2593229976706217,0.0,0.23286862003780717,high,1.0
246706745,0,0.9963,5,0.0,0.5,223.14,225.5,223.14,0.0,0.9951424445319679,0.06666666666666667,0.0,0.5,0.5267722117202267,high,0.7998
"[219295617, 4298483, 219295606]",0,1.0,6,0.0,,324.18,324.18,327.11,0.0,1.0,0.13333333333333333,0.0,0.2432,0.7655245746691871,high,1.0
246706751,0,1.0,6,0.0,,251.69,251.69,252.99,0.0,1.0,0.13333333333333333,0.0,0.2432,0.5942344045368619,high,0.9998
4297467,0,1.0,5,0.0,,391.97,391.97,409.24,0.0,1.0,0.06666666666666667,0.0,0.2432,0.9257088846880908,high,1.0
246706744,0,1.0,6,0.0,,392.97,392.97,417.7,0.0,1.0,0.13333333333333333,0.0,0.2432,0.9280718336483932,high,1.0
246706746,0,1.0,6,0.0,,258.94,259.2,258.94,0.0,1.0,0.13333333333333333,0.0,0.2432,0.6113657844990548,high,1.0
"[371748832, 246709234, 4298495]",0,1.0,5,0.0,,175.07,179.29,175.07,0.0,1.0,0.06666666666666667,0.0,0.2432,0.41318525519848764,high,0.8812
1051498485,0,1.0,6,0.0,,95.23,99.55,95.23,0.0,1.0,0.13333333333333333,0.0,0.2432,0.2245274102079395,medium,1.0
"[241919507, 318996260, 318996263]",0,1.0,6,0.0,,220.82,220.82,225.72,0.0,1.0,0.13333333333333333,0.0,0.2432,0.521290170132325,high,0.9765
"[112081145, 319256943]",0,1.0,6,0.0,,251.3,251.3,257.88,0.0,1.0,0.13333333333333333,0.0,0.2432,0.5933128544423439,high,0.9998
"[241919500, 319256942]",0,1.0,5,0.0,,248.18,248.18,254.59,0.0,1.0,0.06666666666666667,0.0,0.2432,0.5859404536862003,high,1.0
4526344,0,0.411,8,0.4803842193694086,0.1482,101.14,101.14,111.8,0.0,0.2267296836024681,0.26666666666666666,0.6546706950646878,0.1482,0.23849243856332702,high,1.0
43405582,0,0.5291,10,0.1630566657238231,0.0686,14.51,14.51,20.0,0.0,0.38177760273073386,0.4,0.22221466980008706,0.0686,0.03379017013232514,high,0.5609
"[1044512979, 428833182]",0,0.7222,7,0.19790791452854892,0.0,3.17,3.17,8.17,0.0,0.635289484048838,0.2,0.26971017518703017,0.0,0.006994328922495273,high,0.9997
"[1044512981, 428833183]",0,0.5375,10,0.16932284059516092,0.0,71.3,77.44,71.3,0.0,0.39280556649599574,0.4,0.23075425310238742,0.0,0.1679820415879017,high,1.0
23614622,0,0.4043,7,0.47418878172128875,0.0,105.6,109.9,105.6,0.0,0.21793356964684255,0.2,0.6462275129038566,0.0,0.24903119092627596,high,1.0
