osmid,lighting,visibility,connectivity,enclosure,dominant_land_use_score,public_transport_proximity_m,dist_to_rail_m,dist_to_bus_m,lighting_norm,visibility_norm,connectivity_norm,enclosure_norm,dominant_land_use_score_norm,public_transport_proximity_m_norm,pedestrian_priority_score_norm,risk_class,risk_probability
"[1446757384, 22278074, 396719604]",0,,6,,,,,,0.0,0.0,0.1875,0.0,0.0,0.0,0.0,medium,0.9994
"[22278381, 410895670]",0,,6,,,,,,0.0,0.0,0.1875,0.0,0.0,0.0,0.0,medium,0.9994
396882454,0,,9,,,,,,0.0,0.0,0.375,0.0,0.0,0.0,0.0,medium,0.8155
396882454,0,,10,,,,,,0.0,0.0,0.4375,0.0,0.0,0.0,0.0,high,0.6155
4515057,0,,8,,,,,,0.0,0.0,0.3125,0.0,0.0,0.0,0.0,medium,0.969
396882454,0,,10,,,,,,0.0,0.0,0.4375,0.0,0.0,0.0,0.0,high,0.6155
396882454,0,,10,,,,,,0.0,0.0,0.4375,0.0,0.0,0.0,0.0,high,0.6155
4515071,0,,10,,,,,,0.0,0.0,0.4375,0.0,0.0,0.0,0.0,high,0.6155
686463869,0,,7,,,,,,0.0,0.0,0.25,0.0,0.0,0.0,0.0,medium,0.9955
396882457,0,,6,,,,,,0.0,0.0,0.1875,0.0,0.0,0.0,0.0,medium,0.9994
413779690,0,,10,,,,,,0.0,0.0,0.4375,0.0,0.0,0.0,0.0,high,0.6155
1320685379,0,,9,,,,,,0.0,0.0,0.375,0.0,0.0,0.0,0.0,medium,0.8155
"[413779698, 1320685382]",0,,11,,,,,,0.0,0.0,0.5,0.0,0.0,0.0,0.0,high,0.9189
4430224,0,,8,,,,,,0.0,0.0,0.3125,0.0,0.0,0.0,0.0,medium,0.969
1320685381,0,,8,,,,,,0.0,0.0,0.3125,0.0,0.0,0.0,0.0,medium,0.969
"[19850873, 19730595, 19850869, 19730599]",0,,6,,,,,,0.0,0.0,0.1875,0.0,0.0,0.0,0.0,medium,0.9994
"[1238777283, 19850890, 415108855, 415108856, 393135513, 19850910]",0,,6,,,,,,0.0,0.0,0.1875,0.0,0.0,0.0,0.0,medium,0.9994
71218080,0,,6,,,,,,0.0,0.0,0.1875,0.0,0.0,0.0,0.0,medium,0.9994
8039095,0,,6,,,,,,0.0,0.0,0.1875,0.0,0.0,0.0,0.0,medium,0.9994
25498210,0,,11,,,,,,0.0,0.0,0.5,0.0,0.0,0.0,0.0,high,0.9189
413779691,0,,8,,,,,,0.0,0.0,0.3125,0.0,0.0,0.0,0.0,medium,0.969
4430233,0,,6,,,,,,0.0,0.0,0.1875,0.0,0.0,0.0,0.0,medium,0.9994
4430224,0,,7,,,,,,0.0,0.0,0.25,0.0,0.0,0.0,0.0,medium,0.9955
330962007,0,,8,,,,,,0.0,0.0,0.3125,0.0,0.0,0.0,0.0,medium,0.969
412512399,0,,7,,,,,,0.0,0.0,0.25,0.0,0.0,0.0,0.0,medium,0.9955
837242309,0,,10,,,,,,0.0,0.0,0.4375,0.0,0.0,0.0,0.0,high,0.6155
316318807,0,,12,,,,,,0.0,0.0,0.5625,0.0,0.0,0.0,0.0,high,0.9877
395067589,0,,8,,,,,,0.0,0.0,0.3125,0.0,0.0,0.0,0.0,medium,0.969
837242309,0,,10,,,,,,0.0,0.0,0.4375,0.0,0.0,0.0,0.0,high,0.6155
171216957,0,,10,,,,,,0.0,0.0,0.4375,0.0,0.0,0.0,0.0,high,0.6155
"[529716796, 529716797]",0,,12,,,,,,0.0,0.0,0.5625,0.0,0.0,0.0,0.0,high,0.9877
"[1069595079, 529718285, 529718287, 140679441, 1069908031]",0,,12,,,,,,0.0,0.0,0.5625,0.0,0.0,0.0,0.0,high,0.9877
417621289,0,,6,,,,,,0.0,0.0,0.1875,0.0,0.0,0.0,0.0,medium,0.9994
4045357,0,,6,,,,,,0.0,0.0,0.1875,0.0,0.0,0.0,0.0,medium,0.9994
22415346,0,,12,,,,,,0.0,0.0,0.5625,0.0,0.0,0.0,0.0,high,0.9877
"[379685050, 412542462]",0,,11,,,,,,0.0,0.0,0.5,0.0,0.0,0.0,0.0,high,0.9189
412542464,0,,11,,,,,,0.0,0.0,0.5,0.0,0.0,0.0,0.0,high,0.9189
8039103,0,,7,,,,,,0.0,0.0,0.25,0.0,0.0,0.0,0.0,medium,0.9955
412512402,0,,8,,,,,,0.0,0.0,0.3125,0.0,0.0,0.0,0.0,medium,0.969
"[21637699, 417416495]",0,,5,,,,,,0.0,0.0,0.125,0.0,0.0,0.0,0.0,medium,0.9999
4235653,0,,12,,,,,,0.0,0.0,0.5625,0.0,0.0,0.0,0.0,high,0.9877
4219857,0,,12,,,,,,0.0,0.0,0.5625,0.0,0.0,0.0,0.0,high,0.9877
4219857,0,,12,,,,,,0.0,0.0,0.5625,0.0,0.0,0.0,0.0,high,0.9877
4219855,0,,8,,,,,,0.0,0.0,0.3125,0.0,0.0,0.0,0.0,medium,0.969
4235653,0,,12,,,,,,0.0,0.0,0.5625,0.0,0.0,0.0,0.0,high,0.9877
4219855,0,,12,,,,,,0.0,0.0,0.5625,0.0,0.0,0.0,0.0,high,0.9877
4219855,0,,12,,,,,,0.0,0.0,0.5625,0.0,0.0,0.0,0.0,high,0.9877
4219855,0,,12,,,,,,0.0,0.0,0.5625,0.0,0.0,0.0,0.0,high,0.9877
4219857,0,,12,,,,,,0.0,0.0,0.5625,0.0,0.0,0.0,0.0,high,0.9877
4235654,0,,12,,,,,,0.0,0.0,0.5625,0.0,0.0,0.0,0.0,high,0.9877
4219855,0,,12,,,,,,0.0,0.0,0.5625,0.0,0.0,0.0,0.0,high,0.9877
4219855,0,,12,,,,,,0.0,0.0,0.5625,0.0,0.0,0.0,0.0,high,0.9877
4235654,0,,12,,,,,,0.0,0.0,0.5625,0.0,0.0,0.0,0.0,high,0.9877
4219856,0,,12,,,,,,0.0,0.0,0.5625,0.0,0.0,0.0,0.0,high,0.9877
