osmid,lighting,visibility,connectivity,enclosure,dominant_land_use_score,public_transport_proximity_m,dist_to_rail_m,dist_to_bus_m,pedestrian_priority_score,lighting_norm,visibility_norm,connectivity_norm,enclosure_norm,dominant_land_use_score_norm,public_transport_proximity_m_norm,pedestrian_priority_score_norm,risk_class,risk_probability
"[4827117, 520246974]",0,1.0,6,0.010549158910508475,1.0,376.93,380.32,376.93,0.495,0.0,1.0,0.15384615384615385,0.01430296086740545,1.0,0.35975819390327757,0.56353591160221,low,0.9818
246292527,0,1.0,6,0.008696159642764628,0.5,336.02,339.16,336.02,0.3,0.0,1.0,0.15384615384615385,0.011790365986404521,0.49994999499949994,0.3206891282756513,0.13259668508287292,low,0.8858
"[306173988, 18003238]",0,1.0,6,0.06255885646927248,0.5,175.88,175.88,178.81,0.495,0.0,1.0,0.15384615384615385,0.08482608633397289,0.49994999499949994,0.16775536710214686,0.56353591160221,low,1.0
26983658,0,1.0,6,0.0429351641721161,0.5,239.48,239.48,245.51,0.26,0.0,1.0,0.15384615384615385,0.05821712341074067,0.49994999499949994,0.22849339139735658,0.04419889502762435,low,0.8862
26983658,0,1.0,6,0.017526031344777655,1.0,328.12,330.62,328.12,0.26,0.0,1.0,0.15384615384615385,0.023763328320807235,1.0,0.31314462525785014,0.04419889502762435,medium,0.9885
41736260,0,1.0,5,0.017526031344777655,1.0,313.68,315.61,313.68,0.515,0.0,1.0,0.07692307692307693,0.023763328320807235,1.0,0.2993544197417679,0.6077348066298343,low,0.9993
119060028,0,1.0,6,0.0042741816120318386,0.5,999.46,1000.32,999.46,0.3,0.0,1.0,0.15384615384615385,0.00579433589760382,0.49994999499949994,0.9542745817098328,0.13259668508287292,medium,0.8932
"[98644798, 28639278]",0,1.0,6,0.0042741816120318386,0.5,870.03,875.08,870.03,0.535,0.0,1.0,0.15384615384615385,0.00579433589760382,0.49994999499949994,0.830668882267553,0.6519337016574587,medium,0.9506
"[1056877616, 28947201, 28947204, 30915551]",0,1.0,5,0.0042741816120318386,0.5,978.71,982.54,978.71,0.3,0.0,1.0,0.07692307692307693,0.00579433589760382,0.49994999499949994,0.9344583237833296,0.13259668508287292,medium,0.9771
30915552,0,1.0,4,0.0042741816120318386,0.5,916.68,923.02,916.68,0.34,0.0,1.0,0.0,0.00579433589760382,0.49994999499949994,0.8752196500878601,0.22099447513812162,medium,0.9997
306180386,0,1.0,5,0.02189687420982172,0.6399,196.87,197.25,196.87,0.3,0.0,1.0,0.07692307692307693,0.029690021115316902,0.6398639863986398,0.18780082512033008,0.13259668508287292,low,0.9936
"[4632864, 727386562, 33396903, 33396904, 216633468, 216633469]",0,1.0,5,0.0250508379387435,0.5,175.55,177.04,175.55,0.455,0.0,1.0,0.07692307692307693,0.033966673166993235,0.49994999499949994,0.16744021697608683,0.4751381215469614,low,1.0
207351474,0,1.0,4,0.0042741816120318386,0.5,710.85,717.85,710.85,0.34,0.0,1.0,0.0,0.00579433589760382,0.49994999499949994,0.6786519214607687,0.22099447513812162,medium,0.991
"[207351473, 38611922, 1116499412, 38611921]",0,1.0,6,0.0009104312625869331,0.5,135.02,135.02,141.51,0.3,0.0,1.0,0.15384615384615385,0.0012332213542230622,0.49994999499949994,0.12873405149362063,0.13259668508287292,low,0.9996
4088315,0,1.0,5,0.0009104312625869331,0.5,155.8,159.71,155.8,0.475,0.0,1.0,0.07692307692307693,0.0012332213542230622,0.49994999499949994,0.1485789594315838,0.5193370165745856,low,1.0
4089764,0,1.0,6,0.0009104312625869331,0.5,117.06,123.68,117.06,0.455,0.0,1.0,0.15384615384615385,0.0012332213542230622,0.49994999499949994,0.11158224463289787,0.4751381215469614,low,1.0
"[196507360, 196507356, 318714422, 15093007]",0,0.9755,5,0.0042741816120318386,0.5,719.77,727.2,719.77,0.415,0.0,0.9693673418354589,0.07692307692307693,0.00579433589760382,0.49994999499949994,0.68717052486821,0.38674033149171266,medium,0.9718
