osmid,lighting,visibility,connectivity,enclosure,dominant_land_use_score,public_transport_proximity_m,dist_to_rail_m,dist_to_bus_m,lighting_norm,visibility_norm,connectivity_norm,enclosure_norm,dominant_land_use_score_norm,public_transport_proximity_m_norm,pedestrian_priority_score_norm,risk_class,risk_probability
"[8380803, 309051278]",0,0.8181,5,0.0003561092572042775,0.5,17.49,17.49,28.76,0.0,0.8000439705397384,0.2222222222222222,0.0005226509580851958,0.4997498749374687,0.066201297469555,0.0,low,1.0
246638753,0,1.0,4,0.0003561092572042775,0.5,121.77,121.77,125.82,0.0,1.0,0.1111111111111111,0.0005226509580851958,0.4997498749374687,0.46181569862286126,0.0,medium,0.9995
18508391,0,1.0,6,0.0003561092572042775,0.5,76.46,76.46,81.64,0.0,1.0,0.3333333333333333,0.0005226509580851958,0.4997498749374687,0.2899199514397359,0.0,low,0.507
294871189,0,1.0,6,0.0003561092572042775,0.5,80.33,80.33,82.5,0.0,1.0,0.3333333333333333,0.0005226509580851958,0.4997498749374687,0.3046018437725255,0.0,medium,0.7335
"[245672930, 294871188]",0,1.0,5,0.0003561092572042775,0.5,122.59,122.59,125.53,0.0,1.0,0.2222222222222222,0.0005226509580851958,0.4997498749374687,0.46492659053833607,0.0,medium,1.0
"[1360092505, 450445885]",0,1.0,6,0.0003561092572042775,0.9821,116.82,117.18,116.82,0.0,1.0,0.3333333333333333,0.0005226509580851958,0.9820910455227614,0.44303653401115367,0.0,medium,1.0
295215797,4,0.2675,5,0.5580027985742623,0.1658,171.66,183.69,171.66,0.03361344537815126,0.19478949104100257,0.2222222222222222,0.8527565310084356,0.16538269134567282,0.651086915285102,0.0,high,1.0
4743362,4,0.2264,3,0.6132827906279122,0.141,186.2,197.14,186.2,0.03361344537815126,0.14960976145982194,0.0,0.9372392025988139,0.14057028514257128,0.70624834022535,0.0,high,1.0
295215797,13,0.3212,6,0.559706969753659,0.0729,115.63,126.72,115.63,0.1092436974789916,0.25381994063977137,0.3333333333333333,0.8553609621730247,0.07243621810905453,0.4385219469630866,0.0,high,1.0
4743363,2,0.4254,4,0.4478685145373627,0.1116,100.92,112.16,100.92,0.01680672268907563,0.368363196658239,0.1111111111111111,0.6844417718438408,0.11115557778889444,0.3827155810159718,0.0,high,0.9998
4743364,5,0.2335,3,0.5412448584328814,0.1629,263.63,263.63,275.92,0.04201680672268908,0.15741453226338353,0.0,0.8271458986457991,0.16248124062031014,1.0,0.0,high,1.0
"[295215802, 295215803, 241868444]",0,0.2986,5,0.5551588175512232,0.5088,213.63,219.58,213.63,0.0,0.2289765856875893,0.2222222222222222,0.8484101643420748,0.5085542771385694,0.8103114685686105,0.0,high,1.0
