osmid,lighting,visibility,connectivity,enclosure,dominant_land_use_score,public_transport_proximity_m,dist_to_rail_m,dist_to_bus_m,lighting_norm,visibility_norm,connectivity_norm,enclosure_norm,dominant_land_use_score_norm,public_transport_proximity_m_norm,risk_class,risk_probability
4951286,0,1.0,7,0.0,,42.68,42.68,52.1,0.0,1.0,0.2727272727272727,0.0,0.6207324643078833,0.11222055805181119,low,1.0
22951592,0,0.3471,9,0.48709233371305594,0.4476,217.04,725.18,217.04,0.0,0.10106016797466615,0.45454545454545453,0.9018323530783406,0.5556797020484171,0.5958284795029678,high,1.0
27350842,0,0.504,10,0.27819968757142005,0.4991,276.3,810.3,276.3,0.0,0.31708660333195654,0.5454545454545454,0.515075811100716,0.6196151458721291,0.7601930437676818,high,1.0
"[204897976, 204149302, 204149303]",0,0.4038,9,0.44453973885588705,0.4467,211.05,823.31,211.05,0.0,0.1791270824728074,0.45454545454545453,0.8230478925283279,0.554562383612663,0.5792145115659845,high,1.0
33654269,0,0.3221,7,0.5356826570146379,0.4985,282.15,642.44,282.15,0.0,0.06663912983615586,0.2727272727272727,0.9917954310554975,0.6188702669149596,0.7764187052754201,high,1.0
297113979,0,0.4172,8,0.33855424297746134,0.5,296.3,705.23,296.3,0.0,0.19757675891504892,0.36363636363636365,0.6268199034495223,0.6207324643078833,0.8156653908026849,high,1.0
4951284,0,0.3706,10,0.4044335801759735,0.5,322.12,556.88,322.12,0.0,0.13341594382486574,0.5454545454545454,0.748792912616148,0.6207324643078833,0.8872801908248739,high,1.0
33654268,0,0.3463,9,0.45226538737426114,0.4886,305.1,576.39,305.1,0.0,0.09995869475423379,0.45454545454545453,0.8373516277755466,0.6065797641216636,0.8400732234980863,high,1.0
164595130,0,0.3791,9,0.4239462525089617,0.4758,316.22,593.54,316.22,0.0,0.14511909679195925,0.45454545454545453,0.7849198601925222,0.5906890130353818,0.870915848449548,high,1.0
4951284,0,0.3706,10,0.4044335801759735,0.5,322.12,556.88,322.12,0.0,0.13341594382486574,0.5454545454545454,0.748792912616148,0.6207324643078833,0.8872801908248739,high,1.0
33654265,0,0.4712,7,0.39291032537179654,0.5582,258.26,547.65,258.26,0.0,0.27192620129423106,0.2727272727272727,0.7274580582653216,0.692985723153321,0.710156986742109,high,1.0
139584781,0,0.8136,12,0.1031235449758433,0.0,47.76,49.5,47.76,0.0,0.7433567396392676,0.7272727272727273,0.19092919922268958,0.0,0.12631053419870195,low,1.0
190598703,0,0.7535,8,0.17058107528815245,0.0154,44.9,44.9,155.3,0.0,0.6606085639542888,0.36363636363636365,0.31582417104591914,0.019118559900682806,0.11837798857269652,high,0.9509
22951419,0,0.5435,10,0.3606475019110102,0.2998,61.13,78.73,61.13,0.0,0.3714718435908027,0.5454545454545454,0.6677247059113669,0.3721911855990068,0.16339379819160152,high,1.0
"[27806144, 27806169, 33684471]",0,0.4539,6,0.4595885848900527,0.2817,79.88,79.88,156.96,0.0,0.248106842902382,0.18181818181818182,0.8509102407748108,0.34972067039106147,0.21539912353691687,high,1.0
23751830,0,0.3284,8,0.44580347159593947,0.3009,203.86,220.38,203.86,0.0,0.07531323144706048,0.36363636363636365,0.8253876441354533,0.37355679702048417,0.5592722028069008,high,1.0
190598715,0,0.546,9,0.3310438124638782,0.5,234.64,324.59,234.64,0.0,0.37491394740465384,0.45454545454545453,0.6129146358977524,0.6207324643078833,0.6446441448937705,high,1.0
97165985,0,0.8408,6,0.048662222653954645,0.4318,57.23,159.55,57.23,0.0,0.7808068291339667,0.18181818181818182,0.09009619680832551,0.536064556176288,0.1525766905197759,medium,1.0
"[202304080, 22951417]",0,0.8043,7,0.06896050005747949,0.352,49.75,167.01,49.75,0.0,0.7305521134517418,0.2727272727272727,0.1276776613629319,0.43699565487274983,0.13183003272868477,medium,1.0
22951389,0,0.3186,7,0.40467774530481593,0.5,208.15,242.62,208.15,0.0,0.06182018449676442,0.2727272727272727,0.7492449747765296,0.6207324643078833,0.571171021245909,high,1.0
121033199,0,0.2848,8,0.5273846738442183,0.5,204.02,239.39,204.02,0.0,0.015282940933498555,0.36363636363636365,0.9764320406458418,0.6207324643078833,0.5597159815831809,high,1.0
1009886826,0,0.2999,5,0.45443065061472504,0.5,186.74,206.75,186.74,0.0,0.036073247969158756,0.09090909090909091,0.8413605277479529,0.6207324643078833,0.5117878737449383,high,1.0
121033199,0,0.3504,7,0.48959134377500224,0.5,181.79,184.63,181.79,0.0,0.10560374500894947,0.2727272727272727,0.9064591722018358,0.6207324643078833,0.49805846785377494,high,1.0
22951403,0,0.8953,6,0.0,0.3362,61.54,275.58,61.54,0.0,0.855844692275919,0.18181818181818182,0.0,0.41738050900062074,0.16453098130581906,medium,0.9936
190598716,0,1.0,7,0.0,,33.37,249.54,33.37,0.0,1.0,0.2727272727272727,0.0,0.6207324643078833,0.08639818050701725,low,1.0
28213659,0,0.8308,5,0.0,0.5,114.71,1282.91,114.71,0.0,0.7670384138785625,0.09090909090909091,0.0,0.6207324643078833,0.3120042158983747,medium,0.9996
128665332,0,0.8864,11,0.013663845445593563,0.5,47.83,2048.87,47.83,0.0,0.8435908026986095,0.6363636363636364,0.025298073973706887,0.6207324643078833,0.12650468741332446,low,1.0
"[136547104, 190525601]",0,0.6906,10,0.11736152403112154,0.6586,61.15,1951.45,61.15,0.0,0.5740052319977971,0.5454545454545454,0.21729025905835075,0.8176288019863438,0.1634492705386365,low,1.0
22951725,0,1.0,9,0.0,,54.53,2083.22,54.53,0.0,1.0,0.45454545454545453,0.0,0.6207324643078833,0.1450879236700505,low,1.0
136547105,0,1.0,10,0.0,,69.69,2087.86,69.69,0.0,1.0,0.5454545454545454,0.0,0.6207324643078833,0.18713596272258282,low,1.0
"[190818978, 95340419, 190818975]",0,1.0,10,0.0,,48.52,2127.04,48.52,0.0,1.0,0.5454545454545454,0.0,0.6207324643078833,0.1284184833860321,low,1.0
"[22951657, 193388004]",1,0.8322,7,0.06742363878553032,0.5,18.96,1987.96,18.96,0.14285714285714285,0.7689659920143193,0.2727272727272727,0.12483222299055674,0.6207324643078833,0.04643035446829756,low,1.0
27806452,0,0.5721,6,0.3172254632571574,0.5,35.66,484.4,35.66,0.0,0.4108495112212585,0.18181818181818182,0.5873305042696483,0.6207324643078833,0.09274976424252511,high,1.0
