osmid,lighting,visibility,connectivity,enclosure,dominant_land_use_score,public_transport_proximity_m,dist_to_rail_m,dist_to_bus_m,lighting_norm,visibility_norm,connectivity_norm,enclosure_norm,dominant_land_use_score_norm,public_transport_proximity_m_norm,risk_class,risk_probability
807334397,0,0.5137,6,0.19028601209685644,0.3947,98.76,98.76,100.76,0.0,0.36155966916108706,0.13333333333333333,0.2593205498314772,0.39451835550665193,0.23286862003780717,high,1.0
246706745,0,0.9963,5,0.10917440715815112,0.5,223.14,225.5,223.14,0.0,0.9951424445319679,0.06666666666666667,0.14878076909974192,0.4998499549864959,0.5267722117202267,high,1.0
"[219295617, 4298483, 219295606]",0,1.0,6,0.08667995784007992,0.5,324.18,324.18,327.11,0.0,1.0,0.13333333333333333,0.11812508798999503,0.4998499549864959,0.7655245746691871,high,1.0
246706751,0,1.0,6,0.08223703089454322,0.5,251.69,251.69,252.99,0.0,1.0,0.13333333333333333,0.11207021864376675,0.4998499549864959,0.5942344045368619,high,0.9996
4297467,0,1.0,5,0.00016675114818705646,0.5,391.97,391.97,409.24,0.0,1.0,0.06666666666666667,0.00022394541800622281,0.4998499549864959,0.9257088846880908,high,1.0
246706744,0,1.0,6,0.00016675114818705646,0.5,392.97,392.97,417.7,0.0,1.0,0.13333333333333333,0.00022394541800622281,0.4998499549864959,0.9280718336483932,high,1.0
246706746,0,1.0,6,0.06632200861585075,0.0449,258.94,259.2,258.94,0.0,1.0,0.13333333333333333,0.09038105253298917,0.04461338401520456,0.6113657844990548,high,1.0
"[371748832, 246709234, 4298495]",0,1.0,5,0.0001410497382108173,0.5,175.07,179.29,175.07,0.0,1.0,0.06666666666666667,0.000188919255900112,0.4998499549864959,0.41318525519848764,medium,0.9988
1051498485,0,1.0,6,0.12397059495971328,0.5,95.23,99.55,95.23,0.0,1.0,0.13333333333333333,0.1689451753704134,0.4998499549864959,0.2245274102079395,medium,1.0
"[241919507, 318996260, 318996263]",0,1.0,6,0.3456799654554093,0.0012,220.82,220.82,225.72,0.0,1.0,0.13333333333333333,0.4710931259538762,0.0009002700810243073,0.521290170132325,high,1.0
"[112081145, 319256943]",0,1.0,6,0.1703295808968317,0.0772,251.3,251.3,257.88,0.0,1.0,0.13333333333333333,0.2321237075213575,0.07692307692307693,0.5933128544423439,high,1.0
"[241919500, 319256942]",0,1.0,5,0.1703295808968317,0.0772,248.18,248.18,254.59,0.0,1.0,0.06666666666666667,0.2321237075213575,0.07692307692307693,0.5859404536862003,high,1.0
4526344,0,0.411,8,0.4803842193694086,0.1482,101.14,101.14,111.8,0.0,0.2267296836024681,0.26666666666666666,0.6546695537971883,0.1479443833149945,0.23849243856332702,high,1.0
43405582,0,0.5291,10,0.1630566657238231,0.0686,14.51,14.51,20.0,0.0,0.38177760273073386,0.4,0.2222120993228462,0.06832049614884465,0.03379017013232514,high,0.5632
"[1044512979, 428833182]",0,0.7222,7,0.19790791452854892,0.2697,3.17,3.17,8.17,0.0,0.635289484048838,0.2,0.26970776167612814,0.26948084425327595,0.006994328922495273,medium,0.7313
"[1044512981, 428833183]",0,0.5375,10,0.16932284059516092,0.2284,71.3,77.44,71.3,0.0,0.39280556649599574,0.4,0.2307517108473355,0.22816845053516055,0.1679820415879017,high,0.984
23614622,0,0.4043,7,0.47418878172128875,0.2697,105.6,109.9,105.6,0.0,0.21793356964684255,0.2,0.6462263437327612,0.26948084425327595,0.24903119092627596,high,1.0
428833182,0,0.7353,6,0.19845207126997788,0.2697,166.67,166.67,166.93,0.0,0.6524878561113298,0.13333333333333333,0.27044934442408025,0.26948084425327595,0.393336483931947,high,1.0
31845336,0,0.9807,6,0.0068349486837893225,1.0,97.94,103.09,97.94,0.0,0.9746619403964815,0.13333333333333333,0.0093114378183648,1.0,0.23093100189035914,low,1.0
31845333,0,1.0,6,0.0068349486837893225,1.0,111.23,117.0,111.23,0.0,1.0,0.13333333333333333,0.0093114378183648,1.0,0.26233459357277883,low,1.0
4259120,0,1.0,6,0.0068349486837893225,1.0,70.16,70.48,70.16,0.0,1.0,0.13333333333333333,0.0093114378183648,1.0,0.16528827977315688,low,1.0
31845336,0,0.9961,7,0.0068349486837893225,1.0,98.74,98.74,99.66,0.0,0.9948798739661284,0.2,0.0093114378183648,1.0,0.2328213610586011,low,1.0
44508941,0,0.9782,7,0.004198343811800992,0.8637,24.38,24.38,31.43,0.0,0.9713798083234869,0.2,0.005718243914162576,0.8636590977293188,0.05711247637051039,low,1.0
67498724,5,0.7225,10,0.09090936805447254,0.5,23.19,23.19,59.2,0.03571428571428571,0.6356833398975975,0.4,0.12388897440398988,0.4998499549864959,0.05430056710775047,low,0.9998
416350385,0,0.7002,10,0.11130188537057674,0.197,11.39,11.39,18.83,0.0,0.6064067218064855,0.4,0.15168011963399392,0.1967590277083125,0.026417769376181472,medium,0.9997
4259121,0,1.0,7,0.0068349486837893225,0.9989,109.68,109.68,114.95,0.0,1.0,0.2,0.0093114378183648,0.9988996699009703,0.25867202268431,low,1.0
"[44508940, 318947533]",0,0.989,6,0.0068349486837893225,0.9989,121.35,121.35,122.43,0.0,0.9855586188788236,0.13333333333333333,0.0093114378183648,0.9988996699009703,0.28624763705103967,low,1.0
131443351,0,1.0,5,0.0068349486837893225,1.0,127.28,132.37,127.28,0.0,1.0,0.06666666666666667,0.0093114378183648,1.0,0.30025992438563326,low,0.9841
29271779,0,1.0,5,0.0068349486837893225,1.0,94.21,101.04,94.21,0.0,1.0,0.06666666666666667,0.0093114378183648,1.0,0.22211720226843099,low,1.0
4298490,0,1.0,9,0.0001410497382108173,0.5,72.08,72.23,72.08,0.0,1.0,0.3333333333333333,0.000188919255900112,0.4998499549864959,0.1698251417769376,low,1.0
"[4298491, 386095886]",0,1.0,7,0.0068349486837893225,1.0,61.71,61.71,68.66,0.0,1.0,0.2,0.0093114378183648,1.0,0.1453213610586011,low,1.0
4298490,0,1.0,10,0.0001410497382108173,0.5,133.25,134.22,133.25,0.0,1.0,0.4,0.000188919255900112,0.4998499549864959,0.3143667296786389,low,1.0
4259236,0,1.0,10,0.0001410497382108173,0.5,194.76,194.76,195.69,0.0,1.0,0.4,0.000188919255900112,0.4998499549864959,0.45971172022684303,low,0.9961
67499560,0,0.9902,11,0.00014104973821081726,0.5,199.59,200.34,199.59,0.0,0.987134042273861,0.4666666666666667,0.00018891925590011196,0.4998499549864959,0.4711247637051039,low,1.0
11103450,0,0.9539,11,0.01123738379772451,0.5,178.12,179.35,178.12,0.0,0.9394774845739792,0.4666666666666667,0.015311124454424294,0.4998499549864959,0.42039224952741017,low,1.0
