osmid,lighting,visibility,connectivity,enclosure,dominant_land_use_score,public_transport_proximity_m,dist_to_rail_m,dist_to_bus_m,lighting_norm,visibility_norm,connectivity_norm,enclosure_norm,dominant_land_use_score_norm,public_transport_proximity_m_norm,pedestrian_priority_score_norm,risk_class,risk_probability
4951286,15,1.0,7,0.1031235449758433,0.2,42.68,42.68,52.1,0.23809523809523808,1.0,0.2727272727272727,0.1909201326333597,0.23364131122642703,0.11222055805181119,0.0,low,1.0
22951592,0,0.3471,9,0.48709233371305594,0.4476,217.04,725.18,217.04,0.0,0.10106016797466615,0.45454545454545453,0.9018312529944676,0.5470193646373877,0.5958284795029678,0.0,high,1.0
27350842,0,0.504,10,0.27819968757142005,0.4991,276.3,810.3,276.3,0.0,0.31708660333195654,0.5454545454545454,0.5150703769551844,0.6122009872168079,0.7601930437676818,0.0,high,1.0
"[204897976, 204149302, 204149303]",0,0.4038,9,0.44453973885588705,0.4467,211.05,823.31,211.05,0.0,0.1791270824728074,0.45454545454545453,0.8230459095719687,0.5458802683204657,0.5792145115659845,0.0,high,1.0
33654269,0,0.3221,7,0.5356826570146379,0.4985,282.15,642.44,282.15,0.0,0.06663912983615586,0.2727272727272727,0.9917953391136586,0.6114415896721933,0.7764187052754201,0.0,high,1.0
297113979,0,0.4172,8,0.33855424297746134,0.5,296.3,705.23,296.3,0.0,0.19757675891504892,0.36363636363636365,0.626815721527893,0.6133400835337298,0.8156653908026849,0.0,high,1.0
4951284,0,0.3706,10,0.4044335801759735,0.5,322.12,556.88,322.12,0.0,0.13341594382486574,0.5454545454545454,0.7487900975454572,0.6133400835337298,0.8872801908248739,0.0,high,1.0
33654268,0,0.3463,9,0.45226538737426114,0.4886,305.1,576.39,305.1,0.0,0.09995869475423379,0.45454545454545453,0.837349805109354,0.5989115301860524,0.8400732234980863,0.0,high,1.0
164595130,0,0.3791,9,0.4239462525089617,0.4758,316.22,593.54,316.22,0.0,0.14511909679195925,0.45454545454545453,0.7849174499667438,0.5827110492342741,0.870915848449548,0.0,high,1.0
4951284,0,0.3706,10,0.4044335801759735,0.5,322.12,556.88,322.12,0.0,0.13341594382486574,0.5454545454545454,0.7487900975454572,0.6133400835337298,0.8872801908248739,0.0,high,1.0
33654265,0,0.4712,7,0.39291032537179654,0.5582,258.26,547.65,258.26,0.0,0.27192620129423106,0.2727272727272727,0.7274550041125102,0.6870016453613467,0.710156986742109,0.0,high,1.0
139584781,4,0.8136,12,0.1031235449758433,0.0447,47.76,49.5,47.76,0.06349206349206349,0.7433567396392676,0.7272727272727273,0.1909201326333597,0.03708391342867991,0.12631053419870195,0.0,medium,1.0
190598703,8,0.7535,8,0.17058107528815245,0.0154,44.9,44.9,155.3,0.12698412698412698,0.6606085639542888,0.36363636363636365,0.315816504051554,0.0,0.11837798857269652,0.0,medium,0.9978
22951419,1,0.5435,10,0.3606475019110102,0.2998,61.13,78.73,61.13,0.015873015873015872,0.3714718435908027,0.5454545454545454,0.6677209823761299,0.3599544361473231,0.16339379819160152,0.0,high,1.0
"[27806144, 27806169, 33684471]",0,0.4539,6,0.4595885848900527,0.2817,79.88,79.88,156.96,0.0,0.248106842902382,0.18181818181818182,0.850908570048814,0.3370459435514491,0.21539912353691687,0.0,high,1.0
23751830,0,0.3284,8,0.44580347159593947,0.3009,203.86,220.38,203.86,0.0,0.07531323144706048,0.36363636363636365,0.8253856873987611,0.36134666497911655,0.5592722028069008,0.0,high,1.0
190598715,0,0.546,9,0.3310438124638782,0.5,234.64,324.59,234.64,0.0,0.37491394740465384,0.45454545454545453,0.6129102981512554,0.6133400835337298,0.6446441448937705,0.0,high,1.0
97165985,36,0.8408,6,0.048662222653954645,0.4318,57.23,159.55,57.23,0.5714285714285714,0.7808068291339667,0.18181818181818182,0.09008600026668127,0.5270218959625363,0.1525766905197759,0.0,low,1.0
"[202304080, 22951417]",42,0.8043,7,0.06896050005747949,0.352,49.75,167.01,49.75,0.6666666666666666,0.7305521134517418,0.2727272727272727,0.12766788596577244,0.42602202252879373,0.13183003272868477,0.0,low,1.0
22951389,0,0.3186,7,0.40467774530481593,0.5,208.15,242.62,208.15,0.0,0.06182018449676442,0.2727272727272727,0.7492421647717268,0.6133400835337298,0.571171021245909,0.0,high,1.0
121033199,4,0.2848,8,0.5273846738442183,0.5,204.02,239.39,204.02,0.06349206349206349,0.015282940933498555,0.36363636363636365,0.9764317765391547,0.6133400835337298,0.5597159815831809,0.0,high,1.0
1009886826,0,0.2999,5,0.45443065061472504,0.5,186.74,206.75,186.74,0.0,0.036073247969158756,0.09090909090909091,0.8413587500061966,0.6133400835337298,0.5117878737449383,0.0,high,1.0
121033199,0,0.3504,7,0.48959134377500224,0.5,181.79,184.63,181.79,0.0,0.10560374500894947,0.2727272727272727,0.9064581239669096,0.6133400835337298,0.49805846785377494,0.0,high,1.0
22951403,6,0.8953,6,0.03554425719362403,0.3362,61.54,275.58,61.54,0.09523809523809523,0.855844692275919,0.18181818181818182,0.06579832950851335,0.4060245538539425,0.16453098130581906,0.0,low,1.0
190598716,19,1.0,7,0.03554425719362403,0.5,33.37,249.54,33.37,0.30158730158730157,1.0,0.2727272727272727,0.06579832950851335,0.6133400835337298,0.08639818050701725,0.0,low,1.0
28213659,0,0.8308,5,0.26205707269987777,0.5,114.71,1282.91,114.71,0.0,0.7670384138785625,0.09090909090909091,0.48518262367808107,0.6133400835337298,0.3120042158983747,0.0,high,1.0
128665332,0,0.8864,11,0.013663845445593563,0.5,47.83,2048.87,47.83,0.0,0.8435908026986095,0.6363636363636364,0.025287151292930538,0.6133400835337298,0.12650468741332446,0.0,medium,1.0
"[136547104, 190525601]",0,0.6906,10,0.11736152403112154,0.6586,61.15,1951.45,61.15,0.0,0.5740052319977971,0.5454545454545454,0.21728148787568194,0.8140741678268574,0.1634492705386365,0.0,high,1.0
22951725,0,1.0,9,0.04566483029087571,0.5,54.53,2083.22,54.53,0.0,1.0,0.45454545454545453,0.08453638366892013,0.6133400835337298,0.1450879236700505,0.0,medium,0.9988
136547105,0,1.0,10,0.04566483029087571,0.5,69.69,2087.86,69.69,0.0,1.0,0.5454545454545454,0.08453638366892013,0.6133400835337298,0.18713596272258282,0.0,medium,1.0
"[190818978, 95340419, 190818975]",0,1.0,10,0.004424133148644005,0.5,48.52,2127.04,48.52,0.0,1.0,0.5454545454545454,0.008179994634595322,0.6133400835337298,0.1284184833860321,0.0,medium,0.9026
"[22951657, 193388004]",0,0.8322,7,0.06742363878553032,0.5,18.96,1987.96,18.96,0.0,0.7689659920143193,0.2727272727272727,0.1248224157069157,0.6133400835337298,0.04643035446829756,0.0,medium,1.0
27806452,0,0.5721,6,0.3172254632571574,0.5,35.66,484.4,35.66,0.0,0.4108495112212585,0.18181818181818182,0.587325879822884,0.6133400835337298,0.09274976424252511,0.0,high,1.0
129414574,3,0.859,6,0.08294841580722379,0.5,107.66,557.97,107.66,0.047619047619047616,0.8058653448988021,0.18181818181818182,0.15356625361662143,0.6133400835337298,0.2924502135685361,0.0,medium,0.9993
"[168441377, 27806583]",16,0.8003,6,0.07470898885361986,0.5,86.07,440.01,86.07,0.25396825396825395,0.72504474734958,0.18181818181818182,0.13831110679600594,0.6133400835337298,0.2325678149442503,0.0,medium,0.8829
27806586,10,0.8197,6,0.08782959879966507,0.5,16.54,536.93,16.54,0.15873015873015872,0.7517554729450642,0.18181818181818182,0.1626036737706302,0.6133400835337298,0.039718200477062184,0.0,low,0.9999
33653457,0,0.3781,7,0.4040020468096843,0.3697,129.47,146.43,129.47,0.0,0.14374225526641884,0.2727272727272727,0.7479911214882866,0.4484242500949246,0.35294280801020694,0.0,high,1.0
"[33652505, 22951527, 28264041]",0,0.4216,8,0.4148242017630761,0.3779,301.6,301.6,305.69,0.0,0.20363486162742667,0.36363636363636365,0.7680281414969695,0.4588026832046576,0.8303655627669607,0.0,high,1.0
33652484,0,0.5434,8,0.43247664198188307,0.3863,117.19,433.33,117.19,0.0,0.37133415943824866,0.36363636363636365,0.8007113085177355,0.46943424882926205,0.3188827869307151,0.0,high,1.0
22951546,0,0.502,11,0.40262096754300825,0.4706,139.58,441.29,139.58,0.0,0.31433292028087567,0.6363636363636364,0.745434078734866,0.5761296038476142,0.38098407943640106,0.0,high,1.0
22956012,9,0.5448,6,0.37032324119987015,0.6125,106.73,106.73,114.9,0.14285714285714285,0.3732617375740052,0.18181818181818182,0.6856354349564753,0.7557271231489685,0.2898707494314085,0.0,high,1.0
"[185351200, 33652483]",13,0.4307,8,0.402607060633811,0.4729,95.49,95.49,99.71,0.20634920634920634,0.21616411950984446,0.36363636363636365,0.745408330349351,0.5790406277686369,0.25869529039773675,0.0,high,1.0
190598722,16,0.779,8,0.10172214914669157,0.3118,13.95,13.95,20.83,0.25396825396825395,0.6957180228555695,0.36363636363636365,0.18832547413976666,0.3751423870396152,0.03253453153602929,0.0,low,1.0
22951553,0,0.5096,8,0.22968414167362478,0.5,116.3,531.66,116.3,0.0,0.3247969158749829,0.36363636363636365,0.42524473981794964,0.6133400835337298,0.31641426748765744,0.0,high,1.0
33653460,0,0.8043,10,0.24993215408309447,0.5,144.53,500.04,144.53,0.0,0.7305521134517418,0.5454545454545454,0.4627335608089529,0.6133400835337298,0.39471348532756423,0.0,high,1.0
22951546,0,0.502,11,0.4026209675430083,0.4706,139.58,441.29,139.58,0.0,0.31433292028087567,0.6363636363636364,0.7454340787348661,0.5761296038476142,0.38098407943640106,0.0,high,1.0
22951553,0,0.5096,8,0.22968414167362478,0.5,116.3,531.66,116.3,0.0,0.3247969158749829,0.36363636363636365,0.42524473981794964,0.6133400835337298,0.31641426748765744,0.0,high,1.0
140435815,0,0.8333,9,0.021461047273478362,0.5,35.4,203.26,35.4,0.0,0.7704805176924138,0.45454545454545453,0.039723526461269955,0.6133400835337298,0.09202862373107007,0.0,medium,1.0
"[27806666, 182211405]",0,0.5192,8,0.25068933511657626,0.498,84.58,280.47,84.58,0.0,0.33801459452017074,0.36363636363636365,0.46413546750714846,0.6108087583850145,0.22843512509014258,0.0,high,1.0
151214186,0,0.5076,9,0.2880133320941678,0.5,9.0,231.55,9.0,0.0,0.32204323282390207,0.45454545454545453,0.5332401585289337,0.6133400835337298,0.018805125644866034,0.0,high,1.0
33653457,0,0.531,7,0.10576831284634294,0.5,89.46,106.19,89.46,0.0,0.3542613245215476,0.2727272727272727,0.19581687149616023,0.6133400835337298,0.24197037776668331,0.0,high,1.0
"[33653458, 22951575]",0,0.4595,6,0.4240885619861931,0.4132,199.81,226.95,199.81,0.0,0.2558171554454083,0.18181818181818182,0.7851809333353513,0.5034805720794836,0.5480390525323127,0.0,high,1.0
27805207,0,0.6107,6,0.2904809368226229,0.5,296.82,921.11,296.82,0.0,0.4639955941071183,0.18181818181818182,0.53780888310648,0.6133400835337298,0.817107671825595,0.0,high,1.0
204149303,0,0.5754,7,0.29393925360346207,0.5,171.25,948.36,171.25,0.0,0.41539308825554183,0.2727272727272727,0.5442118927503514,0.6133400835337298,0.46882454096632836,0.0,high,1.0
24567519,0,0.4021,10,0.45851580239349576,0.3501,90.45,1483.86,90.45,0.0,0.1767864518793887,0.5454545454545454,0.8489223330709615,0.42361726363751423,0.244716258944916,0.0,high,1.0
