osmid,lighting,visibility,connectivity,enclosure,dominant_land_use_score,public_transport_proximity_m,dist_to_rail_m,dist_to_bus_m,lighting_norm,visibility_norm,connectivity_norm,enclosure_norm,dominant_land_use_score_norm,public_transport_proximity_m_norm,pedestrian_priority_score_norm,risk_class,risk_probability
28604204,0,0.4457,6,0.447682371009398,0.2918,87.04,87.67,87.04,0.0,0.31381530081703385,0.23076923076923078,0.7124506750358269,0.2917291729172917,0.07358706235976463,0.0,high,0.9533
786028688,0,0.4181,6,0.379443732491959,0.4145,141.49,141.49,142.47,0.0,0.2796484278286705,0.23076923076923078,0.6038535521864855,0.4144414441444144,0.1196901062613776,0.0,high,0.9916
28604425,0,0.3923,10,0.407485158655093,0.1493,51.74,51.74,52.83,0.0,0.24770982916563503,0.5384615384615384,0.6484795627293302,0.1492149214921492,0.043698403962575676,0.0,high,0.9916
"[1298616760, 338940730]",0,0.3429,10,0.5201144922716247,0.1016,120.63,123.23,120.63,0.0,0.1865560782371874,0.5384615384615384,0.8277214386654709,0.1015101510151015,0.10202785656830786,0.0,high,1.0
29110031,0,1.0,5,0.05568305093796955,0.3449,60.81,81.9,60.81,0.0,1.0,0.15384615384615385,0.08861058614284459,0.34483448344834483,0.05137801109182507,0.0,low,1.0
160725692,0,1.0,6,0.00033098392672245206,0.2607,137.84,147.14,137.84,0.0,1.0,0.23076923076923078,0.0005215598700065603,0.26062606260626064,0.11659963591719234,0.0,low,1.0
318406089,0,1.0,5,0.06714521173013581,0.5,457.87,457.87,458.26,0.0,1.0,0.15384615384615385,0.10685183055670662,0.49994999499949994,0.38757038228694807,0.0,medium,0.9994
160725691,0,1.0,5,0.06714521173013581,0.5,643.64,643.64,644.53,0.0,1.0,0.15384615384615385,0.10685183055670662,0.49994999499949994,0.5448626222429195,0.0,medium,1.0
1149865780,0,1.0,6,0.07779148840688184,0.0463,202.77,210.94,202.77,0.0,1.0,0.23076923076923078,0.1237946512411668,0.0462046204620462,0.1715761398755345,0.0,low,1.0
"[23126729, 22744269]",0,0.9388,6,0.00033098392672245206,0.2607,116.02,123.28,116.02,0.0,0.9242386729388462,0.23076923076923078,0.0005215598700065603,0.26062606260626064,0.0981245501883917,0.0,low,1.0
"[22744385, 577414291]",0,1.0,4,0.06714521173013581,0.5,573.7,573.7,574.17,0.0,1.0,0.07692307692307693,0.10685183055670662,0.49994999499949994,0.4856441302231066,0.0,medium,1.0
22744484,0,1.0,7,0.06714521173013581,0.5,739.93,739.93,740.68,0.0,1.0,0.3076923076923077,0.10685183055670662,0.49994999499949994,0.6263917700351382,0.0,medium,1.0
577414291,0,1.0,6,0.06714521173013581,0.5,708.2,708.2,709.18,0.0,1.0,0.23076923076923078,0.10685183055670662,0.49994999499949994,0.5995258456458237,0.0,medium,1.0
577414291,0,1.0,6,0.0008631928417813567,0.8605,780.66,809.87,780.66,0.0,1.0,0.23076923076923078,0.001368533933174544,0.8604860486048606,0.6608780322594302,0.0,medium,0.9998
"[55787634, 55787644]",0,1.0,4,0.0008631928417813567,0.8605,785.54,854.82,785.54,0.0,1.0,0.07692307692307693,0.001368533933174544,0.8604860486048606,0.6650099487743957,0.0,medium,1.0
257784933,0,0.8213,5,0.06714521173013581,0.5,210.87,210.87,210.93,0.0,0.778781876702154,0.15384615384615385,0.10685183055670662,0.49994999499949994,0.1784344439270141,0.0,medium,0.8265
"[70843024, 22744403]",0,0.9887,6,0.06649873354304901,0.0936,200.35,201.12,200.35,0.0,0.9860113889576628,0.23076923076923078,0.10582300476786057,0.09350935093509351,0.16952711570212947,0.0,low,1.0
"[318406106, 81735351]",0,0.9834,6,0.00016670216844025967,0.0936,128.73,131.03,128.73,0.0,0.9794503589997525,0.23076923076923078,0.0002601166953817067,0.09350935093509351,0.10888616061978748,0.0,low,1.0
23126853,0,1.0,6,0.06649873354304901,0.5,337.65,339.74,337.65,0.0,1.0,0.23076923076923078,0.10582300476786057,0.49994999499949994,0.28577960289572835,0.0,medium,0.8592
55787646,0,1.0,6,0.06714521173013581,0.5,362.42,362.94,362.42,0.0,1.0,0.23076923076923078,0.10685183055670662,0.49994999499949994,0.3067524660259939,0.0,medium,0.9657
